business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
ArkanSpace Architects,Architects,Architecture firm,Architecture firm,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,https://arkan-space-of-architect.myjoonweb.com/,5.0,4.0,"ward no 1, Sareya, Gopalganj, Bihar 841428",Ward No. 15,26.460577599999997,84.44024619999999,ChIJpb8gQ7cbkzkR9VPaGt2f0Hk,https://www.google.com/maps/place/?q=place_id:ChIJpb8gQ7cbkzkR9VPaGt2f0Hk,part_392,2026-09-20 20:18:59,2052
"Aadya’sLaennec Building Systems – VEKA uPVC Doors & Windows Manufacturer & Interior Fabricator, Gopalganj",Architects,PVC windows supplier,"PVC windows supplier, Aluminum window, Association / Organization, Door supplier, Flooring contractor, Glass & mirror shop, Interior architect office, Interior Decorator",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 92644 97004,https://www.laennecbuildingsystems.com/,4.8,14.0,"cinema road, above Raymond’s Showroom, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.4623606,84.4396732,ChIJgeyqQgAbkzkRMzMgOpcliKg,https://www.google.com/maps/place/?q=place_id:ChIJgeyqQgAbkzkRMzMgOpcliKg,part_392,2026-09-20 20:18:59,2053
Lav Kush Chundari Bhandar,Architects,Architect,Architect,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 70708 17697,N/A,5.0,1.0,"Durga Mandir, Thawe, near Hanuman Mandir, Gopalganj, Bihar 841440",841428,26.430258,84.3931183,ChIJa0bOdkEFkzkRRGLAYZ454rY,https://www.google.com/maps/place/?q=place_id:ChIJa0bOdkEFkzkRRGLAYZ454rY,part_392,2026-09-20 20:18:59,2054
SAWA Engineering Services,Architects,Architectural designer,"Architectural designer, Design engineer, Civil engineer",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 77828 02900,N/A,5.0,3.0,"Janta Cinema Road Jila Parishad Market, above K. Chaudhary Sweets, Gopalganj, Bihar 841428",Ward No. 15,26.4635674,84.4398064,ChIJP-qkK60bkzkRRmzxAVQOFAk,https://www.google.com/maps/place/?q=place_id:ChIJP-qkK60bkzkRRmzxAVQOFAk,part_392,2026-09-20 20:18:59,2055
Mr Gopalganj,Architects,Architectural and engineering model maker,"Architectural and engineering model maker, Dance company, Modeling agency, Modeling school",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 83403 61895,https://instagram.com/mrgopalganj?igshid=ZmRlMzRkMDU=,4.8,99.0,"HanumanGathi, Gopalganj Bihar Tulshi Public School, Ward No.6, 841428, Gopalganj, Bihar 841428",841428,26.4694967,84.4469515,ChIJcwklproFkzkRW4VORfHNsMA,https://www.google.com/maps/place/?q=place_id:ChIJcwklproFkzkRW4VORfHNsMA,part_392,2026-09-20 20:18:59,2056
architect gautam and associates (siwan),Architects,Architecture firm,Architecture firm,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 97714 90935,https://www.architectgna.com/,,,"Dak Bungalow Rd, Chitragupta Nagar, Siwan, Bihar 841226",Chitragupta Nagar,26.2289903,84.3562615,ChIJ9ZJyymP9kjkRiozUe2i3UFw,https://www.google.com/maps/place/?q=place_id:ChIJ9ZJyymP9kjkRiozUe2i3UFw,part_392,2026-09-20 20:19:37,6285
Akhan,Architects,Architectural designer,Architectural designer,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",N/A,N/A,,,"7FQX+JQ, Barahpur, Bihar 841232",841434,26.2890528,84.4993854,ChIJpVv7GQDjkjkRc4K88owxRKQ,https://www.google.com/maps/place/?q=place_id:ChIJpVv7GQDjkjkRc4K88owxRKQ,part_392,2026-09-20 20:19:37,6286
Devyanshu home solutions,Architects,Interior designer,"Interior designer, Building designer, Design agency, Design engineer, Home builder, Architectural designer, Map store, Structural engineer",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 70046 21694,http://dhss11.odoo.com/,5.0,33.0,"Ward no.02 House no. 337 kachahari Road near old N.A.C office Mirganj, Mirganj, Bihar 841438",841436,26.370915999999998,84.3361118,ChIJdaPrNZIBkzkRqcOaHMuBcqg,https://www.google.com/maps/place/?q=place_id:ChIJdaPrNZIBkzkRqcOaHMuBcqg,part_392,2026-09-20 20:20:53,11640
Bhumi Architecture mirganj,Architects,Architecture firm,Architecture firm,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 87094 74280,http://bhumi.architecture.com/,,,"Hathua Road, near mukul ITI, Mirganj, Bihar 841436",841436,26.3745378,84.3119048,ChIJCWu2g6oBkzkRdiblfW1eAS0,https://www.google.com/maps/place/?q=place_id:ChIJCWu2g6oBkzkRdiblfW1eAS0,part_392,2026-09-20 20:20:53,11641
HOMETECH BUILDERS,Architects,Architecture firm,Architecture firm,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 82929 19811,N/A,4.0,9.0,"ER.P.K.RAI, Hometech Builders, C/O, Bhore - Mirganj Rd, opposite of Gupta Pustak Kendra, J.P. Chowk, Mirganj, Bihar 841438",J.P. Chowk,26.371145,84.3388159,ChIJZVzUKh38kjkRZXkpo2vI6LE,https://www.google.com/maps/place/?q=place_id:ChIJZVzUKh38kjkRZXkpo2vI6LE,part_392,2026-09-20 20:20:53,11642
