business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
FIT-5 FITNESS,Fitness Chains,Gym,"Gym, Fitness center",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 87551 29889,http://www.fit5fitness.com/,4.9,156.0,"2nd floor, Cinema Road Ward, Baba Gorakhnath market, 15, Ward No. 15, Gopalganj, Bihar 841428",Ward No. 15,26.462284099999998,84.4396349,ChIJ26ynJpsbkzkRq1oWEkZ26_4,https://www.google.com/maps/place/?q=place_id:ChIJ26ynJpsbkzkRq1oWEkZ26_4,part_392,2026-09-20 20:18:54,1328
The Gym World,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 99733 12105,http://thegymworld.blogspot.com/,4.5,227.0,"Gym World, post office chowk, near sbi atm, Adhiwakta Nagar, Gopalganj, Bihar 841428",Adhiwakta Nagar,26.466665799999998,84.4395782,ChIJT0kLPs0akzkRids8Iryo72U,https://www.google.com/maps/place/?q=place_id:ChIJT0kLPs0akzkRids8Iryo72U,part_392,2026-09-20 20:18:54,1329
LION'S GYM,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 84060 60505,N/A,4.4,40.0,"Banjari Rd, Police Line, Gopalganj, Bihar 841428",Police Line,26.4678979,84.4391114,ChIJ7SWx2cwakzkR5REOxK3qg1Y,https://www.google.com/maps/place/?q=place_id:ChIJ7SWx2cwakzkR5REOxK3qg1Y,part_392,2026-09-20 20:18:54,1330
Gopalganj Health Club ( GYM ),Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 99552 44907,N/A,4.5,26.0,"Shahi Complex Near Minz Stadium ,Below LIC office, Bihar 841428",Police Line,26.468211699999998,84.44063969999999,ChIJb_Qs-cwakzkROLxkH8Tabx4,https://www.google.com/maps/place/?q=place_id:ChIJb_Qs-cwakzkROLxkH8Tabx4,part_392,2026-09-20 20:18:54,1331
Fitness World Gym,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,4.4,38.0,"Line bazar, Mirganj - Linebazar Rd, near Eidgah Chauk, Gopalganj, Bihar 841438",841428,26.421110799999997,84.2747534,ChIJUf_SudEHkzkRFiw2V3TCMSI,https://www.google.com/maps/place/?q=place_id:ChIJUf_SudEHkzkRFiw2V3TCMSI,part_392,2026-09-20 20:18:54,1332
Iron paradise gym,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,https://sites.google.com/view/iron-paradise-gym/home/,4.5,15.0,"Kuchaikote, near sai mandir, Gopalganj, Bihar 841501",841428,26.5607476,84.33262479999999,ChIJp01VXmEJkzkR8Q97w-lnP6U,https://www.google.com/maps/place/?q=place_id:ChIJp01VXmEJkzkR8Q97w-lnP6U,part_392,2026-09-20 20:18:54,1333
gym world,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,4.8,33.0,"Thawe, Bihar 841440",841428,26.439174599999998,84.39547259999999,ChIJ6R3y6iUFkzkRhzBmS47cEOw,https://www.google.com/maps/place/?q=place_id:ChIJ6R3y6iUFkzkRhzBmS47cEOw,part_392,2026-09-20 20:18:54,1334
Arsh Fitness GYM,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,5.0,3.0,"F546+38Q, Dikshitauli, Hussepur, Bihar 841426",841428,26.4552139,84.1608518,ChIJ999LZACvkzkRmfdGA2oG9qk,https://www.google.com/maps/place/?q=place_id:ChIJ999LZACvkzkRmfdGA2oG9qk,part_392,2026-09-20 20:18:54,1335
FITNESS CLUB BHORE,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,4.7,51.0,"Cold storage, road, misrauli, Bhorey, Bihar 841426",841428,26.4460311,84.11749209999999,ChIJG6kGQf6vkzkRe7rxTWP7zzo,https://www.google.com/maps/place/?q=place_id:ChIJG6kGQf6vkzkRe7rxTWP7zzo,part_392,2026-09-20 20:18:54,1336
Xtreme fitness gym Mirganj,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,4.9,38.0,"Baleshra road, Mirganj, Bihar 841438",841428,26.3707143,84.3376275,ChIJ-SLUAg0BkzkRLtd3mpTLPbg,https://www.google.com/maps/place/?q=place_id:ChIJ-SLUAg0BkzkRLtd3mpTLPbg,part_392,2026-09-20 20:18:54,1337
Power Zone Gym,Fitness Chains,Gym,Gym,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 99058 12356,https://power-zone-gym.grexa.site/,4.5,49.0,"Hathwa more, Narainian, Mirganj, Bihar 841438",Narainian,26.365346499999998,84.3339407,ChIJN4OPK2ABkzkRXvSrZHnG4EY,https://www.google.com/maps/place/?q=place_id:ChIJN4OPK2ABkzkRXvSrZHnG4EY,part_392,2026-09-20 20:18:54,1338
Sports Zone,Fitness Chains,Sporting goods store,"Sporting goods store, Outdoor sports store",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 73218 31663,N/A,4.7,30.0,"Banakata, Gopalganj, Bihar 841428",Banakata,26.466762799999998,84.4473253,ChIJ3zvXJgEbkzkRxQpY0uJOIps,https://www.google.com/maps/place/?q=place_id:ChIJ3zvXJgEbkzkRxQpY0uJOIps,part_392,2026-09-20 20:18:55,1339
SHIVA SPORTS,Fitness Chains,Sporting goods store,"Sporting goods store, Corporate gift supplier, Sportswear store, Trophy shop, Wholesaler",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 95463 60051,N/A,4.7,16.0,"Station Rd, Masrakh, Bihar 841417",841428,26.097676399999997,84.8093784,ChIJw-YQM6zPkjkRn4xEc5lkAHk,https://www.google.com/maps/place/?q=place_id:ChIJw-YQM6zPkjkRn4xEc5lkAHk,part_392,2026-09-20 20:18:55,1340
Global Fitness (Treadmill & Gym Equipment Store),Fitness Chains,Exercise equipment store,"Exercise equipment store, Fitness Equipment Wholesaler",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 93344 68341,https://www.globalfitness.co.in/,4.9,953.0,"Hotel Ashok Inn Building, West of College of Commerce Opposite Rajendra Nagar Terminal, Kangkar Bagh Road, Patna, Bihar 800020","Mahatma Gandhi Nagar, Chitragupta Nagar",25.6011073,85.1606635,ChIJT10up0NY7TkRU2KrboVbU7o,https://www.google.com/maps/place/?q=place_id:ChIJT10up0NY7TkRU2KrboVbU7o,part_392,2026-09-20 20:18:55,1341
Sirvastaw Khad Beej,Fitness Chains,Sporting goods store,Sporting goods store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 95469 83461,N/A,,,"Kabilashpur Bazar, Barhiya Gopalganj Road, near Ram Janki Mandir, Bihar 841440",841428,26.4355446,84.4472991,ChIJsQ3HlmobkzkREu3VteqfsfA,https://www.google.com/maps/place/?q=place_id:ChIJsQ3HlmobkzkREu3VteqfsfA,part_392,2026-09-20 20:18:55,1342
Body Line Gym Ander,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 95070 85457,N/A,4.7,25.0,"Daha Pool, Road, Andar, Bihar 841231",841434,26.0994277,84.29179049999999,ChIJr6Bl74n3kjkRAPjTf3FNz1M,https://www.google.com/maps/place/?q=place_id:ChIJr6Bl74n3kjkRAPjTf3FNz1M,part_392,2026-09-20 20:19:30,5468
INDIABULLS GYM& FITNESS CENTRE,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 84179 66888,N/A,4.5,33.0,"Majhauli Chauk, Mairwa, Bihar 841239",841434,26.2330571,84.1514352,ChIJAXhl_bZTkjkRoREOFtSwMpY,https://www.google.com/maps/place/?q=place_id:ChIJAXhl_bZTkjkRoREOFtSwMpY,part_392,2026-09-20 20:19:30,5469
The Body Shaper Gym,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 82350 81333,N/A,3.9,99.0,"NaiBasti, Malviyanagar, Siwan, Bihar 841226",Malviyanagar,26.2308666,84.3601925,ChIJ54a5Shr8kjkRRdNed6pLTP4,https://www.google.com/maps/place/?q=place_id:ChIJ54a5Shr8kjkRRdNed6pLTP4,part_392,2026-09-20 20:19:30,5470
The Sweat House Gym,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 95601 89774,https://instagram.com/thesweathousegym?igshid=OGQ5ZDc2ODk2ZA==,4.7,52.0,"Hasanpura Bazar, Siswan-Siwan Rd, Hasanpura, Bihar 841236",841434,26.0731301,84.3660594,ChIJ45N9GwvxkjkRxhNiYE9yVsc,https://www.google.com/maps/place/?q=place_id:ChIJ45N9GwvxkjkRxhNiYE9yVsc,part_392,2026-09-20 20:19:30,5471
AK Fitness,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 96612 43937,https://www.instagram.com/fitaman808/profilecard/?igsh=MW5paGcwY2x1aWZ3ZA==,4.7,11.0,"Sudarshan Chowk, Sudarshan Market, Srinagar, Ayodhyapuri, Siwan, Bihar 841226","Srinagar, Ayodhyapuri",26.226034799999997,84.3452733,ChIJhcgLewD_kjkRCEhYScWt9cg,https://www.google.com/maps/place/?q=place_id:ChIJhcgLewD_kjkRCEhYScWt9cg,part_392,2026-09-20 20:19:31,5472
Max Fitness Unisex Gym,Fitness Chains,Gym,Gym,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 70048 92557,N/A,4.3,15.0,"Majhauli Chowk, Shahi Complex, Mairwa Rd, Mairwa, Bihar 841239",841434,26.234282399999998,84.1518814,ChIJ56ZrHvhTkjkRznuL3BIcQXo,https://www.google.com/maps/place/?q=place_id:ChIJ56ZrHvhTkjkRznuL3BIcQXo,part_392,2026-09-20 20:19:32,5473
Go Fit Studio - Treadmill Dealer/Fitness Equipment Dealer/Gym Equipment Dealer/Powermax Dealer/Best Treadmill For Home Use,Fitness Chains,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Exercise equipment store, Sporting goods store, Sports Equipment Rental Agency",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 91100 63212,https://gofitstudio.in/,4.7,,"Go Fit Studio Jha Mansion, Vishnu Palace Lane Rai ji ki Gali, E Boring Canal Rd, near Oro Dental, Patna, Bihar 800001","Nageshwar Colony, Kidwaipuri",25.615729599999998,85.12082769999999,ChIJOxwRajtY7TkRujDc4mQGAlY,https://www.google.com/maps/place/?q=place_id:ChIJOxwRajtY7TkRujDc4mQGAlY,part_392,2026-09-20 20:19:32,5474
Simna Sports,Fitness Chains,Sporting goods store,Sporting goods store,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",N/A,N/A,4.2,,"Chainpur, Chainpur Mubarakpur, Bihar 841203",Chainpur,25.997656499999998,84.4060141,ChIJe4nKRE_ykjkRBKOLYpxT2fA,https://www.google.com/maps/place/?q=place_id:ChIJe4nKRE_ykjkRBKOLYpxT2fA,part_392,2026-09-20 20:19:32,5475
FitPro Fitness Equipments | Gym Equipment Gorakhpur,Fitness Chains,Fitness Equipment Wholesaler,"Fitness Equipment Wholesaler, Equipment supplier, Exercise equipment store, Outdoor clothing and equipment shop, Outdoor sports store, Sporting goods store, Sports Accessories Wholesaler, Sports Equipment Rental Agency, Sports nutrition store, Sportswear store",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 73170 23456,https://thefitpro.in/,4.9,,"kundan complex , hotel, Bobina Rd, Gorakhpur, Uttar Pradesh 273001",Hazaripur,26.760975799999997,83.36372279999999,ChIJR4BvUyNFkTkRl3oHrtdKPEk,https://www.google.com/maps/place/?q=place_id:ChIJR4BvUyNFkTkRl3oHrtdKPEk,part_392,2026-09-20 20:19:32,5476
A To Z Sports & Fitness,Fitness Chains,Fitness Equipment Wholesaler,Fitness Equipment Wholesaler,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 84335 51218,N/A,5.0,,"Shop No. 2, 1st Floor, Old Bus Stand, Mithapur, Patna, Bihar 800001",Mithapur,25.589215799999998,85.135469,ChIJhWlMP3tZ7TkRnD2Y7sS6r3E,https://www.google.com/maps/place/?q=place_id:ChIJhWlMP3tZ7TkRnD2Y7sS6r3E,part_392,2026-09-20 20:19:32,5477
Barnwal Sports,Fitness Chains,Sporting goods store,"Sporting goods store, Shopping mall",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 97080 20702,N/A,,,"Shop No 1, near Nai Bazar, Mairwa, Siwan, Bihar 841239",841434,26.2376689,84.15082579999999,ChIJZS7thnhTkjkRYugGsIxf8hY,https://www.google.com/maps/place/?q=place_id:ChIJZS7thnhTkjkRYugGsIxf8hY,part_392,2026-09-20 20:19:32,5478
Health & Fitness trainer,Fitness Chains,Physical fitness program,Physical fitness program,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 90064 94770,https://www.instagram.com/rajprince_26?igsh=MTI2Mmc5ejJqb2V5dQ==,5.0,1.0,"&, Bhuala hanuman tample, near Mirganj, Gopalganj, Mirganj, Bihar 841436",841437,26.370012199999998,84.33771809999999,ChIJCfJvo9YHkzkR0ho8dPxRdbk,https://www.google.com/maps/place/?q=place_id:ChIJCfJvo9YHkzkR0ho8dPxRdbk,part_392,2026-09-20 20:21:25,13576
Fitness gym club,Fitness Chains,Gym,"Gym, Lodging",841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",N/A,N/A,4.4,51.0,"Sahebganj kesariya Rod Sahebganj main Rod Garib Nawaj complex Fitness gym club, Salempur, Bihar 843125",841437,26.299193199999998,84.9188156,ChIJeylNq2PVkjkRDu5H4oCyclg,https://www.google.com/maps/place/?q=place_id:ChIJeylNq2PVkjkRDu5H4oCyclg,part_392,2026-09-20 20:21:25,13577
FittPro Health Club,Fitness Chains,Gym,"Gym, Fitness center",841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 82712 08724,N/A,4.7,257.0,"3rd Floor, Above City Life Mall, Supriya Cinema Rd, Bettiah, Bihar 845438",Kamalnath Nagar,26.8054299,84.5146998,ChIJSUtq0sRvkzkRZO5sUNwfgbE,https://www.google.com/maps/place/?q=place_id:ChIJSUtq0sRvkzkRZO5sUNwfgbE,part_392,2026-09-20 20:21:25,13578
Lakshika Industries,Fitness Chains,Gym,Gym,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 70917 00159,N/A,5.0,21.0,"devkali market, near Digha, Nirala colony, thana, Patna, Bihar 800012","Nirala colony, thana",25.6411908,85.078743,ChIJLSEro8dZ7TkRXovbdisARXA,https://www.google.com/maps/place/?q=place_id:ChIJLSEro8dZ7TkRXovbdisARXA,part_392,2026-09-20 20:21:26,13579
Gym service centre 💪 patna,Fitness Chains,Gym,Gym,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",N/A,N/A,5.0,45.0,"H5J3+928, New Jaganpura, Ramkrishan Nagar, Patna, Bihar 800027","New Jaganpura, Ramkrishan Nagar",25.5809349,85.1525514,ChIJ24Z-SwCn8jkRbQ2aaTNBF9E,https://www.google.com/maps/place/?q=place_id:ChIJ24Z-SwCn8jkRbQ2aaTNBF9E,part_392,2026-09-20 20:21:26,13580
Arogyam Nutricare,Fitness Chains,Sports nutrition store,Sports nutrition store,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 99393 00726,https://www.instagram.com/arogyam_nutricare_pharmacy?igsh=YmpxZ2U2ZXJxaGtr,5.0,55.0,"Fojjdaari babu market, sabji mandi, Old GT Rd, behind Shiv mandir, near Kargil chowk, Aurangabad, Bihar 824101",841437,24.7517241,84.37555689999999,ChIJhbELwbD9jDkRhRR3f5uHyP0,https://www.google.com/maps/place/?q=place_id:ChIJhbELwbD9jDkRhRR3f5uHyP0,part_392,2026-09-20 20:21:26,13581
Royal Supplement and gym Accessories,Fitness Chains,Vitamin & supplements store,Vitamin & supplements store,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 91404 18494,N/A,4.9,169.0,"S6/20 Shop no 2 police line chauraha, Uttar Pradesh 221002",Hamrautia,25.345800699999998,82.9833855,ChIJz1n6nLYtjjkRfFPv69o5RHA,https://www.google.com/maps/place/?q=place_id:ChIJz1n6nLYtjjkRfFPv69o5RHA,part_392,2026-09-20 20:21:26,13582
MAU PROTEIN HUB,Fitness Chains,Gym,Gym,841437,Bihar Circle,Muzaffarpur Region,Siwan Division,"Kateya SO, Belhi Khas BO, Bhagipatti Jhul BO",+91 88087 38381,N/A,4.9,10.0,"Munshi Pura, Mau, Uttar Pradesh 275101",Munshi Pura,25.932676299999997,83.5644081,ChIJO5DzBt2LkTkRQHPGsY5t0H0,https://www.google.com/maps/place/?q=place_id:ChIJO5DzBt2LkTkRQHPGsY5t0H0,part_392,2026-09-20 20:21:26,13583
