business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Cold storage,Warehouse and Cold Storage,Storage facility,Storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,5.0,2.0,"9HPQ+QMH, Gopalganj, Bihar 841405",841428,26.3869451,84.5892197,ChIJqfrlijsfkzkRtoWTP3tsN54,https://www.google.com/maps/place/?q=place_id:ChIJqfrlijsfkzkRtoWTP3tsN54,part_392,2026-09-20 20:19:13,3538
Gauda Ram cold Storage Pvt Ltd.,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,4.2,11.0,"Bhorey, Bihar 841426",841428,26.4470852,84.11685059999999,ChIJ_wFP0M6vkzkRMKQ7R0X2yIU,https://www.google.com/maps/place/?q=place_id:ChIJ_wFP0M6vkzkRMKQ7R0X2yIU,part_392,2026-09-20 20:19:13,3539
Yusuf general store & cold drinks,Warehouse and Cold Storage,Grocery store,Grocery store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,,,"CG8W+R9F, Gopalganj, Pathra, Bihar 841427",841428,26.4170533,84.5459316,ChIJM_gQOFQZkzkRPw5wszEoVbc,https://www.google.com/maps/place/?q=place_id:ChIJM_gQOFQZkzkRPw5wszEoVbc,part_392,2026-09-20 20:19:13,3540
Kisan Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,3.9,286.0,"Koiritola, Mushallahpur Hatt, Patna, Bihar 800006",Muhammadpur,25.615662999999998,85.17389039999999,ChIJ7_Q5zUJZ7TkR_DjDdlBZo8I,https://www.google.com/maps/place/?q=place_id:ChIJ7_Q5zUJZ7TkR_DjDdlBZo8I,part_392,2026-09-20 20:19:13,3541
Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,3.8,12.0,"G95G+W99, Chak Hasna, Mathia Panre, Bihar 841505",841428,26.509788,84.375991,ChIJ0du2CGgPkzkRd3zi2q5e8Gw,https://www.google.com/maps/place/?q=place_id:ChIJ0du2CGgPkzkRd3zi2q5e8Gw,part_392,2026-09-20 20:19:13,3542
Aaradhya Cold Drink,Warehouse and Cold Storage,General store,General store,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",+91 82943 53275,N/A,,,"Aaradhya Cold Drink, Purani Chowk, Ward Number 20, Banakata, Gopalganj, Bihar 841428","Ward Number 20, Banakata",26.4610566,84.4425388,ChIJU2Pz8TIbkzkR1v-X7Uj44Mo,https://www.google.com/maps/place/?q=place_id:ChIJU2Pz8TIbkzkR1v-X7Uj44Mo,part_392,2026-09-20 20:19:13,3543
Singh Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,5.0,,"4Q3W+MWM, Karan Kudariya, Masrakh, Bihar 841417",Karan Kudariya,26.1042106,84.7973073,ChIJ____-LzPkjkRNWxhvk1RDVk,https://www.google.com/maps/place/?q=place_id:ChIJ____-LzPkjkRNWxhvk1RDVk,part_392,2026-09-20 20:19:14,3544
Cold Storage,Warehouse and Cold Storage,Cold storage facility,Cold storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,3.9,,"Siyari Gahna, Uttar Pradesh 273413",841428,26.5421586,83.3925605,ChIJE-9LCzFvkTkRoym8_OE_mxc,https://www.google.com/maps/place/?q=place_id:ChIJE-9LCzFvkTkRoym8_OE_mxc,part_392,2026-09-20 20:19:14,3545
Global Cold Storage Private Limited,Warehouse and Cold Storage,Cold storage facility,"Cold storage facility, Service establishment, Organic farm, Training center",841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,http://www.globalcoldstorage.org/,5.0,,"Global Cold Storage Private Limited, 841428, India",841428,28.397454999999997,84.1301506,ChIJtU16CP48IqQRYOYylt7ExII,https://www.google.com/maps/place/?q=place_id:ChIJtU16CP48IqQRYOYylt7ExII,part_392,2026-09-20 20:19:14,3546
Jagdish Cold Storage,Warehouse and Cold Storage,Storage facility,Storage facility,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,5.0,,"9GVR+3FM, Pura Jodhi, Azamgarh, Jamurwa, Uttar Pradesh 229309",Pura Jodhi,26.392712,81.54115829999999,ChIJAXOa7QRNmjkRjkZUsZb9LNg,https://www.google.com/maps/place/?q=place_id:ChIJAXOa7QRNmjkRjkZUsZb9LNg,part_392,2026-09-20 20:19:14,3547
Cold Storage,Warehouse and Cold Storage,Warehouse,Warehouse,841428,Bihar Circle,Muzaffarpur Region,Siwan Division,"Gopalganj HO, Amwa Nakchhed BO, Babubishunpur BO",N/A,N/A,,,"H2PF+G8M, NH 84, Churamanpur, Bihar 802116",841428,25.58634,84.02331029999999,ChIJVVVlx312kjkRDFMYYt231NQ,https://www.google.com/maps/place/?q=place_id:ChIJVVVlx312kjkRDFMYYt231NQ,part_392,2026-09-20 20:19:14,3548
