business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Geolife Authorised Dealer - Shiv Traders-Balia,Fertilizer and Pesticide Dealer,Agricultural service,"Agricultural service, Agricultural Product Wholesaler, Fertilizer Store, Agricultural Seed Store",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 95349 59642,https://www.geolife.com/dealer/bihar/shiv-traders-fertilizers-and-pesticides-balia.html,,,"Baliya Karnpura, Maharajganj, Balia, Bihar 841506",841434,26.187628,84.525672,ChIJS0EyL-_nkjkRYd5JQZ09SPw,https://www.google.com/maps/place/?q=place_id:ChIJS0EyL-_nkjkRYd5JQZ09SPw,part_392,2026-09-20 20:19:53
Sandhya Agri Entrepreneurs' Service Centre,Fertilizer and Pesticide Dealer,Agricultural Seed Store,Agricultural Seed Store,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 91422 70574,N/A,5.0,,"36WW+9PC, Rode, near Sarakari School, Tiaye, Darauli, Siwan, Bihar 841231",Tiaye,26.095936599999998,84.24677319999999,ChIJ3fnTAABZkjkRl2VmPcdEWCQ,https://www.google.com/maps/place/?q=place_id:ChIJ3fnTAABZkjkRl2VmPcdEWCQ,part_392,2026-09-20 20:19:53
"kisanbrothers ,(Fertilizers Pesticides & Seeds)",Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Fertility clinic",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",N/A,N/A,4.3,,"12, Sahebganj Rd, Sahebganj, Nawanagar Nizamat, Bihar 843125",841434,26.297698,84.9328652,ChIJqwNl1EnVkjkRfRdLFQfGN-4,https://www.google.com/maps/place/?q=place_id:ChIJqwNl1EnVkjkRfRdLFQfGN-4,part_392,2026-09-20 20:19:53
Virendra Singh fertilizer shop,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",N/A,N/A,4.5,,"Ward no.06, Bakast tota, Sapahi, Bihar 845402",841434,26.6520926,84.85274199999999,ChIJ38odiDM3kzkRLWNacvcKXyA,https://www.google.com/maps/place/?q=place_id:ChIJ38odiDM3kzkRLWNacvcKXyA,part_392,2026-09-20 20:19:53
Kushwaha Krishi Kendra,Fertilizer and Pesticide Dealer,Agricultural service,Agricultural service,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 97098 16234,N/A,3.0,2.0,"Kushwaha Krishi Kendra, Koerigawan, Siwan, Koiri Tola, Bihar 841232",Koerigawan,26.3031406,84.440467,ChIJSd8xNHjjkjkRr94VGJJMbX0,https://www.google.com/maps/place/?q=place_id:ChIJSd8xNHjjkjkRr94VGJJMbX0,part_392,2026-09-20 20:19:54
BHARAT AGRO,Fertilizer and Pesticide Dealer,Fertilizer Store,"Fertilizer Store, Agricultural Seed Store",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 96085 87888,N/A,4.0,1.0,"12 12, Taari Road, near Chainpur, Chainpur, Bhikhpur, Bihar 841203",Chainpur,25.993897699999998,84.4030928,ChIJBTgv6E_zkjkRs4UJKrBM_Lg,https://www.google.com/maps/place/?q=place_id:ChIJBTgv6E_zkjkRs4UJKrBM_Lg,part_392,2026-09-20 20:19:54
Shriram Farm Solutions - Kisan Seva Kendra | Agriculture Seed & Fertilizer Store in Sahebganj,Fertilizer and Pesticide Dealer,Agricultural Seed Store,"Agricultural Seed Store, Agricultural Product Wholesaler, Agricultural service, Agrochemicals Supplier, Farm shop, Farmers' market, Fertilizer Store, Organic shop, Store",841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 99394 49981,https://shriramfarmsolutions.com/,,,"Mahdeiya, Sahebganj, Distt, Sahebganj, Bihar 843125",841434,26.2991183,84.931022,ChIJ_d-0wprVkjkRLcFWRMfpTws,https://www.google.com/maps/place/?q=place_id:ChIJ_d-0wprVkjkRLcFWRMfpTws,part_392,2026-09-20 20:19:54
Jagdamba khad beej Bhandar जगदंबा खाद बीज भंडार (केदारनाथ प्रसाद/अमन कुमार),Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 73196 46431,https://www.instagram.com/royal_jaiswal_aman?igsh=MXVudXlrcG5ibjQzcw==,,,"Shweta medical ke samne, Gopalpur, Bihar 841286",841434,26.1322045,84.35989359999999,ChIJKabhfkT7kjkR_fZGaU3P9D0,https://www.google.com/maps/place/?q=place_id:ChIJKabhfkT7kjkR_fZGaU3P9D0,part_392,2026-09-20 20:19:54
Arsh Sarso,Fertilizer and Pesticide Dealer,Manufacturer,Manufacturer,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",+91 84474 23416,N/A,5.0,8.0,"587J, Q24, Siwan, Hathaura, Bihar 841237",Q24,26.1650121,84.33045109999999,ChIJwzDM8kH5kjkRya8E1ofD1hw,https://www.google.com/maps/place/?q=place_id:ChIJwzDM8kH5kjkRya8E1ofD1hw,part_392,2026-09-20 20:19:54
Kisan Krishi Kendra Sariswa,Fertilizer and Pesticide Dealer,Fertilizer Store,Fertilizer Store,841434,Bihar Circle,Muzaffarpur Region,Siwan Division,"Goreakothi SO, Bhithi BO, Dudhra BO",N/A,N/A,3.9,16.0,"Gidha - Sarisawa - Rampurwa Rd, Siriswa, Sisai, Bihar 845454",841434,26.877932299999998,84.63004839999999,ChIJha_H1stCkzkRDTtgS3JdvJM,https://www.google.com/maps/place/?q=place_id:ChIJha_H1stCkzkRDTtgS3JdvJM,part_392,2026-09-20 20:19:54
