business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Piprahiya pool,Cafe and Coffee Shop,Coffee shop,Coffee shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,4.2,,"village + post piprahiyan, Parasurampur, Bikaur, Bihar 841245",841435,26.1776523,84.2084668,ChIJofuneQ5XkjkRttC26_vpYuo,https://www.google.com/maps/place/?q=place_id:ChIJofuneQ5XkjkRttC26_vpYuo,part_392,2026-09-20 20:20:02
Balaji Tea Cafe,Cafe and Coffee Shop,Cafe,Cafe,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 77390 95303,N/A,4.6,,"Balaji Departmental Store, Mairwa - Guthani Rd, Mairwa, Bihar 841239",841435,26.226909499999998,84.1473092,ChIJfeZ6HrNTkjkRynNXh-BTnEo,https://www.google.com/maps/place/?q=place_id:ChIJfeZ6HrNTkjkRynNXh-BTnEo,part_392,2026-09-20 20:20:02
Zaika family restaurant,Cafe and Coffee Shop,Coffee shop,Coffee shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 96969 02212,N/A,4.3,,"6X67+WJH, Lar, Uttar Pradesh 274502",841435,26.2129889,83.96347329999999,ChIJ55pqGgBLkjkRxxU63FMLqg8,https://www.google.com/maps/place/?q=place_id:ChIJ55pqGgBLkjkRxxU63FMLqg8,part_392,2026-09-20 20:20:02
VINTAGE CAFE AND RESTAURANT,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Banquet hall, Restaurant",841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 87078 89396,https://instagram.com/vintage_cafe_restaurant_2023?igshid=MzNlNGNkZWQ4Mg==,4.6,,"7WWC+29C, Salempur, Uttar Pradesh 274509",841435,26.295098,83.9209352,ChIJtXK33rDLkzkRTpni11R4TRY,https://www.google.com/maps/place/?q=place_id:ChIJtXK33rDLkzkRTpni11R4TRY,part_392,2026-09-20 20:20:02
Chai ki chuski,Cafe and Coffee Shop,Coffee shop,Coffee shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 97711 10777,N/A,4.4,,"Salempur - Mairwa Road, Mairwa, Bihar 841239",841435,26.2318775,84.1599256,ChIJ02jBvrJTkjkRGs88T7e49p0,https://www.google.com/maps/place/?q=place_id:ChIJ02jBvrJTkjkRGs88T7e49p0,part_392,2026-09-20 20:20:02
The Cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,4.1,,"Mirganj, Bihar 841438",841435,26.374989799999998,84.3429838,ChIJVXc9Y8YBkzkRm4iGfUnn_Ow,https://www.google.com/maps/place/?q=place_id:ChIJVXc9Y8YBkzkRm4iGfUnn_Ow,part_392,2026-09-20 20:20:03
Shiva restaurant and cake house,Cafe and Coffee Shop,Restaurant,Restaurant,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 81270 40442,N/A,5.0,,"Shiv Mandir Road, Sohagra, Bihar 841239",841435,26.235668,84.0189192,ChIJDXmLIUpNkjkRmapE21M8cP0,https://www.google.com/maps/place/?q=place_id:ChIJDXmLIUpNkjkRmapE21M8cP0,part_392,2026-09-20 20:20:03
The Cafe Coffee Shop,Cafe and Coffee Shop,Coffee shop,Coffee shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,5.0,,"Q4VG+MF3, Jira Basti, Uttar Pradesh 277001",841435,25.7941374,84.1261749,ChIJx37Z6CFlkjkReSR2nMd5R2k,https://www.google.com/maps/place/?q=place_id:ChIJx37Z6CFlkjkReSR2nMd5R2k,part_392,2026-09-20 20:20:03
Motu sweet house,Cafe and Coffee Shop,Restaurant,Restaurant,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 95073 24233,N/A,4.2,,"Guthani Main Rd, Guthani West, Bihar 841435",841435,26.1632899,84.0380012,ChIJh7hY0jNPkjkRozj5hdL2AbY,https://www.google.com/maps/place/?q=place_id:ChIJh7hY0jNPkjkRozj5hdL2AbY,part_392,2026-09-20 20:20:04
Ramnagar Chauraha,Cafe and Coffee Shop,Cafe,Cafe,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,3.8,,"Chanuki-Phulwaria Rd, Ram Nagar, Uttar Pradesh 274502",841435,26.2196273,83.98129639999999,ChIJyw0qXRdLkjkRc_8prOi6zkQ,https://www.google.com/maps/place/?q=place_id:ChIJyw0qXRdLkjkRc_8prOi6zkQ,part_392,2026-09-20 20:20:04
AABID JUICE SHOP,Cafe and Coffee Shop,Juice shop,Juice shop,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 89622 12553,N/A,5.0,,"Rs, Mairwa - Guthani Rd, near by Petrol Pump, Mairwa, Siwan, Bihar 841239",841435,26.2172988,84.1329595,ChIJWb5vJo1TkjkRFnFscCRPUJw,https://www.google.com/maps/place/?q=place_id:ChIJWb5vJo1TkjkRFnFscCRPUJw,part_392,2026-09-20 20:20:04
