business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Lic , Mutual fund , Post office",Insurance Agent,Insurance agent,Insurance agent,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,4.8,16.0,"Village, Post, Guthani West, Bihar 841435",841435,26.1655178,84.03778299999999,ChIJ1ROiEfZPkjkRDyeMh_Q7F9E,https://www.google.com/maps/place/?q=place_id:ChIJ1ROiEfZPkjkRDyeMh_Q7F9E,part_392,2026-09-20 20:20:27
LIC PREMIUM POINT,Insurance Agent,Income protection insurance agency,Income protection insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 90973 67227,N/A,3.1,14.0,"1, Guthani Main Rd, Guthani West, Bihar 841435",841435,26.1686122,84.0433544,ChIJTd9ZMu9OkjkRgWfLp_HG9jY,https://www.google.com/maps/place/?q=place_id:ChIJTd9ZMu9OkjkRgWfLp_HG9jY,part_392,2026-09-20 20:20:27
HDFC ERGO General Insurance,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 22 6234 6234,http://www.hdfcergo.com/,,,"Balua, Kotha, Uttar Pradesh 274704",841435,26.231483599999997,84.0841227,ChIJT4DvuAxNkjkR2MpsG27FJVo,https://www.google.com/maps/place/?q=place_id:ChIJT4DvuAxNkjkR2MpsG27FJVo,part_392,2026-09-20 20:20:27
Ramashankar Singh (House),Insurance Agent,Home insurance agency,Home insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,,,"53V3+M7V, Bhusouli, Bihar 841435",841435,26.194558299999997,84.0534806,ChIJk9a8VABPkjkRGTJX3eTIONE,https://www.google.com/maps/place/?q=place_id:ChIJk9a8VABPkjkRGTJX3eTIONE,part_392,2026-09-20 20:20:27
"जीवन बीमा सेवा केंद्र, जेडी मार्केट, दोन बाजार (ललन कुशवाहा) Life Advisor",Insurance Agent,Insurance agency,Insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,3.0,2.0,"34FG+WJX, Darauli Rd, Diara Nauabad, Diara Maniar Tukra I, Bihar 841234",841435,26.074863999999998,84.1266218,ChIJYTVyV49bkjkRPaxfz9hNoNQ,https://www.google.com/maps/place/?q=place_id:ChIJYTVyV49bkjkRPaxfz9hNoNQ,part_392,2026-09-20 20:20:27
LIC ADVISOR.PRIYANKA CHAUHAN,Insurance Agent,Life insurance agency,Life insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,http://licpriyankachauhansiwan.com/,3.7,3.0,"Saraya road, Amarpur, Bihar 841234",841435,26.099871999999998,84.1011927,ChIJsfp3raJFkjkRhkRTvmuhjaI,https://www.google.com/maps/place/?q=place_id:ChIJsfp3raJFkjkRhkRTvmuhjaI,part_392,2026-09-20 20:20:27
SHRIRAM LIFE INSURANCE,Insurance Agent,Insurance agency,Insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,5.0,1.0,"699C+J4M, Electric Colony, Siwan, Atarsua, Bihar 841227",Electric Colony,26.219079699999998,84.3702998,ChIJwbjvIgD9kjkR87J-80uPbxY,https://www.google.com/maps/place/?q=place_id:ChIJwbjvIgD9kjkR87J-80uPbxY,part_392,2026-09-20 20:20:27
SUNNY PUC CENTRE,Insurance Agent,Insurance agency,"Insurance agency, Battery Store, Health insurance agency, Auto repair shop, Smog inspection station",841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,,,"Guthani West, Bihar 841435",841435,26.174391699999997,84.0494267,ChIJr2cB1qVPkjkR6oBH86W_yUs,https://www.google.com/maps/place/?q=place_id:ChIJr2cB1qVPkjkR6oBH86W_yUs,part_392,2026-09-20 20:20:27
Sandeep kushwaha,Insurance Agent,Life insurance agency,Life insurance agency,841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",N/A,N/A,,,"5XHF+892, Chamukha, Uttar Pradesh 274508",841435,26.1782708,83.9733778,ChIJQ_kEVQBJkjkRjCwXZ-7e9z8,https://www.google.com/maps/place/?q=place_id:ChIJQ_kEVQBJkjkRjCwXZ-7e9z8,part_392,2026-09-20 20:20:27
Insurance Experts,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",841435,Bihar Circle,Muzaffarpur Region,Siwan Division,"Guthni SO, Balua BO, Bhlua BO",+91 98145 09952,N/A,5.0,,"Insurance Experts, 841435, India",841435,30.9003452,75.8566733,ChIJB7mzfDWDGjkRlyLPyNnerEI,https://www.google.com/maps/place/?q=place_id:ChIJB7mzfDWDGjkRlyLPyNnerEI,part_392,2026-09-20 20:20:28
