business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sabeya Fish Market,Fish Market,Pond fish supplier,Pond fish supplier,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,5.0,,"98Q2+H7C, Sabeya, Sabea, Bihar 841436",841436,26.3889443,84.3006521,ChIJmUQkXj4BkzkR-jo6WHX8-K8,https://www.google.com/maps/place/?q=place_id:ChIJmUQkXj4BkzkR-jo6WHX8-K8,part_392,2026-09-20 20:20:37
Lawkush aquarium,Fish Market,Aquarium shop,Aquarium shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 77660 40385,N/A,5.0,,"Thana mor, Mirganj, Bihar 841438",841436,26.3694563,84.3355575,ChIJmReOLy8BkzkRvVF6wqh3Umc,https://www.google.com/maps/place/?q=place_id:ChIJmReOLy8BkzkRvVF6wqh3Umc,part_392,2026-09-20 20:20:37
Maya Iron Store & Refrigeration,Fish Market,Store,"Store, Bakery equipment, Cake decorating equipment shop, Ice cream equipment supplier, Wholesale bakery",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 97717 74195,N/A,5.0,,"Sunil Kumar, Maya Iron Store & Refrigeration, Mirganj Rd, opposite HDFC Bank, Gopalganj, Bihar 841438",841436,26.366119599999998,84.33507639999999,ChIJjYPShHIBkzkRKIXz_mnPJ-M,https://www.google.com/maps/place/?q=place_id:ChIJjYPShHIBkzkRKIXz_mnPJ-M,part_392,2026-09-20 20:20:37
976X+R4P GALA MANDI,Fish Market,Building,Building,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,,,"976X+R4P Sabzi Mandi, near fish market, Hathua, Gopalganj, Bihar 841245",841436,26.3620506,84.2978502,ChIJJetQCvEAkzkRgvGyUpaGM6Q,https://www.google.com/maps/place/?q=place_id:ChIJJetQCvEAkzkRgvGyUpaGM6Q,part_392,2026-09-20 20:20:37
Aditya Fish Farm,Fish Market,Market,Market,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 89489 18587,N/A,4.9,,"5M4R+3J, Barwa Kala, Uttar Pradesh 273163",841436,27.1551252,83.6916177,ChIJFXJRYckFlDkRW5TYvjqSgZ8,https://www.google.com/maps/place/?q=place_id:ChIJFXJRYckFlDkRW5TYvjqSgZ8,part_392,2026-09-20 20:20:37
Bullet Singh's Pond,Fish Market,Pond fish supplier,Pond fish supplier,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 88092 23267,N/A,,,"89C3+6H3, Barai Patti, Bihar 841436",841436,26.3201291,84.3531782,ChIJqwx2bwABkzkRI8Orsq1NFt8,https://www.google.com/maps/place/?q=place_id:ChIJqwx2bwABkzkRI8Orsq1NFt8,part_392,2026-09-20 20:20:37
Gopal Fish Sope,Fish Market,General store,General store,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 75428 31638,N/A,,,"Bharpurwa Near By Shiv Mandir Main Road, Hathua Road, Hathua Bharpurwa, Gopalganj, Bihar 841436",Hathua Bharpurwa,26.3668232,84.3035235,ChIJUx_BrUABkzkR_Z1gITXiEJE,https://www.google.com/maps/place/?q=place_id:ChIJUx_BrUABkzkR_Z1gITXiEJE,part_392,2026-09-20 20:20:37
"Sabji Market, Hathuwa",Fish Market,Vegetable wholesale market,Vegetable wholesale market,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,3.3,,"976X+W3X, Hathua, Bihar 841436",841436,26.362364,84.2977286,ChIJSSjTVwABkzkRY-KbIBTB-YI,https://www.google.com/maps/place/?q=place_id:ChIJSSjTVwABkzkRY-KbIBTB-YI,part_392,2026-09-20 20:20:37
MUKESH FISH STORE,Fish Market,Chicken & Mutton Shop,Chicken & Mutton Shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 79903 54697,N/A,,,"Siwan, Chhotpur, Bihar 841436",841436,26.2536928,84.3484538,ChIJTRtbZZD_kjkRd4SJdthrgxw,https://www.google.com/maps/place/?q=place_id:ChIJTRtbZZD_kjkRd4SJdthrgxw,part_392,2026-09-20 20:20:37
Badarjimi bazar,Fish Market,Fish store,Fish store,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,4.3,,"Mirganj Rd, Badarjhimmi, Nabiganj, Bihar 841438",Badarjhimmi,26.3658093,84.3613412,ChIJEY2bSwADkzkRJdbz8NNsZEI,https://www.google.com/maps/place/?q=place_id:ChIJEY2bSwADkzkRJdbz8NNsZEI,part_392,2026-09-20 20:20:38
