business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vishal Gift Corner And Princy Bag House,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 99550 14510,N/A,3.9,21.0,"Jai Prakash Chowk, in front of Chandan Medical Hall, Mirganj, Bihar 841438",841436,26.370639699999998,84.337959,ChIJTVDHaG0BkzkRpKmAR9xe-68,https://www.google.com/maps/place/?q=place_id:ChIJTVDHaG0BkzkRpKmAR9xe-68,part_392,2026-09-20 20:20:58
GEM TOY & DECOR,Gifting,Gift shop,"Gift shop, Toy store",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 73610 98111,N/A,5.0,11.0,"N GUPTA, INFRONT OF DR.S, Mahadeva Rd, near BAJAJ AGENCY, Mahadeva, Siwan, Tanrwa, Bihar 841226",Mahadeva,26.238660199999998,84.3601013,ChIJiyE45979kjkRhqUfyfdXIEk,https://www.google.com/maps/place/?q=place_id:ChIJiyE45979kjkRhqUfyfdXIEk,part_392,2026-09-20 20:20:58
NAVYA ADVERTISING & GIFT,Gifting,Gift shop,"Gift shop, Manufacturer, Neon sign shop, Photography studio, Sign shop",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,4.9,36.0,"Station Rd, beside style bazar, Babuniyamore, Fathepur, Siwan, Bihar 841226","Babuniyamore, Fathepur",26.2225036,84.36236869999999,ChIJzd-CbgD9kjkRdXvZMsrblAg,https://www.google.com/maps/place/?q=place_id:ChIJzd-CbgD9kjkRdXvZMsrblAg,part_392,2026-09-20 20:20:58
Royal Gift Gallery&Flower point,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 70041 54935,N/A,5.0,1.0,"Infront Of Badi Masjid, Chowk Bazar, Kagzi Muhalla, Siwan, Bihar 841226","Chowk Bazar, Kagzi Muhalla",26.221425399999998,84.3582989,ChIJcTpuDT_9kjkR5LCsGWSax1A,https://www.google.com/maps/place/?q=place_id:ChIJcTpuDT_9kjkR5LCsGWSax1A,part_392,2026-09-20 20:20:58
Rahvanshi Gift Gallery,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 88093 18827,N/A,,,"Mirganj, Bihar 841227",841436,26.3073125,84.3605625,ChIJPZu477j9kjkRE_XjrzeUgUQ,https://www.google.com/maps/place/?q=place_id:ChIJPZu477j9kjkRE_XjrzeUgUQ,part_392,2026-09-20 20:20:58
A To Z 99 Mart,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 70046 89974,N/A,5.0,2.0,"in front of Catholic Church, Pipra Jado, Bihar 841436",841436,26.384554599999998,84.30498329999999,ChIJtc-QAPABkzkRuZLSVNU7vC0,https://www.google.com/maps/place/?q=place_id:ChIJtc-QAPABkzkRuZLSVNU7vC0,part_392,2026-09-20 20:20:58
Saify Store And Gift Corner,Gifting,Gift shop,"Gift shop, Transportation service",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 73527 27667,N/A,,,"Near By Ganesh Cinema Hall Ke Pass Mirganj Main Bajar Mirganj, Ganesh Cinema Rd, Market, Siwan, Bihar 841438",Market,26.3671218,84.33597859999999,ChIJ62MG3bQBkzkRGKBB1jZdbYI,https://www.google.com/maps/place/?q=place_id:ChIJ62MG3bQBkzkRGKBB1jZdbYI,part_392,2026-09-20 20:20:58
shree sai stationery & Gifts corner 🎁 📚,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,5.0,2.0,"kadam more, Baletha, Baletha Bazar, Bihar 841227",841436,26.3028798,84.3812985,ChIJO0lwIwD9kjkR-MqvZfAHD74,https://www.google.com/maps/place/?q=place_id:ChIJO0lwIwD9kjkR-MqvZfAHD74,part_392,2026-09-20 20:20:58
Vvisanj Digital Hub Pro,Gifting,Gift shop,"Gift shop, Digital printer, Money transfer service",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 87577 29191,https://vvisanjdigitalhub.com/,,,"phkhreda, Mairwa, Pokhrera, Bihar 841239",phkhreda,26.2321189,84.2086796,ChIJa4yogBhVkjkRpq21mvOWms4,https://www.google.com/maps/place/?q=place_id:ChIJa4yogBhVkjkRpq21mvOWms4,part_392,2026-09-20 20:20:58
Ful Jaha khatoon,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 79704 41208,N/A,,,"10 Nabihata, Mirganj Rd, Kailgarh, Gopalganj, Kail, Bihar 841438",Kailgarh,26.3565479,84.4138588,ChIJo08nPtYDkzkRM_MQ6fjjFpY,https://www.google.com/maps/place/?q=place_id:ChIJo08nPtYDkzkRM_MQ6fjjFpY,part_392,2026-09-20 20:20:58
GIFT Bihar,Gifting,Gift shop,"Gift shop, Custom t-shirt store, Print shop",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,https://www.youtube.com/@GIFTBihar,5.0,3.0,"Mahaviri Path, near Mahaviri Shishu Mandir Schoo, Babuniyamore, Fathepur, Siwan, Bihar 841226","Babuniyamore, Fathepur",26.2216646,84.3633514,ChIJv8SIlS_9kjkRJdVmTAkyLvU,https://www.google.com/maps/place/?q=place_id:ChIJv8SIlS_9kjkRJdVmTAkyLvU,part_392,2026-09-20 20:20:59
Aayush Gift gallery,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,,,"BUS STAND, Gopal Mandir Rd, Hathua, Bihar 841436",841436,26.3638668,84.2966335,ChIJp5WKMM4BkzkR2qrm4cXGcks,https://www.google.com/maps/place/?q=place_id:ChIJp5WKMM4BkzkR2qrm4cXGcks,part_392,2026-09-20 20:21:00
Maa Bhawni Singar Shop Gift House,Gifting,Gift shop,Gift shop,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 76674 26026,N/A,,,"Sbi Falka Road, Mirganj, Bihar 841438",841436,26.3687106,84.3350458,ChIJwca0YC0BkzkRF05HdYZuUzk,https://www.google.com/maps/place/?q=place_id:ChIJwca0YC0BkzkRF05HdYZuUzk,part_392,2026-09-20 20:21:00
