business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Websparks Technologies,SaaS Companies Selling to SMBs,Software company,Software company,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 91615 80758,http://websparks.in/,5.0,,"Post:, Kunraghat, Gorakhpur, Uttar Pradesh 273008","Post:, Kunraghat",26.737402399999997,83.4258126,ChIJScuhxDX8zCsRfsW5sypGhcI,https://www.google.com/maps/place/?q=place_id:ChIJScuhxDX8zCsRfsW5sypGhcI,part_392,2026-09-20 20:21:12
SCM Infotech,SaaS Companies Selling to SMBs,Software company,Software company,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 99365 91402,http://scminfotech.in/,5.0,,"SCM Infotech Village- Bhuani, Post, Ghughuli, Uttar Pradesh 273151",841436,27.0394117,83.7184357,ChIJMU9PyFgHlDkRdztcgEI_u14,https://www.google.com/maps/place/?q=place_id:ChIJMU9PyFgHlDkRdztcgEI_u14,part_392,2026-09-20 20:21:12
A. S. Software Solutions,SaaS Companies Selling to SMBs,Corporate office,Corporate office,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,N/A,5.0,,"497H+F6P, Govindpur, Uttar Pradesh 273155",841436,27.113736099999997,83.3781279,ChIJ90WcVgCxljkRhZ-tJLy_luk,https://www.google.com/maps/place/?q=place_id:ChIJ90WcVgCxljkRhZ-tJLy_luk,part_392,2026-09-20 20:21:12
SSR IT Solution,SaaS Companies Selling to SMBs,Computer support and services,Computer support and services,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 77529 57402,N/A,5.0,,"103, Canal Road, Daudpur, Gorakhpur, Uttar Pradesh 273016",Daudpur,26.737723,83.37265839999999,ChIJyaxhDuNFkTkRq9GsXaLwB3o,https://www.google.com/maps/place/?q=place_id:ChIJyaxhDuNFkTkRq9GsXaLwB3o,part_392,2026-09-20 20:21:12
Snwasj Infotech Pvt. Ltd.,SaaS Companies Selling to SMBs,Software company,"Software company, Web hosting company, Website designer",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 95544 47743,https://snwasj.com/,4.9,,"Gorariya, Post Gorariya, Padrauna, Uttar Pradesh 274303",841436,26.8456714,84.1082429,ChIJuWxH8rCbkzkR51BWyDw9U3o,https://www.google.com/maps/place/?q=place_id:ChIJuWxH8rCbkzkR51BWyDw9U3o,part_392,2026-09-20 20:21:12
Skyably IT Solution,SaaS Companies Selling to SMBs,Software company,"Software company, Computer support and services, E-commerce service, Graphic designer, Marketing agency, Web hosting company, Website designer",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 79851 30789,https://skyablyitsolution.com/,4.8,,"Shop No 46, Sales Tax Building, Rail Vihar Colony Phase 3rd, Taramandal, Gorakhpur, Bharwalia Buzurg, Uttar Pradesh 273017","Rail Vihar Colony Phase 3rd, Taramandal",26.7264751,83.3871681,ChIJkwQMGspDkTkR6lYFeJBNt_Q,https://www.google.com/maps/place/?q=place_id:ChIJkwQMGspDkTkR6lYFeJBNt_Q,part_392,2026-09-20 20:21:12
Sage Next Infotech LLC,SaaS Companies Selling to SMBs,Software company,Software company,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 95540 10723,http://www.thesagenext.com/,3.5,,"R95V+FP2, Medical College Road, Chargawa,, Gorakhpur, Uttar Pradesh 273013","Chargawa,",26.808644599999997,83.3942606,ChIJjR3BumxFkTkRzNTjTkc-3Sg,https://www.google.com/maps/place/?q=place_id:ChIJjR3BumxFkTkRzNTjTkc-3Sg,part_392,2026-09-20 20:21:12
Swiftsense Consultancy & IT Services Private Limited,SaaS Companies Selling to SMBs,Internet marketing service,Internet marketing service,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 73980 90408,https://swiftsense.co/,4.8,,"1st Floor, 273/B, behind Passport Seva Kendra, Basharatpur, Ashok Nagar, Gorakhpur, Uttar Pradesh 273004","Basharatpur, Ashok Nagar",26.7830208,83.38441209999999,ChIJwftQvAVFkTkR0d5DTAUAiGk,https://www.google.com/maps/place/?q=place_id:ChIJwftQvAVFkTkR0d5DTAUAiGk,part_392,2026-09-20 20:21:12
SMART ENTERPRISES,SaaS Companies Selling to SMBs,Business management consultant,Business management consultant,841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",+91 72369 62682,http://smartenterprises.info/,4.9,,"Asuran, Medical College Road, Ramjanki Nagar, Gorakhpur, Uttar Pradesh 273004",Ramjanki Nagar,26.7679083,83.3792885,ChIJp14pvVhFkTkRzmcjaI0Vao4,https://www.google.com/maps/place/?q=place_id:ChIJp14pvVhFkTkRzmcjaI0Vao4,part_392,2026-09-20 20:21:12
Cyberom06,SaaS Companies Selling to SMBs,Online Share Trading Center,"Online Share Trading Center, Business center, Coaching Center, Financial consultant",841436,Bihar Circle,Muzaffarpur Region,Siwan Division,"Hathwa SO, Aghaila BO, BR Bhan BO",N/A,https://instagram.com/mr_cyber06?igshid=NTc4MTIwNjQ2YQ==,5.0,,"Khajani, Gorakhpur, Uttar Pradesh 273212",841436,26.6846987,83.2588768,ChIJ2Twj9mJBkTkRExa_OKXsTxk,https://www.google.com/maps/place/?q=place_id:ChIJ2Twj9mJBkTkRExa_OKXsTxk,part_392,2026-09-20 20:21:12
