business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rasoi Angan Family Restaurant,North Indian Restaurant,Restaurant,Restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 95729 43514,N/A,4.9,,"High school over bridge, Bihta Sarmera Bypass Road, se purav, Lakhna, Bihar 804453",se purav,25.4533485,85.15400249999999,ChIJWT-PPuCl8jkR5rukfiddhhA,https://www.google.com/maps/place/?q=place_id:ChIJWT-PPuCl8jkR5rukfiddhhA,part_392,2026-09-20 20:24:15
Buddha Restaurant & cafe,North Indian Restaurant,North Indian restaurant,North Indian restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 90063 54111,N/A,4.7,,"Buddah resort NH139, near Vastu Vihar, Phulwari Aiims, Patna, Bihar 801105",Phulwari Aiims,25.549096799999997,85.0243347,ChIJo5CiloGp8jkRD8R7gxxbrNU,https://www.google.com/maps/place/?q=place_id:ChIJo5CiloGp8jkRD8R7gxxbrNU,part_392,2026-09-20 20:24:16
CHASKA (Family Restaurant & Sweets Corner),North Indian Restaurant,Family restaurant,Family restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 72771 72775,N/A,3.5,,"near Central Bank of India, Raipatti, Mirpur Bhual, Dighwara, Bihar 841207","Raipatti, Mirpur Bhual",25.7441721,84.99875019999999,ChIJGeP3k2RT7TkR88n9us94dNs,https://www.google.com/maps/place/?q=place_id:ChIJGeP3k2RT7TkR88n9us94dNs,part_392,2026-09-20 20:24:16
Patna Hotel,North Indian Restaurant,Restaurant,Restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 84344 81475,N/A,2.3,,"Pankaj Cinema Rd, Saran, Chapra, Athasia, Bihar 841301",Saran,25.778603399999998,84.7419073,ChIJ2QG5VLS7kjkRxEMaimg_xCQ,https://www.google.com/maps/place/?q=place_id:ChIJ2QG5VLS7kjkRxEMaimg_xCQ,part_392,2026-09-20 20:24:16
Orange flames,North Indian Restaurant,Family restaurant,Family restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 90067 01900,N/A,2.7,,"DURGA MARKET COMPLEX, Sadhapur, Chapra, Bihar 841301",Sadhapur,25.782127799999998,84.74282339999999,ChIJZZyiCwC7kjkRyzwzH8eVk5A,https://www.google.com/maps/place/?q=place_id:ChIJZZyiCwC7kjkRyzwzH8eVk5A,part_392,2026-09-20 20:24:16
The Highway Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 91024 76545,https://delhihighwayrestaurant.com/,3.7,,"Near BMP 16 , Danapur, Khagaul Rd, Lakh, Patna, Bihar 801105",Lakh,25.578296299999998,85.05523439999999,ChIJKSWW4yWp8jkRs-r3e010Hi4,https://www.google.com/maps/place/?q=place_id:ChIJKSWW4yWp8jkRs-r3e010Hi4,part_392,2026-09-20 20:24:16
Bloom kitchen,North Indian Restaurant,Indian restaurant,"Indian restaurant, Banquet hall, Chinese restaurant, Fine dining restaurant, North Indian restaurant",841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 62060 39114,http://bloomkitchen.co.in/,4.2,,"Vijay Nagar Rd, near NBCC Tower, Hanuman Nagar, Patna, Bihar 800026",Hanuman Nagar,25.5896269,85.16812709999999,ChIJ1VujhYdZ7TkR1L49xNWbgUM,https://www.google.com/maps/place/?q=place_id:ChIJ1VujhYdZ7TkR1L49xNWbgUM,part_392,2026-09-20 20:24:16
Hotel Shis Mahal (Without Rooms),North Indian Restaurant,Restaurant,"Restaurant, Hotel",841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 76675 93805,N/A,3.4,,"NH19, Darshan Nagar, Chapra, Bihar 841301",Darshan Nagar,25.7817449,84.7434114,ChIJ_54dI-i6kjkR6F9j-kFwi5Q,https://www.google.com/maps/place/?q=place_id:ChIJ_54dI-i6kjkR6F9j-kFwi5Q,part_392,2026-09-20 20:24:16
Ajay BOOS,North Indian Restaurant,Punjabi restaurant,Punjabi restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",N/A,N/A,,,"WM2R+3WH, Jalalpur, Bihar 841412",841442,25.900190199999997,84.69236339999999,ChIJ5cSTHwC5kjkRUhDxPyMz4j4,https://www.google.com/maps/place/?q=place_id:ChIJ5cSTHwC5kjkRUhDxPyMz4j4,part_392,2026-09-20 20:24:16
One Choice Kitchen,North Indian Restaurant,Indian restaurant,"Indian restaurant, Chinese restaurant, Restaurant, Juice shop",841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 70048 38102,N/A,3.5,2.0,"H4GX+6V5, Madhuban Colony, Ramkrishan Nagar, Patna, Bihar 800027","Madhuban Colony, Ramkrishan Nagar",25.575131799999998,85.1496119,ChIJIeN1fQCn8jkR6Pd8TIAfDGs,https://www.google.com/maps/place/?q=place_id:ChIJIeN1fQCn8jkR6Pd8TIAfDGs,part_392,2026-09-20 20:24:16
Swad Lajawab The Eater's Paradise,North Indian Restaurant,Indian restaurant,Indian restaurant,841442,Bihar Circle,Muzaffarpur Region,Saran Division,"Nagra SO Saran, Arwa BO, Deo Bahuara BO",+91 74883 55997,N/A,3.9,83.0,"H27R+WJJ, AIIMS Rd, Saida Nagar Colony, Khagaul, Patna, Bihar 801505","Saida Nagar Colony, Khagaul",25.564844599999997,85.0415003,ChIJdSxhEOup8jkRBkQ8jUgO7tg,https://www.google.com/maps/place/?q=place_id:ChIJdSxhEOup8jkRBkQ8jUgO7tg,part_392,2026-09-20 20:24:16
