business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bodhivibes,Herbal and Ayurvedic Cosmetic Products,FMCG Manufacturer,FMCG Manufacturer,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 99554 97482,https://www.bodhivibes.in/,5.0,,"Rupanchak, Mathpar, Islampur, Bihar 801303","Rupanchak, Mathpar",25.1425385,85.2138039,ChIJw3uJNMnB8jkRLhja6RrXUF4,https://www.google.com/maps/place/?q=place_id:ChIJw3uJNMnB8jkRLhja6RrXUF4,part_392,2026-09-20 20:25:07
IMC AYURVEDA STORE,Herbal and Ayurvedic Cosmetic Products,Alternative medicine practitioner,Alternative medicine practitioner,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",N/A,N/A,5.0,,"11A, Baidrabad - Arwal Rd, Arwal Sipah Panchayat, Bihar 804401",841443,25.244767099999997,84.662883,ChIJZZksXbNBjTkRlbuaAV8yELU,https://www.google.com/maps/place/?q=place_id:ChIJZZksXbNBjTkRlbuaAV8yELU,part_392,2026-09-20 20:25:07
Ayurveda Physician,Herbal and Ayurvedic Cosmetic Products,Health and beauty shop,Health and beauty shop,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 98358 97704,N/A,5.0,,"Banahi Station Rd, Shahpur, Ara, Bihar 802165",841443,25.5968993,84.399417,ChIJ8T15MG2DkjkRaX7LjnfVmFM,https://www.google.com/maps/place/?q=place_id:ChIJ8T15MG2DkjkRaX7LjnfVmFM,part_392,2026-09-20 20:25:07
Ayurved Kendra,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 98358 02395,N/A,5.0,,"HM55+GFG, Ramna Pakri Rd, Mahatma Gandhi Nagar, Arrah, Bihar 802301",Mahatma Gandhi Nagar,25.5588205,84.65869219999999,ChIJvf4qsmRfjTkRhG4jfFB6k0E,https://www.google.com/maps/place/?q=place_id:ChIJvf4qsmRfjTkRhG4jfFB6k0E,part_392,2026-09-20 20:25:07
Ayurveda naturalcare,Herbal and Ayurvedic Cosmetic Products,Health consultant,Health consultant,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",N/A,N/A,5.0,,"office no - 63, Paharpura, Bihar Sharif, Kamarpur Paharpur, Bihar 803101",Paharpura,25.179846299999998,85.5180984,ChIJAQyUILDz8jkR6F-FkkiUN-c,https://www.google.com/maps/place/?q=place_id:ChIJAQyUILDz8jkR6F-FkkiUN-c,part_392,2026-09-20 20:25:07
Arpan Adarsh Ytm ayurveda store,Herbal and Ayurvedic Cosmetic Products,Health and beauty shop,Health and beauty shop,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",N/A,http://www.ytmonline.in/,4.2,,"More, Ambey Nagar, Uma Nagar, Chandawa, Arrah, Bihar 802301","Ambey Nagar, Uma Nagar, Chandawa",25.5583361,84.6434835,ChIJIZQS1-lfjTkREB5qfKjPmnw,https://www.google.com/maps/place/?q=place_id:ChIJIZQS1-lfjTkREB5qfKjPmnw,part_392,2026-09-20 20:25:07
आयुर्वेद भंडार,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",N/A,N/A,,,"Chandwa More, in front of Yamaha, pakari, Arrah, Bihar 802301",pakari,25.5598672,84.644892,ChIJ64zPJAlfjTkRPFaBPTsj1kU,https://www.google.com/maps/place/?q=place_id:ChIJ64zPJAlfjTkRPFaBPTsj1kU,part_392,2026-09-20 20:25:07
Ayurvedic Junction,Herbal and Ayurvedic Cosmetic Products,Alternative medicine practitioner,"Alternative medicine practitioner, Pharmacy",841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 93343 46046,N/A,2.0,,"JVWM+86G, Main Road, Maner Bazar, Maner, Bihar 801108",Maner Bazar,25.6458071,84.88309249999999,ChIJz8kSC5arkjkRXgh3ChnOraI,https://www.google.com/maps/place/?q=place_id:ChIJz8kSC5arkjkRXgh3ChnOraI,part_392,2026-09-20 20:25:07
SP Ayurvedic,Herbal and Ayurvedic Cosmetic Products,Health consultant,"Health consultant, Auto parts store, Pharmacy, Health food store",841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 98354 25090,N/A,5.0,7.0,"12, Kothiya Mazar Rd, Kanti, Bihar 843109",841443,26.212965699999998,85.3186283,ChIJw2-ict8Z7TkRYtyhMeOeYuo,https://www.google.com/maps/place/?q=place_id:ChIJw2-ict8Z7TkRYtyhMeOeYuo,part_392,2026-09-20 20:25:07
SATVIK AYURVEDIC AND COSMETIC STORE,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 70044 24071,https://satvikayurvedic.lovable.app/,5.0,,"SHOP NO - 14, LOK NAYAK BHAWAN, Fraser Rd, Patna, Bihar 800001",Fraser Road Area,25.6097188,85.13735729999999,ChIJT0RbxdZZ7TkR7PE7X4laI28,https://www.google.com/maps/place/?q=place_id:ChIJT0RbxdZZ7TkR7PE7X4laI28,part_392,2026-09-20 20:25:08
