business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
उन्नत कपड़ा जंक्शन ब्लॉक रोड इसुआपुर,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 80837 72625,N/A,4.8,,"2QGX+42C, Ishauvpur, Bihar 841411",841443,26.0253686,84.797527,ChIJ8QBWXFbJkjkRYMDeEAqPk8s,https://www.google.com/maps/place/?q=place_id:ChIJ8QBWXFbJkjkRYMDeEAqPk8s,part_392,2026-09-20 20:24:52
N.D FASHION.POINT,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 75419 13033,N/A,3.9,,"ISUAPUR Main Road Isuapur, main road, Chapra, Bihar 841411",841443,26.0256391,84.7965444,ChIJTXGdLMfIkjkR942KaToOwnM,https://www.google.com/maps/place/?q=place_id:ChIJTXGdLMfIkjkR942KaToOwnM,part_392,2026-09-20 20:24:52
D J FASHION,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 62068 78096,N/A,4.7,,"Ishauvpur, Bihar 841411",841443,26.027613,84.7970847,ChIJ1RtSwKLJkjkROzZ1BQ9_rKI,https://www.google.com/maps/place/?q=place_id:ChIJ1RtSwKLJkjkROzZ1BQ9_rKI,part_392,2026-09-20 20:24:52
Trend Makr Cloth Emporium,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 86511 11236,http://trendmakr.in/,4.7,,"Fuaji Market, Kurhani Station Road, Balia, chowk, Kurhani, Bihar 844127",841443,25.985402,85.3169941,ChIJtQC7HjkV7TkRui-v7h0rm64,https://www.google.com/maps/place/?q=place_id:ChIJtQC7HjkV7TkRui-v7h0rm64,part_392,2026-09-20 20:24:53
Raj Readymade Garments,Readymade Garments Shop,Store,Store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 91993 31494,N/A,5.0,,"5293+QCJ, Bishanpur Saraiya, Bihar 843120",841443,26.169466999999997,85.0035307,ChIJ15pVacAt7TkRkak1A3x7ZE8,https://www.google.com/maps/place/?q=place_id:ChIJ15pVacAt7TkRkak1A3x7ZE8,part_392,2026-09-20 20:24:53
The Big Shop,Readymade Garments Shop,Men's clothing store,Men's clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 98358 30243,N/A,4.4,107.0,"near Mahavir Mandir, Sadar Bazaar, Jagdishpur, Bihar 802158",Sadar Bazaar,25.4683513,84.4209985,ChIJLWU2XqF8jTkRBHpOA0ianPQ,https://www.google.com/maps/place/?q=place_id:ChIJLWU2XqF8jTkRBHpOA0ianPQ,part_392,2026-09-20 20:24:54
sonu garment s,Readymade Garments Shop,Manufacturer,Manufacturer,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 62060 68714,N/A,4.3,,"near Gautama Sri cinema hall, Bakhtiarpur, Bihar 803212",841443,25.4557731,85.53548239999999,ChIJn2qTf3CH8jkRxH-CfdJHtRE,https://www.google.com/maps/place/?q=place_id:ChIJn2qTf3CH8jkRxH-CfdJHtRE,part_392,2026-09-20 20:24:54
Today's Fashion,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 93341 10962,N/A,4.1,,"pillar no 41A, Prakash Paradise Building, infront of, Ashok Rajpath Rd, near Makhania kuan, opposite Khuda Baksh, Lalbagh, Patna, Bihar 800004",Lalbagh,25.619037799999997,85.1618884,ChIJ57ACjOVY7TkRryMv0dnJfqk,https://www.google.com/maps/place/?q=place_id:ChIJ57ACjOVY7TkRryMv0dnJfqk,part_392,2026-09-20 20:24:54
TRENDS,Readymade Garments Shop,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 81029 13565,https://trends.shop/page/trends-dindayal-complex-arrah,4.0,,"HM49+2FM, Dindayal Complex Mohalla, Karman Tola, Opp - Bhagat Singh Statue, Nawada, Arrah, Bihar 802301","Rajendra Nagar, Nawada",25.5561677,84.66728069999999,ChIJvSRfvGdfjTkRl6rdWuHE93A,https://www.google.com/maps/place/?q=place_id:ChIJvSRfvGdfjTkRl6rdWuHE93A,part_392,2026-09-20 20:24:54
Topi Wala,Readymade Garments Shop,Clothing store,Clothing store,841443,Bihar Circle,Muzaffarpur Region,Saran Division,"Gaura SO Saran, Khabsi BO, Narharpur BO",+91 77828 88188,N/A,4.9,,"Dharamshala Rd, Khilanganj, Hetimpur, Sasaram, Bihar 821115","Khilanganj, Hetimpur",24.953246099999998,84.0187637,ChIJIZI-ZtOxjTkR4svSimItqwg,https://www.google.com/maps/place/?q=place_id:ChIJIZI-ZtOxjTkR4svSimItqwg,part_392,2026-09-20 20:24:54
