business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ARYAN FOOTWEAR SHOP,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 72502 80128,N/A,1.0,,"56G5+VCM, Piprahiya lohgajar road, Barhulia, Parasurampur, Bihar 841245",841446,26.1772013,84.2085319,ChIJsQ_nu-lWkjkRjz4sKlWdEkk,https://www.google.com/maps/place/?q=place_id:ChIJsQ_nu-lWkjkRjz4sKlWdEkk,part_392,2026-09-20 20:25:29
Suraj footwear & fashions and grossary,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",N/A,N/A,,,"5775+R4G, Barhulia, Bihar 841446",841446,26.1645707,84.25784039999999,ChIJPx-OcwBXkjkRNgyOlZnqTvE,https://www.google.com/maps/place/?q=place_id:ChIJPx-OcwBXkjkRNgyOlZnqTvE,part_392,2026-09-20 20:25:29
Ayush Steel Wark,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 99390 22354,N/A,,,"Jamapur, Bihar 841245",841446,26.188725299999998,84.2529955,ChIJ2x8CIg1XkjkR1OSc3Cw5mic,https://www.google.com/maps/place/?q=place_id:ChIJ2x8CIg1XkjkR1OSc3Cw5mic,part_392,2026-09-20 20:25:29
Sunil new house,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",N/A,N/A,,,"47MW+VG5, Balia, Bihar 841237",841446,26.1346834,84.2963613,ChIJiRK3TwD5kjkRTXh2TFDrTJ4,https://www.google.com/maps/place/?q=place_id:ChIJiRK3TwD5kjkRTXh2TFDrTJ4,part_392,2026-09-20 20:25:29
Samir Footwear Shoes,Footwear and Shoe Store,General store,General store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 90065 40949,N/A,,,"Siwan, Masudaha, Bihar 841231",841446,26.1107838,84.2648858,ChIJJQJJUflZkjkRdmrX0vEN8Bo,https://www.google.com/maps/place/?q=place_id:ChIJJQJJUflZkjkRdmrX0vEN8Bo,part_392,2026-09-20 20:25:29
Durga Footwear,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 72819 78151,N/A,,,"Bhawrajpur, Andar, Bihar 841446",841446,26.1336491,84.2810378,ChIJM3pmiRL5kjkRzUDwsIgdZjI,https://www.google.com/maps/place/?q=place_id:ChIJM3pmiRL5kjkRzUDwsIgdZjI,part_392,2026-09-20 20:25:29
Shivam Footwear,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 83403 07868,N/A,,,"Siwan, Karhanu, Bihar 841237",841446,26.1861215,84.2955168,ChIJ29agMWb5kjkRJW0ODjzvgtY,https://www.google.com/maps/place/?q=place_id:ChIJ29agMWb5kjkRJW0ODjzvgtY,part_392,2026-09-20 20:25:29
Ankit Footwear,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 91234 27620,N/A,,,"Shop No 4, Shivpur Skra, near Post Office, Siwan, Sakara, Bihar 841234",841446,26.1340798,84.1998189,ChIJ771wLAtXkjkR41EP0iqqtZs,https://www.google.com/maps/place/?q=place_id:ChIJ771wLAtXkjkR41EP0iqqtZs,part_392,2026-09-20 20:25:29
Aashiq Footwear,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 76676 43319,N/A,,,"Andar Bazar, Bihar 841231",841446,26.103055299999998,84.2937391,ChIJywo54LD3kjkRM8C7GCOJb2M,https://www.google.com/maps/place/?q=place_id:ChIJywo54LD3kjkRM8C7GCOJb2M,part_392,2026-09-20 20:25:29
Rajan Shoes Wear,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 81809 92664,N/A,5.0,,"No9, Andar Main Rd, Hasanpura, Bihar 841236",841446,26.075809699999997,84.3593873,ChIJi7391dzxkjkROmpsJhJTEeQ,https://www.google.com/maps/place/?q=place_id:ChIJi7391dzxkjkROmpsJhJTEeQ,part_392,2026-09-20 20:25:30
New Shoe Empouriam Irshad Alam,Footwear and Shoe Store,Shoe store,Shoe store,841446,Bihar Circle,Muzaffarpur Region,Siwan Division,"Narendrapur SO, Gaziapur BO",+91 97081 21688,N/A,,,"4, Bhawani Market, Thana Rd, Naya Bazar, Kagzi Muhalla, Siwan, Bihar 841226","Naya Bazar, Kagzi Muhalla",26.224342699999998,84.3593502,ChIJQTIanaj9kjkRVrCFHT77SiM,https://www.google.com/maps/place/?q=place_id:ChIJQTIanaj9kjkRVrCFHT77SiM,part_392,2026-09-20 20:25:30
