business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Asli Bharat Bakery,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 75497 20476,N/A,4.7,639.0,"Station Rd, Anwarpur, Hajipur, Bihar 844101",Anwarpur,25.69953,85.215389,ChIJUyC7xDhc7TkRsH3AILkviEw,https://www.google.com/maps/place/?q=place_id:ChIJUyC7xDhc7TkRsH3AILkviEw,part_394,2026-09-20 20:18:47,369
Cake Home,Bakery and Cake Shop,Cake shop,Cake shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98521 89532,N/A,4.7,679.0,"SBI branch, near anjanpir, Hathsarganj, Adalpur, Hajipur, Bihar 844103","Hathsarganj, Adalpur",25.7032527,85.20526029999999,ChIJfzZGV2tc7TkRYnUxioLXA5U,https://www.google.com/maps/place/?q=place_id:ChIJfzZGV2tc7TkRYnUxioLXA5U,part_394,2026-09-20 20:18:47,370
Vaishali Cake & Ice Cream,Bakery and Cake Shop,Cake shop,Cake shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 82280 99230,N/A,5.0,1.0,"Rani pokhar, To, Mahua Road, Bishunpur Udho Urf Dumri, Bihar 844116",844116,25.771586499999998,85.32645389999999,ChIJGa3V4BNn7TkRzB62Z7y6i-s,https://www.google.com/maps/place/?q=place_id:ChIJGa3V4BNn7TkRzB62Z7y6i-s,part_394,2026-09-20 20:18:47,371
Baked_by khushi,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 62019 37717,https://www.instagram.com/baked_bykhushi?igsh=cDFrYmcxOGFhMWF0,4.9,22.0,"HARSH HANDLOOM, viday Niketan school, Amardeep cinema road, Mehnar, Mahnar Bazar, Bihar 844506",844116,25.603965799999997,85.4859341,ChIJu93o89597TkRMBw2HUhTGGA,https://www.google.com/maps/place/?q=place_id:ChIJu93o89597TkRMBw2HUhTGGA,part_394,2026-09-20 20:18:47,372
Vaishali cake plaza,Bakery and Cake Shop,Cake shop,Cake shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93043 54561,N/A,4.4,10.0,"Q7JF+CC5, near Uco Bank, Sarai, Majhauli Mahmadpur Buzurg, Bihar 844125",844116,25.7810036,85.27359729999999,ChIJUxd4ATNp7TkRK1T6tc-xTQM,https://www.google.com/maps/place/?q=place_id:ChIJUxd4ATNp7TkRK1T6tc-xTQM,part_394,2026-09-20 20:18:47,373
Cake King & Bake,Bakery and Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98888 76063,N/A,5.0,4.0,"Q8CG+PPR, Ranipokhar Rd, Bishunpur Udho Urf Dumri, Bihar 844116",844116,25.7718553,85.32676239999999,ChIJu66OAQBn7TkRFp8OPKrOkrU,https://www.google.com/maps/place/?q=place_id:ChIJu66OAQBn7TkRFp8OPKrOkrU,part_394,2026-09-20 20:18:47,374
Monginis Cake Shop,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 88730 05500,https://www.monginis.net/,4.0,331.0,"Dakbanglo Rd, Hajipur, Bihar 844101",844116,25.695359399999997,85.2113921,ChIJ617_LMhd7TkRwhOrPuboEsI,https://www.google.com/maps/place/?q=place_id:ChIJ617_LMhd7TkRwhOrPuboEsI,part_394,2026-09-20 20:18:47,375
Vaishali Baker's,Bakery and Cake Shop,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 77640 27266,N/A,5.0,30.0,"Vishwa Shanti Stupa Rd, opp. hotel Siddharth, near vieatnam temple, Basarh, Harpur Basant, Bihar 844128",844116,25.9921364,85.1231756,ChIJ-9fIvEY57TkRp_-r6MwQaDM,https://www.google.com/maps/place/?q=place_id:ChIJ-9fIvEY57TkRp_-r6MwQaDM,part_394,2026-09-20 20:18:47,376
Thee Heavens Cake,Bakery and Cake Shop,Cake shop,"Cake shop, Pizza restaurant",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 96355 35228,N/A,4.7,80.0,"Near Vaishali Bus Stand, beside Shukla Kirana Store, opposite Shukla Khaad Bheej Bhandar, Lalganj, Bihar 844121",844116,25.8664275,85.16941659999999,ChIJuWcn1zRF7TkRJrkOh_ldCGs,https://www.google.com/maps/place/?q=place_id:ChIJuWcn1zRF7TkRJrkOh_ldCGs,part_394,2026-09-20 20:18:47,377
Muskan bakery and cake shop,Bakery and Cake Shop,Cake shop,Cake shop,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 86033 77800,https://adarshcakedecoration.com/,4.0,2.0,"Belkunda, Fatehpur Phulwaria, Bihar 844125",844116,25.7557397,85.30565759999999,ChIJ9fCJMC1n7TkRVTJh0Bpy3cU,https://www.google.com/maps/place/?q=place_id:ChIJ9fCJMC1n7TkRVTJh0Bpy3cU,part_394,2026-09-20 20:18:47,378
