business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
The Royale Palace,Banquet Hall,Banquet hall,"Banquet hall, Conference center, Function room facility, Hotel, Marriage celebrant, Restaurant, Wedding service, Wedding venue",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 77393 98558,https://theroyalepalace.com/,4.9,,"hajipur mahua road, Sihpur Chowk, Kanhauli Bishunpur Parsi, Bishunpur Bejha, Bihar 844122",Sihpur Chowk,25.783037699999998,85.3524916,ChIJbWFwagBv7TkRkiqF64bIgG8,https://www.google.com/maps/place/?q=place_id:ChIJbWFwagBv7TkRkiqF64bIgG8,part_394,2026-09-20 20:19:10,3189
Muskan fun world and party hall,Banquet Hall,Banquet hall,Banquet hall,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.0,,"Q7QG+QQW, NH 22, Sarai, Matiara Tok, Bihar 844125",844116,25.7894981,85.2769423,ChIJ9dpn8pBp7TkRco1p6eG9TLQ,https://www.google.com/maps/place/?q=place_id:ChIJ9dpn8pBp7TkRco1p6eG9TLQ,part_394,2026-09-20 20:19:10,3190
Jannat Garden River Resort,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 78701 55444,N/A,4.8,,"Hariharanath Rd, behind aarush garden, Sonepur, Bihar 841101",844116,25.6861748,85.19022,ChIJxab2mtNb7TkRJFTBxgitdNo,https://www.google.com/maps/place/?q=place_id:ChIJxab2mtNb7TkRJFTBxgitdNo,part_394,2026-09-20 20:19:10,3191
ADITYA MARRIAGE HALL,Banquet Hall,Housing complex,Housing complex,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 62993 51168,https://adityamarriagehall.in/,,,"near by TOLL TAX NH22, Akhtiyarpur Patedha, Sarai, Bihar 844125",844116,25.8075229,85.2851659,ChIJDcN_fLhp7TkRsWaHc2u2P4o,https://www.google.com/maps/place/?q=place_id:ChIJDcN_fLhp7TkRsWaHc2u2P4o,part_394,2026-09-20 20:19:10,3192
NEW SHAGUN UTSAV HALL,Banquet Hall,Banquet hall,Banquet hall,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 87579 53903,N/A,3.7,,"M6WC+8CJ, Marai Rd, Baghdulhan, Hajipur, Bihar 844101",Baghdulhan,25.695835199999998,85.2210016,ChIJ2emtSztc7TkRW-rhfWrlVSA,https://www.google.com/maps/place/?q=place_id:ChIJ2emtSztc7TkRW-rhfWrlVSA,part_394,2026-09-20 20:19:10,3193
Vimal Plaza & Banquet hall,Banquet Hall,Banquet hall,"Banquet hall, Hotel",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 79032 38134,N/A,4.1,,"NH 322, Hazrat Jandaha, Bihar 844505",844116,25.7093903,85.53289459999999,ChIJi1daHUN57TkRMMwfJaf1hj4,https://www.google.com/maps/place/?q=place_id:ChIJi1daHUN57TkRMMwfJaf1hj4,part_394,2026-09-20 20:19:10,3194
Muskan Marriage Hall,Banquet Hall,Convention center,Convention center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.0,,"Q7QG+VHX, Matiara Tok, Bihar 844125",844116,25.789744799999998,85.2764888,ChIJLznBkRxo7TkRlpwBckw2sGc,https://www.google.com/maps/place/?q=place_id:ChIJLznBkRxo7TkRlpwBckw2sGc,part_394,2026-09-20 20:19:10,3195
Laxmi palace,Banquet Hall,Event venue,Event venue,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Mangru Chowk, Hajipur Road, Mahua, Kanhauli Bishunpur Parsi, Bihar 844122",844116,25.7943964,85.3688221,ChIJgRPCGEFv7TkRDnjwbI31Q84,https://www.google.com/maps/place/?q=place_id:ChIJgRPCGEFv7TkRDnjwbI31Q84,part_394,2026-09-20 20:19:10,3196
Maa Kamakhya Marriage Hall,Banquet Hall,Banquet hall,Banquet hall,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 75498 21282,N/A,3.7,,"Chand sharai, Chandshrai sai netralaya, road, Hazrat Jandaha, Bihar 844505",844116,25.7155028,85.5709452,ChIJufh-fQN57TkRypfyw2yMEMc,https://www.google.com/maps/place/?q=place_id:ChIJufh-fQN57TkRypfyw2yMEMc,part_394,2026-09-20 20:19:10,3197
Ambey Utsav Hall,Banquet Hall,Banquet hall,Banquet hall,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"V7CQ+XRX, Bafapur Banthu, Bihar 844114",844116,25.8724979,85.2896106,ChIJCb-sQQBr7TkRD255UYWFLTA,https://www.google.com/maps/place/?q=place_id:ChIJCb-sQQBr7TkRD255UYWFLTA,part_394,2026-09-20 20:19:10,3198
