business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Laxmi Chemicals.,Chemical Wholesalers,Chemical wholesaler,"Chemical wholesaler, Bathroom supply store, Chemical Exporter, Chemical plant, Chemical Manufacturer, Cleaning products supplier, Supplier, Household chemicals supplier, Industrial chemicals wholesaler, Manufacturer",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98350 45201,http://www.shreelaxmichemical.com/,4.7,262.0,"more, opposite Electric Transformer, Jhauganj, Chamdoriya, Patna, Bihar 800008","Jhauganj, Chamdoriya",25.5960793,85.2321827,ChIJp3l9pYJf7TkReLtEvtSXF-s,https://www.google.com/maps/place/?q=place_id:ChIJp3l9pYJf7TkReLtEvtSXF-s,part_394,2026-09-20 20:19:23,4733
आरती केमिकल्स,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Chemical Exporter, Chemical plant, Cleaning products supplier, Household chemicals supplier, Industrial chemicals wholesaler, Plastic Products Supplier, Washer & dryer store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76676 11958,https://chemical-manufacturer-bihar.grexa.site/,4.5,,"Hajiganj, Patna, Bihar 800008",Hajiganj,25.5949907,85.23227659999999,ChIJk3gz7QRf7TkR10QvnaPC_kE,https://www.google.com/maps/place/?q=place_id:ChIJk3gz7QRf7TkR10QvnaPC_kE,part_394,2026-09-20 20:19:23,4734
Chemical Agency,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93347 69327,N/A,3.9,,"Jhauganj, Hajiganj, Patna, Bihar 800008","Jhauganj, Hajiganj",25.5965286,85.2311342,ChIJp62IMPVf7TkRbXo46NdxSOE,https://www.google.com/maps/place/?q=place_id:ChIJp62IMPVf7TkRbXo46NdxSOE,part_394,2026-09-20 20:19:23,4735
Hindustan Dyes & Chemical,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94316 94642,https://www.hindustanchemicals.net/,4.1,,"H6WJ+P74, Jhauganj, Hajiganj, Patna, Bihar 800008","Jhauganj, Hajiganj",25.5967693,85.2307022,ChIJHwApB3hf7TkRVaSNH9l7J64,https://www.google.com/maps/place/?q=place_id:ChIJHwApB3hf7TkRVaSNH9l7J64,part_394,2026-09-20 20:19:23,4736
Shri balaji chemicals,Chemical Wholesalers,Wholesaler,Wholesaler,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95086 44094,N/A,4.8,,"Hajiganj, Patna, Bihar 800008",Hajiganj,25.5947389,85.232399,ChIJ6QDjCwBf7TkRqFBBF-okiTQ,https://www.google.com/maps/place/?q=place_id:ChIJ6QDjCwBf7TkRqFBBF-okiTQ,part_394,2026-09-20 20:19:23,4737
CRYSTAL CHEMICAL (BENTONITE POWDER),Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,5.0,3.0,"DIGHI KALA, Hajipur, Bihar 844102",844117,25.713493,85.23047729999999,ChIJkd5PqY5d7TkRBYBZ35WwOCI,https://www.google.com/maps/place/?q=place_id:ChIJkd5PqY5d7TkRBYBZ35WwOCI,part_394,2026-09-20 20:20:07,7699
Vedant chemical,Chemical Wholesalers,Cleaning products supplier,Cleaning products supplier,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 99314 59984,https://www.vedantchemical.com/,,,"industrial Area, Sultanpur, Hajipur, Bihar 844102",industrial Area,25.6892812,85.252245,ChIJHUieNQRd7TkRDHS5E7C6xm4,https://www.google.com/maps/place/?q=place_id:ChIJHUieNQRd7TkRDHS5E7C6xm4,part_394,2026-09-20 20:20:07,7700
Raushan chemicals,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,,,"sonam&Mina interprises, Nunfer, RN College Rd, Hajipur, Bihar 844101",844117,25.6885597,85.2209421,ChIJlz19Cx1d7TkR2ucxkWkxoio,https://www.google.com/maps/place/?q=place_id:ChIJlz19Cx1d7TkR2ucxkWkxoio,part_394,2026-09-20 20:20:08,7701
Vaishali Scientific & Company,Chemical Wholesalers,Scientific equipment supplier,"Scientific equipment supplier, Corporate office",844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 75339 94488,http://www.vaishaliscientific.com/,4.4,,"Carnival Cinemas, near Navin plex, Licchavi Nagar, Hajipur, Bihar 844101",Licchavi Nagar,25.6969329,85.21313649999999,ChIJYY6efCNc7TkR-tOvQH8o7IE,https://www.google.com/maps/place/?q=place_id:ChIJYY6efCNc7TkR-tOvQH8o7IE,part_394,2026-09-20 20:20:09,7702
Chemical World,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Pharmacy",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,2.5,,"Ramdayalu Nagar - Hajipur Rd, Muzaffarpur, Gorhia Chamman, Bihar 844114",844118,25.899034099999998,85.28883259999999,ChIJpYNY8bEV7TkRMEVSwyZHmI4,https://www.google.com/maps/place/?q=place_id:ChIJpYNY8bEV7TkRMEVSwyZHmI4,part_394,2026-09-20 20:20:52,10044
