business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GM Exim Pvt Ltd,EXIMS,Corporate office,Corporate office,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.3,,"M6VW+WGW, Hajipur Industrial Area, Bihar 844502",844116,25.6948509,85.2463217,ChIJm-oiWihd7TkREx_h7Dxcz9k,https://www.google.com/maps/place/?q=place_id:ChIJm-oiWihd7TkREx_h7Dxcz9k,part_394,2026-09-20 20:19:24,5045
Trustiva Exim Pvt. Ltd.,EXIMS,Import export company,Import export company,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 62038 55319,https://trustivaexim.com/,,,"Patedha jayram, Hajipur, Jarangi, Bihar 844111",844118,25.9494038,85.2310822,ChIJ17_LL5VB7TkRruvcefGobXk,https://www.google.com/maps/place/?q=place_id:ChIJ17_LL5VB7TkRruvcefGobXk,part_394,2026-09-20 20:20:54,10090
Amica Exim Pvt Ltd,EXIMS,Manufacturer,Manufacturer,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 63995 24339,N/A,,,"Vill- Kurhani, Tola- Kurhani Panch, Block Kurhani, Kurhani, Bihar 844127",844120,25.983238999999998,85.33451079999999,ChIJE_pYprgU7TkRNxgpeC1LEHs,https://www.google.com/maps/place/?q=place_id:ChIJE_pYprgU7TkRNxgpeC1LEHs,part_394,2026-09-20 20:22:21,14936
Hotel Embassy International,EXIMS,Hotel,Hotel,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 74910 00222,N/A,3.9,884.0,"Infront Of Railway Station Oppo Zila Parishad Office, Station Rd, Muzaffarpur, Bihar 842001","Sutapatti, Pokhraira",26.122666499999998,85.3802779,ChIJ8aCq8-gQ7TkRy3dKe8duZKs,https://www.google.com/maps/place/?q=place_id:ChIJ8aCq8-gQ7TkRy3dKe8duZKs,part_394,2026-09-20 20:22:21,14937
"EMEDIX SMART PHARMACY - Choti Kalyani, Muzaffarpur",EXIMS,Pharmacy,Pharmacy,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 75495 64555,N/A,5.0,7.0,"Hamidi Complex, Amar Cinema Road, Chhoti Kalyani, Musahri, Muzaffarpur, Bihar 842001","Chhoti Kalyani, Musahri",26.119081299999998,85.39366249999999,ChIJN_gu9WkR7TkR-pb143qSbiU,https://www.google.com/maps/place/?q=place_id:ChIJN_gu9WkR7TkR-pb143qSbiU,part_394,2026-09-20 20:22:21,14938
EXIM Elite Pune,EXIMS,Import export company,Import export company,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 98544 32222,https://www.eximelite.com/,4.7,10.0,"Shop no 1, Tathe heights, Datta Nagar Rd, opposite to Axis Bank, Dattanagar, Ambegaon Budruk, Pune, Maharashtra 411046","Dattanagar, Ambegaon Budruk",18.4498563,73.8504142,ChIJ703UdRLrwjsRcFgg7ggp74k,https://www.google.com/maps/place/?q=place_id:ChIJ703UdRLrwjsRcFgg7ggp74k,part_394,2026-09-20 20:22:21,14939
Jubba Sahni Park,EXIMS,Park,Park,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,3.9,2247.0,"in front, Club Road, MDDM Road, off Hanuman mandir, Mithanpura, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Mithanpura",26.1117018,85.3954459,ChIJXY3ZphER7TkRK_YC6xu-4dA,https://www.google.com/maps/place/?q=place_id:ChIJXY3ZphER7TkRK_YC6xu-4dA,part_394,2026-09-20 20:22:21,14940
EMEDIX WELLNESS PVT LTD,EXIMS,Pharmacy,"Pharmacy, Drug store",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 72819 99988,https://emedix.in/,4.0,38.0,"602 Block B, Ashiana Chambers, Exhibition Rd, Old Jakkanpur, Lodipur, Patna, Bihar 800001","Old Jakkanpur, Lodipur",25.6105002,85.1422121,ChIJVcp_F1xY7TkRCBcVPW58G38,https://www.google.com/maps/place/?q=place_id:ChIJVcp_F1xY7TkRCBcVPW58G38,part_394,2026-09-20 20:22:21,14941
BIG Apollo Spectra Hospitals,EXIMS,Hospital,"Hospital, Cancer treatment center, Cardiologist, Gastroenterologist, Nephrologist, Neurologist, Private hospital, Urologist",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 612 354 0100,https://www.bigapollospectra.com/,4.7,16883.0,"Sheetla Mandir Road, near Sump House, Agam Kuan, Patna, Bihar 800030",Agam Kuan,25.5878069,85.1959298,ChIJo8AHX5dY7TkRQwK2PdYn_BA,https://www.google.com/maps/place/?q=place_id:ChIJo8AHX5dY7TkRQwK2PdYn_BA,part_394,2026-09-20 20:22:21,14942
Vi - Vodafone Idea mini Store,EXIMS,Telecommunications service provider,"Telecommunications service provider, Internet service provider, Mobile network operator, Telecommunications contractor, Telephone company",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 72800 91470,https://stores.myvi.in/vi-vodafone-idea-mini-store-milestone-global-services-telecommunications-service-provider-mithanpura-muzaffarpur-167673/Home?utm_source=locator&utm_medium=googleplaces,4.0,244.0,"In Adiya Vision Market, Mahammadpur Kazi, Mithanpura, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Mithanpura",26.105517799999998,85.3975573,ChIJJQRi9_IQ7TkRkE3R0cVU8Gs,https://www.google.com/maps/place/?q=place_id:ChIJJQRi9_IQ7TkRkE3R0cVU8Gs,part_394,2026-09-20 20:22:21,14943
