business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr Pumpum Singh Homeo Clinic,Homeopathic Clinic,Medical clinic,Medical clinic,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"R72M+HC6, Saidpur Paterha, Sarai, Bihar 844125",844116,25.801420399999998,85.2835219,ChIJxRogoZhp7TkRcCxDNwZRJh4,https://www.google.com/maps/place/?q=place_id:ChIJxRogoZhp7TkRcCxDNwZRJh4,part_394,2026-09-20 20:18:55,1428
R.D.D AROGYA HOMEOPATHIC CLINIC : Dr RAKESH GUPTA,Homeopathic Clinic,Hospital,Hospital,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76542 51771,N/A,4.8,,"Ranipokhar Bus Stand, Ranipokhar, SH 49, Bishunpur Udho Urf Dumri, Bihar 844116",844116,25.771917,85.3265989,ChIJt9vN3yxn7TkRwm-e4bDgOk0,https://www.google.com/maps/place/?q=place_id:ChIJt9vN3yxn7TkRwm-e4bDgOk0,part_394,2026-09-20 20:18:55,1429
R.C.HOMEO CLINIC,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Q9Q7+GHQ, Kanhauli Bishunpur Parsi, Bihar 844122",844116,25.7888271,85.3639781,ChIJBb9SAwBv7TkRornzKMIFnM4,https://www.google.com/maps/place/?q=place_id:ChIJBb9SAwBv7TkRornzKMIFnM4,part_394,2026-09-20 20:18:55,1430
Mathur Homeo Clinic,Homeopathic Clinic,Doctor,Doctor,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Kiratpur Raja Ram, Bihar 844114",844116,25.8559102,85.2927662,ChIJZTQf9slp7TkRqE9kK-_AdtY,https://www.google.com/maps/place/?q=place_id:ChIJZTQf9slp7TkRqE9kK-_AdtY,part_394,2026-09-20 20:18:55,1431
Gopinath Homoeo Clinic,Homeopathic Clinic,Homeopathic pharmacy,"Homeopathic pharmacy, Medical clinic",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 88041 29484,N/A,5.0,,"Front Of, near Bharat Gas Agency, Pethia, Bidupur Bazar, Bidupur, Dilawarpur Hemti, Bihar 844503","Pethia, Bidupur Bazar",25.6517591,85.3220802,ChIJC6ZAo_Fh7TkRH-sfkB3SfHQ,https://www.google.com/maps/place/?q=place_id:ChIJC6ZAo_Fh7TkRH-sfkB3SfHQ,part_394,2026-09-20 20:18:55,1432
R.D.D AROGYA HOMEOPATHIC CLINIC : Dr RAKESH GUPTA,Homeopathic Clinic,Hospital,Hospital,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 83406 68846,N/A,4.5,,"Basudevpur, near senduari, chowk, Senduari Basdeo urf Chapta, Bihar 844124",chowk,25.7547477,85.27423209999999,ChIJ84FD6N9n7TkR0Mm7eXUbvxM,https://www.google.com/maps/place/?q=place_id:ChIJ84FD6N9n7TkR0Mm7eXUbvxM,part_394,2026-09-20 20:18:55,1433
Dr. P.K. Gyan - Best Homoeopathic Clinic/Doctor In Hajipur,Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Homeopathic pharmacy, Hospital, Infectious disease physician, Medical Center, Medical clinic, Neurologist, Pain management physician",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98350 09678,http://www.drgyanhomoeo.com/,4.2,,"InFront of Canara Bank Paswan chowk, Bihar 844101",844116,25.694360999999997,85.2273467,ChIJ1YVk1bpd7TkRECOpfr9XXd0,https://www.google.com/maps/place/?q=place_id:ChIJ1YVk1bpd7TkRECOpfr9XXd0,part_394,2026-09-20 20:18:55,1434
ANJORA LALMUNI HOMEO CLINIC,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 91225 55632,N/A,4.8,,"Bagdulhan Rd, Mishra Colony, Hajipur, Bihar 844101",Mishra Colony,25.6957168,85.2166611,ChIJmfL_XUdd7TkRcNMt5SHfnts,https://www.google.com/maps/place/?q=place_id:ChIJmfL_XUdd7TkRcNMt5SHfnts,part_394,2026-09-20 20:18:55,1435
JAN SEWA HOMEO CARE,Homeopathic Clinic,Medical clinic,Medical clinic,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94732 26649,N/A,,,"P7WM+2H2, Berai Urf Panapur, Bihar 844124",844116,25.7450148,85.283887,ChIJLQgDDABn7TkRdZxq2w0KW00,https://www.google.com/maps/place/?q=place_id:ChIJLQgDDABn7TkRdZxq2w0KW00,part_394,2026-09-20 20:18:55,1436
Jyoti Homeo - Best Homeopathic Hospital/Clinic in Hajipur,Homeopathic Clinic,Hospital,"Hospital, Doctor, Homeopath, Medical clinic",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 80844 60601,http://www.jyotihomeo.com/,4.9,,"M6P5+33Q Shital Market, Jauhari Bazar, Magarhatta, Hajipur, Bihar 844101",Magarhatta,25.691889099999997,85.20400699999999,ChIJz-gp1xhc7TkRel_pleDmuGU,https://www.google.com/maps/place/?q=place_id:ChIJz-gp1xhc7TkRel_pleDmuGU,part_394,2026-09-20 20:18:55,1437
Dr. Suresh Chandra Verma Homeopathic clinic Hajipur,Homeopathic Clinic,Medical clinic,Medical clinic,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.9,,"M6V6+4V5, Near National Cinema, Rajendra chowk, Hajipur, Bihar 844101",Rajendra chowk,25.692771,85.21222759999999,ChIJkyn3qkJd7TkRO88tZN4KsOM,https://www.google.com/maps/place/?q=place_id:ChIJkyn3qkJd7TkRO88tZN4KsOM,part_394,2026-09-20 20:18:56,1438
Narayani Homeo Clinic,Homeopathic Clinic,Hospital,Hospital,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.2,,"east, Dighi Rd, Hajipur, Bihar 844102",844116,25.7051232,85.22892619999999,ChIJh-DhqzFd7TkR_hAwUTERNes,https://www.google.com/maps/place/?q=place_id:ChIJh-DhqzFd7TkR_hAwUTERNes,part_394,2026-09-20 20:18:56,1439
Baba Homoeo Clinic,Homeopathic Clinic,Medical clinic,Medical clinic,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,5.0,,"Narayan Complex, Kachahari Rd, Hajipur, Bihar 844101",844116,25.6919328,85.2098558,ChIJ3dUKVShd7TkRXyq3jmRB-CM,https://www.google.com/maps/place/?q=place_id:ChIJ3dUKVShd7TkRXyq3jmRB-CM,part_394,2026-09-20 20:18:56,1440
Vaishali Homoeopathetic Clinic,Homeopathic Clinic,Doctor,Doctor,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98355 40056,N/A,4.0,,"Station Road Station Road, Bihar 844114",844116,25.859113299999997,85.2964993,ChIJxaUqk-Np7TkRdC2o---3wyc,https://www.google.com/maps/place/?q=place_id:ChIJxaUqk-Np7TkRdC2o---3wyc,part_394,2026-09-20 20:18:56,1441
Ayush Homoeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 91998 61980,N/A,3.0,,"Mahua, Vaishali MDR, 12A, Goraul - Sondho - Mathnamal Rd, Vaishali, Bihar 844122",Vaishali,25.8183582,85.3967917,ChIJFUDeLKhv7TkRucwIBQ60l6s,https://www.google.com/maps/place/?q=place_id:ChIJFUDeLKhv7TkRucwIBQ60l6s,part_394,2026-09-20 20:18:56,1442
Dr. Amit Kumar,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.1,,"P9C8+9QJ, Unnamed Road, Pokhraira Khas, Bihar 844504",844116,25.7209641,85.36688389999999,ChIJ_QimRiBl7TkRX65SIWclnIk,https://www.google.com/maps/place/?q=place_id:ChIJ_QimRiBl7TkRX65SIWclnIk,part_394,2026-09-20 20:18:56,1443
"Dr Batra’s Homeopathy, Hair & Skin Clinic",Homeopathic Clinic,Homeopath,"Homeopath, Allergist, Dermatologist, Diabetologist, Endocrinologist, Gastroenterologist, Psychologist, Pulmonologist, Rheumatologist",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 70450 06060,https://clinics.drbatras.com/patna/homeopathy-clinic-west-boring-canal-road,4.6,,"Shop No, Ground, Kamaldeep Hut 1, West Boring Canal Rd, beside RBL Bank, Anandpuri, Patna, Bihar 800001",Anandpuri,25.6149003,85.1198599,ChIJV0K8VjpY7TkRBeaZD9EC_ho,https://www.google.com/maps/place/?q=place_id:ChIJV0K8VjpY7TkRBeaZD9EC_ho,part_394,2026-09-20 20:18:56,1444
Dr.P.K.Gyan - Best Homoeopathic Clinic/Doctor In Patna,Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Fertility physician, Homeopathic pharmacy, Hospital, Infectious disease physician, Medical Center, Medical clinic, Pain management physician, Sports medicine physician",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94723 81825,http://www.drgyanhomoeo.com/,4.4,,"Front Lane of Bank Of Baroda, Kanti Factory Rd, Patna, Bihar 800026","Mahatma Gandhi Nagar, Chitragupta Nagar",25.6004054,85.17096819999999,ChIJrxJUKo1Y7TkRIBuEv0tGNOE,https://www.google.com/maps/place/?q=place_id:ChIJrxJUKo1Y7TkRIBuEv0tGNOE,part_394,2026-09-20 20:18:56,1445
B.D.M.S HOMEOPATHIC PRATHAMIC UPCHAR KENDRA,Homeopathic Clinic,Homeopath,"Homeopath, Homeopathic pharmacy, Physician assistant",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 99312 68706,N/A,4.9,,"Ghadhiya, Pusa - Samastipur Rd, Bihar 848115",844116,25.949769099999997,85.6722278,ChIJ9_rEFo-f7TkROCcdtHTRkKA,https://www.google.com/maps/place/?q=place_id:ChIJ9_rEFo-f7TkROCcdtHTRkKA,part_394,2026-09-20 20:18:56,1446
Hariom Homeo - Homeopathy Clinic Patna,Homeopathic Clinic,Hospital,Hospital,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 88777 79973,https://www.hariomhomeo.com/bihar/homeopathy-clinic-in-patna/,4.4,,"24, Children's Park Rd, Sri Krishna Puri, Patna, Bihar 800001",Sri Krishna Puri,25.6111561,85.11753739999999,ChIJ3d3biiRY7TkRwL7p34ncmb8,https://www.google.com/maps/place/?q=place_id:ChIJ3d3biiRY7TkRwL7p34ncmb8,part_394,2026-09-20 20:18:56,1447
Dr.Nisha Kumari (आरोग्यम ई होम्योपैथिक क्लीनिक),Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 79031 69206,N/A,4.9,,"के नजदीक, तेज बहादुर कॉलोनी मेन गेट, Bus Stand Rd, Jhajha, Bihar 811308",844116,24.774041699999998,86.3747193,ChIJDS2x1Ph58TkRoy8yYi1gtVc,https://www.google.com/maps/place/?q=place_id:ChIJDS2x1Ph58TkRoy8yYi1gtVc,part_394,2026-09-20 20:18:56,1448
Life Care Homeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76776 38265,N/A,5.0,,"Chetan Parsa, Parsa Phoji, Bihar 841219",844116,25.887771599999997,85.02688239999999,ChIJZ_pXDb9J7TkR5ht8cgj-k8Q,https://www.google.com/maps/place/?q=place_id:ChIJZ_pXDb9J7TkR5ht8cgj-k8Q,part_394,2026-09-20 20:18:56,1449
New Vaishali Homoeo Clinic,Homeopathic Clinic,Homeopath,Homeopath,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,2.0,,"कमल चौक, ताल सेहान (छोटकी छपड़ा, Mahua, Bihar 843102",844116,25.9019755,85.4492066,ChIJbeHNacdz7TkRPZXcRLO20nE,https://www.google.com/maps/place/?q=place_id:ChIJbeHNacdz7TkRPZXcRLO20nE,part_394,2026-09-20 20:18:57,1450
Adarsh Homeo Clinic (Dr. R.K. Sinha),Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94314 94554,N/A,4.6,11.0,"Sadhnapuri, Rd No. 6D, Gardanibagh, Patna, Bihar 800001",Gardanibagh,25.5890629,85.1153228,ChIJRWsb6WVZ7TkRQWfjoLXNQS4,https://www.google.com/maps/place/?q=place_id:ChIJRWsb6WVZ7TkRQWfjoLXNQS4,part_394,2026-09-20 20:18:58,1451
