business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Gandhi Physiotherapy centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98356 89611,N/A,4.8,365.0,"Purani Gandak Pool Road, Jauhri Bazar, Hajipur, Bihar 844101",Jauhri Bazar,25.6918091,85.2039186,ChIJfZATzVtd7TkRyc9V5y1Qn1c,https://www.google.com/maps/place/?q=place_id:ChIJfZATzVtd7TkRyc9V5y1Qn1c,part_394,2026-09-20 20:18:57,1649
ORTHO CARE & PHYSIOTHERAPY CENTRE,Orthopedic and Physiotherapy Clinic,Doctor,Doctor,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98350 62556,N/A,3.7,3.0,"Nirshu Complex, Tinpulwachauk Lalganj, opposite Shail Sweets Tinpulwachauk, Lalganj, Bihar 844121",844116,25.8642607,85.18079589999999,ChIJo92sKYlF7TkRq2nIWO_3zs8,https://www.google.com/maps/place/?q=place_id:ChIJo92sKYlF7TkRq2nIWO_3zs8,part_394,2026-09-20 20:18:57,1650
ORTHO VITAL- PHYSICAL THERAPY AND REHAB CENTRE,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 73528 42006,N/A,5.0,3.0,"hajipur road, SH49, Mahua, Chaturangpur Korhan, Bihar 844122",SH49,25.802955899999997,85.3841447,ChIJNzfqBA9v7TkRq9m07pTOIxM,https://www.google.com/maps/place/?q=place_id:ChIJNzfqBA9v7TkRq9m07pTOIxM,part_394,2026-09-20 20:18:57,1651
Healthcare physiotherapy centre,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 77599 93180,N/A,5.0,32.0,"Post Office Rd, near badi masjid, Aggarpur, Agarpur, Lalganj, Bihar 844121","Aggarpur, Agarpur",25.8610339,85.17267249999999,ChIJu1NS9e9F7TkRb6QqCfDVxX8,https://www.google.com/maps/place/?q=place_id:ChIJu1NS9e9F7TkRb6QqCfDVxX8,part_394,2026-09-20 20:18:57,1652
"Dr. Rajnish, Advance Orthopedic clinic",Orthopedic and Physiotherapy Clinic,Doctor,Doctor,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95237 56494,N/A,4.8,58.0,"M6VC+9CC, Marai Rd, Baghdulhan, Dhanauti Pokhar, Dhanauti, Hajipur, Bihar 844101","Baghdulhan, Dhanauti Pokhar",25.6937128,85.2202235,ChIJq146GZxd7TkRi0f95O7r-UA,https://www.google.com/maps/place/?q=place_id:ChIJq146GZxd7TkRi0f95O7r-UA,part_394,2026-09-20 20:18:57,1653
Sarvoday Physiotherapy Center,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.7,31.0,"Jauhari bazar, M6R3+PCV, GROUND FLOOR, Sai Navakirti Complex, Hajipur, Bihar 844101",844116,25.6917695,85.2037151,ChIJSXa1ybxd7TkRXzgH-uUQgMk,https://www.google.com/maps/place/?q=place_id:ChIJSXa1ybxd7TkRXzgH-uUQgMk,part_394,2026-09-20 20:18:57,1654
Dr. Anjani Kumar Singh (Pragya Orthopaedic Centre),Orthopedic and Physiotherapy Clinic,Orthopedic clinic,Orthopedic clinic,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.5,17.0,"Kamal sadan, Ramprasad Chowk, behind Dto Office, Vishunpur Paltu, Hajipur, Bihar 844101",Vishunpur Paltu,25.695637299999998,85.2219082,ChIJMYXYOgBd7TkRHYpZAh0DT2g,https://www.google.com/maps/place/?q=place_id:ChIJMYXYOgBd7TkRHYpZAh0DT2g,part_394,2026-09-20 20:18:57,1655
Physiotherapy centre,Orthopedic and Physiotherapy Clinic,Physiotherapist,Physiotherapist,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94718 45188,N/A,5.0,28.0,"M787+RR9, Panapur Dharmpur, Bihar 844102",844116,25.6669163,85.2645744,ChIJhdRU3nxf7TkRDFD4pC9CEzo,https://www.google.com/maps/place/?q=place_id:ChIJhdRU3nxf7TkRDFD4pC9CEzo,part_394,2026-09-20 20:18:57,1656
PHYSIOTHERAPY & CHIROPRACTIC CLINIC,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 87896 75257,N/A,4.8,36.0,"near, Kalakar studio bazar, Daudpur, Bihar 841205",844116,25.907145399999997,84.5939398,ChIJK-yZegCVkjkRHJLlA_06Zsc,https://www.google.com/maps/place/?q=place_id:ChIJK-yZegCVkjkRHJLlA_06Zsc,part_394,2026-09-20 20:18:57,1657
DR. VISHAL KUMAR (PATEL ORTHO & PHYSIOTHERAPY CLINIC).,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93042 06152,N/A,5.0,267.0,"Shivnagar teenmuhani, Old bypass, near Yamaha showroom, Punpun, Patna, Bihar 804453",Punpun,25.5049276,85.10417869999999,ChIJu9K07Iap8jkRznIdXmAWtJ8,https://www.google.com/maps/place/?q=place_id:ChIJu9K07Iap8jkRznIdXmAWtJ8,part_394,2026-09-20 20:18:57,1658
Omya Physiotherapy,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Physiotherapist, Physiotherapy equipment supplier",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 70702 57338,https://omyaphysiotherapycentre.com/,5.0,219.0,"Gandhi chowk, Jahuri Bazar, Hajipur, Bihar 844101",844116,25.6916731,85.20556529999999,ChIJHzhgkWZd7TkR_RuHUqDaEEg,https://www.google.com/maps/place/?q=place_id:ChIJHzhgkWZd7TkR_RuHUqDaEEg,part_394,2026-09-20 20:18:57,1659
Orthocare Physiotherapy Clinic,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,Physiotherapy Center,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 82109 81407,N/A,4.9,127.0,"HOUSE NO, Landmark, Notre Dame school, 274 A, Durga mandir road, near SD Vatika Palace and Bandana Marrige Hall, Gosain Tola, Patliputra Colony, Patna, Bihar 800013","Gosain Tola, Patliputra Colony",25.6309792,85.11220259999999,ChIJUzZNZytY7TkRRzimS4CgazI,https://www.google.com/maps/place/?q=place_id:ChIJUzZNZytY7TkRRzimS4CgazI,part_394,2026-09-20 20:18:57,1660
✅️BIHAR PHYSIO,Orthopedic and Physiotherapy Clinic,Physiotherapy Center,"Physiotherapy Center, Acupuncture clinic, Chiropractor, Occupational therapist, Orthopedic clinic, Pain control clinic, Physical rehabilitation center, Physiotherapist, Rehabilitation center, Sports medicine clinic",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 85442 26509,https://bihar-physio-best.grexa.site/,5.0,132.0,"garbhuchak, Jagdeo Path, Patna, Bihar 800031","Jagdeo Path, Dhanaut",25.6004388,85.0740598,ChIJe3EGhfpX7TkRv8cGB5a9mNg,https://www.google.com/maps/place/?q=place_id:ChIJe3EGhfpX7TkRv8cGB5a9mNg,part_394,2026-09-20 20:18:57,1661
