business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MANVI TILES & MARBLE,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94308 88873,N/A,4.8,,"SULTANPUR, near MIDDLE SCHOOL, Mehnar, Bihar 844506",844116,25.6168747,85.4647367,ChIJ4Wds01t97TkRtFJJCTTbB_k,https://www.google.com/maps/place/?q=place_id:ChIJ4Wds01t97TkRtFJJCTTbB_k,part_394,2026-09-20 20:19:04,2515
A & A Home Decor | JOHNSON Tiles | HINDWARE Sanitary Showroom in Mahua | Tiles in Mahua,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 83059 61384,https://www.hrjohnsonindia.com/,4.9,,"Mahua , Madhoul chowk, Muzaffarpur - Mahua Rd, Madhaul chowk, Mahua, Bihar 844122",Madhaul chowk,25.840999999999998,85.39230789999999,ChIJ6QiNMH9v7TkRRjriak0klZY,https://www.google.com/maps/place/?q=place_id:ChIJ6QiNMH9v7TkRRjriak0klZY,part_394,2026-09-20 20:19:04,2516
Shree Maa Marble,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98716 50551,N/A,4.0,,"Matiara Tok, Sarai, Bihar 844125",844116,25.788046299999998,85.27622079999999,ChIJS9egZP1p7TkRHAU1FvT6gyo,https://www.google.com/maps/place/?q=place_id:ChIJS9egZP1p7TkRHAU1FvT6gyo,part_394,2026-09-20 20:19:04,2517
SHIV SHAKTI MARBLE STORE,Tile and Marble Showroom,Marble supplier,"Marble supplier, Bathroom supply store, Granite supplier, Tile store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 72773 02706,http://www.shivshaktimarblestore.com/,4.4,,"Hajipur - Lalganj Rd, Bagmali, Adalpur, Hajipur, Bihar 844101","Bagmali, Adalpur",25.6954234,85.20774999999999,ChIJz8VpYhZc7TkRO5PNo6YQAmc,https://www.google.com/maps/place/?q=place_id:ChIJz8VpYhZc7TkRO5PNo6YQAmc,part_394,2026-09-20 20:19:04,2518
Mahua vaishali,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.0,,"Mangru Chowk, Mahua Mukundpur, Hedayatpur, Bihar 844122",844116,25.7964177,85.3892867,ChIJY64AbwBv7TkRziezcOW63SI,https://www.google.com/maps/place/?q=place_id:ChIJY64AbwBv7TkRziezcOW63SI,part_394,2026-09-20 20:19:04,2519
Rudra Marble,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 97080 19742,N/A,5.0,,"near Bharat Petroleum, Repura, Lalganj, Jarang Rampur, Bihar 844121",Repura,25.856246199999998,85.1780948,ChIJ9fl5hkFF7TkR8cFbJvhogJ0,https://www.google.com/maps/place/?q=place_id:ChIJ9fl5hkFF7TkR8cFbJvhogJ0,part_394,2026-09-20 20:19:04,2520
Maa Shanti Marbel And Tiles,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 82288 99420,N/A,4.1,,"Kushawaha chowk, Hazrat Jandaha, Bihar 844505",844116,25.7113931,85.54378299999999,ChIJJzPt5ex57TkRWVC4BLMq2Ts,https://www.google.com/maps/place/?q=place_id:ChIJJzPt5ex57TkRWVC4BLMq2Ts,part_394,2026-09-20 20:19:04,2521
M/S Pari Marbles,Tile and Marble Showroom,Store,Store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95044 37538,N/A,5.0,,"Rajapakar South, Rajapakar, Bihar 844124",844116,25.731638399999998,85.33710479999999,ChIJ2eOC8Bdn7TkRUCpc8kjnycY,https://www.google.com/maps/place/?q=place_id:ChIJ2eOC8Bdn7TkRUCpc8kjnycY,part_394,2026-09-20 20:19:04,2522
House of Johnson,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Granite supplier",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 80 3776 2895,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-patna/tiles-shop-in-rupaspur/house-of-johnson-avisa-ceramics-in-rupaspur-patna--986ba0e5-b470-4dc8-9f19-16b52d2fb2f7/home,3.9,,"Gola Road Mod, Bailey Rd, opposite Atlantis Hospital, Ramjaipal Nagar, Patna, Bihar 801503",Ramjaipal Nagar,25.6112945,85.0584293,ChIJURmZkk5W7TkR4i3kL_i74RA,https://www.google.com/maps/place/?q=place_id:ChIJURmZkk5W7TkR4i3kL_i74RA,part_394,2026-09-20 20:19:04,2523
Vijay Tiles and Marble,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 94702 62100,N/A,4.9,19.0,"Gazipur - Desari Rd, near Bharat Gas Agency, Desari, Bihar 844504",844116,25.670565999999997,85.40771219999999,ChIJPYHIjPlj7TkRYqHC3jJWiRU,https://www.google.com/maps/place/?q=place_id:ChIJPYHIjPlj7TkRYqHC3jJWiRU,part_394,2026-09-20 20:19:04,2524
Tiles Emporium,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95722 07613,N/A,4.2,28.0,"Road, Chaurasia Chowk, Mahatma Gandhi Setu, Hajipur, Bihar 844102",Hardeo Nagar,25.6890938,85.2315241,ChIJVVGj0NJd7TkRzYJrzi6Ztno,https://www.google.com/maps/place/?q=place_id:ChIJVVGj0NJd7TkRzYJrzi6Ztno,part_394,2026-09-20 20:19:04,2525
V. Tiles World,Tile and Marble Showroom,Tile store,Tile store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 76678 96844,N/A,4.0,2.0,"Singh Rai, 94, Mahua, Bihar 844122",844116,25.815907,85.397364,ChIJ10tsb_dv7TkRiWAxVDW9bYM,https://www.google.com/maps/place/?q=place_id:ChIJ10tsb_dv7TkRiWAxVDW9bYM,part_394,2026-09-20 20:19:04,2526
Smart World Tiles & Marble,Tile and Marble Showroom,Marble supplier,Marble supplier,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 62027 94534,N/A,4.8,,"49XX+8R4, East of, near Bharti Internation School, Chowk, Ahiyapur, Bihar 842001",Chowk,26.148251799999997,85.39958759999999,ChIJs-SxWXwQ7TkRL7Oo5OOGtdY,https://www.google.com/maps/place/?q=place_id:ChIJs-SxWXwQ7TkRL7Oo5OOGtdY,part_394,2026-09-20 20:19:05,2527
Singh Marble & Granite And (Tiles),Tile and Marble Showroom,Marble supplier,Marble supplier,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 70041 81216,N/A,5.0,,"over bridge, beside Rishu traders, Mahamda, Mehian, Bihar 841302",844116,25.8009529,84.7841919,ChIJ4_PEW_KxkjkRTZVyySe9nxo,https://www.google.com/maps/place/?q=place_id:ChIJ4_PEW_KxkjkRTZVyySe9nxo,part_394,2026-09-20 20:19:05,2528
OM MARBLE SUPPLIERS NITCO TILES,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Marble supplier, Tile manufacturer",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 95768 21623,https://stores.nitco.in/nitco/tiles-shop-in-patna/tiles-shop-in-Danapur/nitco-om-marble-supplier-in-Danapur-patna--4ywqGz/home,5.0,,"Mainpura, Cantt Rd, nearby Water Park, Danapur, Patna, Bihar 801105",Mustafapur,25.604513599999997,85.0424838,ChIJG9yOLhVW7TkRwNlliWJ-egM,https://www.google.com/maps/place/?q=place_id:ChIJG9yOLhVW7TkRwNlliWJ-egM,part_394,2026-09-20 20:19:05,2529
