business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ROOMS INTERIO (Plumbing Pipes and Bath),Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Hardware store, Kitchen supply store, Pipe Manufacturer, Pipe supplier, Pipes Wholesaler, Plumber, Plumbing supply store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 96618 34748,N/A,5.0,,"Anjaanpeer Chowk, near St.Paul school, Bagmali, Adalpur, Hajipur, Bihar 844101","Bagmali, Adalpur",25.697032399999998,85.2070689,ChIJ1WTlP4td7TkRRtc0vR0_z4c,https://www.google.com/maps/place/?q=place_id:ChIJ1WTlP4td7TkRRtc0vR0_z4c,part_394,2026-09-20 20:19:03
PATLIPUTRA BATH & FITTINGS,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Ceramics wholesaler, Interior construction contractor, Modular home builder, Modular home dealer, Paint store, Plywood supplier",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 87893 68904,N/A,4.8,,"Bailey Rd, near Ramjaipal Road, beside CHAMPARAN MEAT HOUSE, Rupaspur, IAS Colony, Patna, Bihar 801503","Rupaspur, IAS Colony",25.6110158,85.0569223,ChIJmUXC4H5X7TkRUet99lDphEw,https://www.google.com/maps/place/?q=place_id:ChIJmUXC4H5X7TkRUet99lDphEw,part_394,2026-09-20 20:19:03
Patna sanitary emporium,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Countertop store, Hardware store, Pipe supplier, Rainwater tank supplier, Stationery wholesaler",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 98350 07037,https://patnasanitaryemporium.com/,4.8,,"hp petrol pump, Exhibition Rd, Lalbhai Society, Salimpur Ahra, Golambar, Patna, Bihar 800001","Lalbhai Society, Salimpur Ahra, Golambar",25.607283,85.14170419999999,ChIJC-ALp6dZ7TkRwVGPr3Q46DY,https://www.google.com/maps/place/?q=place_id:ChIJC-ALp6dZ7TkRwVGPr3Q46DY,part_394,2026-09-20 20:19:03
Jaquar Authorized Dealer - Ranchi Sanitations,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 8071 935 087,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-patna/sanitaryware-store-in-golambar/jaquar-authorised-dealer-ranchi-sanitation-in-golambar-patna--19d5f415-3602-40f2-8f05-14b11eea544f/home,3.9,,"Exhibition Rd, nearby Om Sai Guest House, Lalbhai Society, Salimpur Ahra, Golambar, Patna, Bihar 800001","Lalbhai Society, Salimpur Ahra, Golambar",25.607085599999998,85.14185169999999,ChIJ3TCb6V1Y7TkRKgqWaO4HPHo,https://www.google.com/maps/place/?q=place_id:ChIJ3TCb6V1Y7TkRKgqWaO4HPHo,part_394,2026-09-20 20:19:03
Pawansut Enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 99312 28288,N/A,4.3,,"IDBI Bank Complex, Saguna Khagaul Rd, nearby Reliance Digital Mall, Saguna More, Kaliket Nagar, Danapur, Patna, Bihar 801503","Saguna More, Kaliket Nagar",25.6223599,85.04142159999999,ChIJrTGHG2FW7TkRVC_SDnal-pU,https://www.google.com/maps/place/?q=place_id:ChIJrTGHG2FW7TkRVC_SDnal-pU,part_394,2026-09-20 20:19:03
Jaquar Authorized Dealer - Nalanda Ceramic,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 8071 935 331,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-patna/sanitaryware-store-in-chitragupta-nagar/jaquar-authorised-dealer-nalanda-ceramic-in-chitragupta-nagar-patna--6d1f32a2-664b-46c2-acd5-c89b29198573/home,4.2,,"Dhunaki More, Mahatma Gandhi Setu, opposite Raj Dairy, Chitragupta Nagar, Kumhrar, Patna, Bihar 800030","Chitragupta Nagar, Kumhrar",25.598374399999997,85.1928652,ChIJlXoyF_Vf7TkRvQ1koqunGEo,https://www.google.com/maps/place/?q=place_id:ChIJlXoyF_Vf7TkRvQ1koqunGEo,part_394,2026-09-20 20:19:03
Standard Homes | CERA Style Gallery,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Building materials store, Tile store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93040 31123,http://www.cera-india.com/,4.0,,"Shanti Heritage Apartment, Bailey Rd, Ved Nagar, Rukanpura, Patna, Bihar 800014","Ved Nagar, Rukanpura",25.6075601,85.0679535,ChIJCx08WLZX7TkRX7eHHpRRqJU,https://www.google.com/maps/place/?q=place_id:ChIJCx08WLZX7TkRX7eHHpRRqJU,part_394,2026-09-20 20:19:03
Jaquar Authorized Dealer - International Bath Concept,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop, Tile store",844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 8071 935 188,https://dealers.jaquar.com/jaquar/sanitaryware-store-in-patna/sanitaryware-store-in-budh-vihar/jaquar-authorised-dealer-international-bath-concept-in-budh-vihar-patna--246fbd78-fe42-47a0-bcae-97427ef7a210/home,3.8,,"Shashi Complex, Exhibition Rd, nearby Hotel The Leelawati, Budh Vihar, Fraser Road Area, Patna, Bihar 800001","Budh Vihar, Fraser Road Area",25.6072338,85.1412683,ChIJ9Z7LlV1Y7TkRfHsEe9sgmVM,https://www.google.com/maps/place/?q=place_id:ChIJ9Z7LlV1Y7TkRfHsEe9sgmVM,part_394,2026-09-20 20:19:03
New Patna sanitary stores,Sanitaryware and Bathroom Fittings,Sanitary inspection,Sanitary inspection,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",N/A,N/A,4.2,,"Kuldeep Sahay Tower, Exhibition Rd, Fraser Road Area, Patna, Bihar 800001",Fraser Road Area,25.607009899999998,85.1412112,ChIJqQ0Y2bdZ7TkRNnFr2EADLpA,https://www.google.com/maps/place/?q=place_id:ChIJqQ0Y2bdZ7TkRNnFr2EADLpA,part_394,2026-09-20 20:19:03
Home Plus,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,844116,Bihar Circle,Patna HQ Region,Vaishali Division,"Dumari SO Vaishali, Bilandpur BO, Bishanpur Bejha BO",+91 93861 56116,N/A,4.4,,"Shop No.G, 12, Exhibition Rd, Golambar, Patna, Bihar 800001",Golambar,25.6072706,85.1411706,ChIJK1PtqZdZ7TkRVNoRqd1-m3o,https://www.google.com/maps/place/?q=place_id:ChIJK1PtqZdZ7TkRVNoRqd1-m3o,part_394,2026-09-20 20:19:03
