business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
कान नाक गला अस्पताल । ENT Clinic । EAR Nose Throat Thyroid,ENT Clinic,Doctor,"Doctor, Otolaryngology clinic",844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 95701 02032,N/A,5.0,,"निकट प्राणधारा फार्मा, मड़ई रोड, सुभाष चौक, Shahi colony, Hajipur, Bihar 844101","सुभाष चौक, Shahi colony",25.6913824,85.21569799999999,ChIJ4-VKE6ld7TkRAvXLWru5Rps,https://www.google.com/maps/place/?q=place_id:ChIJ4-VKE6ld7TkRAvXLWru5Rps,part_394,2026-09-20 20:19:42
Anika ENT &DENTAL Clinic (Dr.Alok Kumar MS ENT),ENT Clinic,Hospital,Hospital,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 90600 48160,N/A,4.9,,"Ram Prasad Chowk, Marai Rd, Baghdulhan, Hajipur, Bihar 844101",Baghdulhan,25.6956796,85.2209848,ChIJE8spplhd7TkRB-QMaCri_1c,https://www.google.com/maps/place/?q=place_id:ChIJE8spplhd7TkRB-QMaCri_1c,part_394,2026-09-20 20:19:42
"Dr. Satyam Prakash ENT (MBBS, MS , PMCH)",ENT Clinic,ENT Specialist,"ENT Specialist, Head and neck surgeon, Hearing aid store, Medical Center, Doctor, Otolaryngology clinic, Pain control clinic",844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 95701 02032,N/A,4.9,,"Subhash Chowk, Marai Rd, Hajipur, Bihar 844101",844117,25.6913952,85.2157015,ChIJ77pwKmdf7TkRFuGfPiW5bRE,https://www.google.com/maps/place/?q=place_id:ChIJ77pwKmdf7TkRFuGfPiW5bRE,part_394,2026-09-20 20:19:42
Prema E.N.T. Centre Best since 1994,ENT Clinic,Hospital,Hospital,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 91996 34484,N/A,4.7,,"near pani tanki, Hajipur, Bihar 844101",844117,25.690215,85.2071248,ChIJK2VbOBhc7TkRU4g8eiT9K9o,https://www.google.com/maps/place/?q=place_id:ChIJK2VbOBhc7TkRU4g8eiT9K9o,part_394,2026-09-20 20:19:42
KISHOR ENT & HEALTH CENTRE,ENT Clinic,Hospital,Hospital,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,5.0,,"M6R5+52W, Aspatal Rd (Hospital Road), Hajipur, Bihar 844101",844117,25.6904993,85.20759079999999,ChIJ984d0e1d7TkRFjwTq4Eaf0Y,https://www.google.com/maps/place/?q=place_id:ChIJ984d0e1d7TkRFjwTq4Eaf0Y,part_394,2026-09-20 20:19:42
Dr. S Kumar ( ENT),ENT Clinic,Hospital,Hospital,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,3.0,,"M6Q7+2H4, Pokhra Muhalla, Hajipur, Bihar 844101",Pokhra Muhalla,25.6875194,85.2139554,ChIJoaQ0GARd7TkRGsO6EOI_QqA,https://www.google.com/maps/place/?q=place_id:ChIJoaQ0GARd7TkRGsO6EOI_QqA,part_394,2026-09-20 20:19:42
Shyam ENT clinic,ENT Clinic,ENT Specialist,ENT Specialist,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 91131 74730,N/A,5.0,,"2nd floor, kahanuli complex, tempu stand, Kaunhara road, Hajipur, Bihar 844101",844117,25.6907228,85.2076057,ChIJGUjyoVtd7TkRHzYX_Ik0Y5I,https://www.google.com/maps/place/?q=place_id:ChIJGUjyoVtd7TkRHzYX_Ik0Y5I,part_394,2026-09-20 20:19:42
ENT CLINIC,ENT Clinic,Medical clinic,Medical clinic,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 99343 19286,N/A,5.0,,"Ent clinic, Naveen Cinema Rd, near SBI ATM, JP Colony, shubhash chowk, Hajipur, Bihar 844101","JP Colony, shubhash chowk",25.692089,85.2135177,ChIJr7MV3H1d7TkRzPVWPE7BmK8,https://www.google.com/maps/place/?q=place_id:ChIJr7MV3H1d7TkRzPVWPE7BmK8,part_394,2026-09-20 20:19:42
"Dr. S. P. Singh Eye, Ear, Nose and Throat",ENT Clinic,Medical clinic,Medical clinic,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,3.3,,"M6Q7+54V Republic of, Satwik Rd, Pokhra Muhalla, Hajipur, Bihar 844101",Pokhra Muhalla,25.6879803,85.2128015,ChIJpQEjxnBd7TkRkkV1rk-1YyM,https://www.google.com/maps/place/?q=place_id:ChIJpQEjxnBd7TkRkkV1rk-1YyM,part_394,2026-09-20 20:19:42
ENT CARE CLINIC,ENT Clinic,ENT Specialist,ENT Specialist,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",N/A,N/A,1.0,,"South of trimurti chowk, Tempo Stand Rd, beside kanhauli complex, Hajipur, Bihar 844101",844117,25.685612199999998,85.2195036,ChIJveObO2pd7TkRl7_HYddmCEQ,https://www.google.com/maps/place/?q=place_id:ChIJveObO2pd7TkRl7_HYddmCEQ,part_394,2026-09-20 20:19:42
"Dr Aditya Kaushal - Nirmala Devi ENT and Eye Center, Best ENT Doctor in Patna",ENT Clinic,ENT Specialist,ENT Specialist,844117,Bihar Circle,Patna HQ Region,Vaishali Division,"Dharhara SO Vaishali, Gurmia BO, Paura BO",+91 91555 19237,https://www.nirmaladevientpatna.com/,4.9,,"Ashiyana Digha road, Ram nagri, More opposite 9 to 9, supermarket, Patna, Bihar 800025","Ashiana, Ram Nagari, Rukanpura",25.6151873,85.0820833,ChIJnX7stiNX7TkRWW-4P41YxaA,https://www.google.com/maps/place/?q=place_id:ChIJnX7stiNX7TkRWW-4P41YxaA,part_394,2026-09-20 20:19:42
