business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Toppers' Academy,NEET and JEE Coaching Center,Education center,Education center,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 78270 48964,https://www.facebook.com/profile.php?id=61556120817658&mibextid=ZbWKwL,5.0,,"V9PQ+V7W, chehra kalan, Chehra Kalan, Mahua, Bihar 844122",chehra kalan,25.8871526,85.3881918,ChIJKatSwCZt7TkRr9ArEmFxY7I,https://www.google.com/maps/place/?q=place_id:ChIJKatSwCZt7TkRr9ArEmFxY7I,part_394,2026-09-20 20:20:43
"Bansal Classes Patna - Best IIT-JEE / NEET Coaching in Patna , Bihar",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution, Learning center, Test preparation center",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 91356 99903,https://www.bansalpatna.com/,4.9,,"Oppt Dayal Dental Care, Bansal Building, West Boring Canal Rd, Baldwin Gali, Anandpuri, Patna, Bihar 800001","Baldwin Gali, Anandpuri",25.6139945,85.11896349999999,ChIJ96iMk0hZ7TkR47ASjJmDIQg,https://www.google.com/maps/place/?q=place_id:ChIJ96iMk0hZ7TkR47ASjJmDIQg,part_394,2026-09-20 20:20:43
HARI OM STUDY CENTER (OM PRAKASH SIR),NEET and JEE Coaching Center,Education center,Education center,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 76548 01825,N/A,3.3,,"X8MM+GV7, Kurhani, Bihar 844127",844118,25.983775899999998,85.3346857,ChIJ74QVdxYV7TkRjWTaYZFl3fU,https://www.google.com/maps/place/?q=place_id:ChIJ74QVdxYV7TkRjWTaYZFl3fU,part_394,2026-09-20 20:20:43
GOAL Institute – NEET & IIT-JEE Coaching Patna,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Adult education school, Education center, Educational institution, Studying center",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 93345 94165,http://www.goalinstitute.org/,4.0,,"B-58 Near B.D. Public School, Buddha Colony, Patna, Bihar 800001",Buddha Colony,25.620772,85.128089,ChIJFctnEZRY7TkRP-sNh-FdJO0,https://www.google.com/maps/place/?q=place_id:ChIJFctnEZRY7TkRP-sNh-FdJO0,part_394,2026-09-20 20:20:43
"Aakash Institute - Best NEET & IIT-JEE Coaching in Patna, Boring Road Crossing",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 88000 13152,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-patna-boring-road-crossing-coaching-center-boring-road-crossing-ind-br-patna-285056/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"Ground & 1st Floor, Ganpat Sadan, Boring Rd, near Boring road, Nageshwar Colony, Kidwaipuri, Patna, Bihar 800001","Nageshwar Colony, Kidwaipuri",25.613325399999997,85.1195189,ChIJP4H3cy5Z7TkRgyssF8yE1Ac,https://www.google.com/maps/place/?q=place_id:ChIJP4H3cy5Z7TkRgyssF8yE1Ac,part_394,2026-09-20 20:20:43
Lakshya Classes-Best XI/XII/Mathematics/IIT-JEE/NDA/Sainik School/IX/ X Coaching Institute in Arrah,NEET and JEE Coaching Center,Coaching Center,Coaching Center,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 70501 47021,https://www.lakshyaclasses.org/,4.9,,"Street no-02, near tribhuwani niwas, Maharaja Hata, Katira, Arrah, Bihar 802301","Maharaja Hata, Katira",25.5519479,84.6597046,ChIJIabfUPlfjTkRr8m5wRfknCc,https://www.google.com/maps/place/?q=place_id:ChIJIabfUPlfjTkRr8m5wRfknCc,part_394,2026-09-20 20:20:44
Score High Institute NEET/ JEE,NEET and JEE Coaching Center,Coaching Center,Coaching Center,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 92644 43146,https://www.scorehighinstitute.in/,4.9,992.0,"1st floor, DPL house, Dadi Jee Lane, near Boring road, Chauraha, Anandpuri, Patna, Bihar 800001","Chauraha, Anandpuri",25.615208499999998,85.117583,ChIJ5frnYjlZ7TkR0HFmH4Vp_5A,https://www.google.com/maps/place/?q=place_id:ChIJ5frnYjlZ7TkR0HFmH4Vp_5A,part_394,2026-09-20 20:20:44
"Physics Wallah Vidyapeeth (School Centre), Chhapra | IIT JEE, NEET & Foundation Classes",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 74288 90305,https://www.pw.live/offline-centres/batches/vidyapeeth,3.6,19.0,"Third Floor, Bhikhari Thakur Chowk, New AND High School, Bada Telpa, Chapra, Bihar 841302",Bada Telpa,25.7795344,84.77218719999999,ChIJEbyjBTG7kjkRcKn5fnAG4NI,https://www.google.com/maps/place/?q=place_id:ChIJEbyjBTG7kjkRcKn5fnAG4NI,part_394,2026-09-20 20:20:44
"Physics Wallah Coaching Center Helpline Bhojpur Bihar | IIT JEE, NEET Classes",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Learning center, Private Tutor, Studying center, Training center, Tutoring service",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 74288 90305,https://www.pw.live/scholarship/nsat/vidyapeeth?utm_source=GMB&utm_medium=organic&utm_campaign=NSAT_24,5.0,2.0,"Nawada, Arrah, Bihar 802301",Nawada,25.5547304,84.6669819,ChIJeSCRKSJfjTkR_925qpa1HCU,https://www.google.com/maps/place/?q=place_id:ChIJeSCRKSJfjTkR_925qpa1HCU,part_394,2026-09-20 20:20:44
Aakash Institute - Vaishali Nagar,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Career guidance service, Distance Learning Center, Learning center, Tutoring service",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 88000 13085,https://centers.aakash.ac.in/aakash-institute-best-neet-iit-jee-coaching-in-jaipur-vaishali-nagar-coaching-center-vaishali-nagar-ind-rj-jaipur-294646/Home?utm_source=locator&utm_medium=googleplaces,4.5,938.0,"1st & 2nd Flr, The Solatire Building, C212 & 213, Gautam Marg, Gom Defence Colony, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302021","Gom Defence Colony, Vaishali Nagar",26.9168395,75.7435769,ChIJ51fv9WGzbTkRihZUfE_dhyI,https://www.google.com/maps/place/?q=place_id:ChIJ51fv9WGzbTkRihZUfE_dhyI,part_394,2026-09-20 20:20:44
