business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prince waterproofing enterprises,Waterproofing Contractor,Waterproofing service,Waterproofing service,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,5.0,2.0,"X9V8+8FP, Kishunpur Madhuban, Bihar 844127",844118,25.993339799999998,85.3662068,ChIJb0giPQAT7TkR9gRu_RLau90,https://www.google.com/maps/place/?q=place_id:ChIJb0giPQAT7TkR9gRu_RLau90,part_394,2026-09-20 20:20:36
Sealmax India waterproofing solution,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,https://seal-max-solution--isealmax.replit.app/#services,,,"ward no 16, Palot no 80, Kurhani, Bangra Hardas, Muzaffarpur, Bihar 844120",Kurhani,25.9645059,85.3523537,ChIJ-1b4dGRr7TkRUwAYr4pEWG0,https://www.google.com/maps/place/?q=place_id:ChIJ-1b4dGRr7TkRUwAYr4pEWG0,part_394,2026-09-20 20:20:36
SRM CONSTRUCTION WATERPROOF,Waterproofing Contractor,Waterproofing service,Waterproofing service,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 89200 73587,N/A,,,"Godni, sonbrsa road, Kinaroo, Bihar 844119",844118,25.9826603,85.41785159999999,ChIJ7SbdEE4T7TkRw02kIpih3A4,https://www.google.com/maps/place/?q=place_id:ChIJ7SbdEE4T7TkRw02kIpih3A4,part_394,2026-09-20 20:20:36
M R INTERPRISES,Waterproofing Contractor,Contractor,"Contractor, Real Estate Builders & Construction Company",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 70038 15377,N/A,5.0,2.0,"P.S =, Vill = Paharpur , P.O =, Chhitrauli, Mahanth Maniari, Bihar 843119",844118,25.9991716,85.4318294,ChIJZ6bjYQAT7TkRzzpoJViqm24,https://www.google.com/maps/place/?q=place_id:ChIJZ6bjYQAT7TkRzzpoJViqm24,part_394,2026-09-20 20:20:36
Prince raj,Waterproofing Contractor,Waterproofing service,Waterproofing service,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,,,"X9PC+45G, Kishunpur Madhuban, Bihar 844127",844118,25.9853027,85.3704606,ChIJqRe2CgAT7TkRBJAeJh9fMdE,https://www.google.com/maps/place/?q=place_id:ChIJqRe2CgAT7TkRBJAeJh9fMdE,part_394,2026-09-20 20:20:36
Randhir Water proofing Contractor,Waterproofing Contractor,Apartment building,Apartment building,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,,,"XCWP+HJ, Chhitrauli, Bihar 843119",844118,25.996497299999998,85.4372207,ChIJJ2HuTvYT7TkRkgZhUSKeN2s,https://www.google.com/maps/place/?q=place_id:ChIJJ2HuTvYT7TkRkgZhUSKeN2s,part_394,2026-09-20 20:20:36
pk waterproofing(A complete waterproofing solution),Waterproofing Contractor,Waterproofing service,"Waterproofing service, Service establishment",844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",+91 95254 50335,https://www.pkwaterproofing.com/,5.0,,"pk waterproofing(A complete waterproofing solution), 844118, India",844118,25.8904328,85.8070058,ChIJ_8h7jazB6G0RPIxvwguEjdA,https://www.google.com/maps/place/?q=place_id:ChIJ_8h7jazB6G0RPIxvwguEjdA,part_394,2026-09-20 20:20:36
Sukrit Infrastructure,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,https://sukritinfrastructure.com/,4.0,,"1, Mathiyapur Rd Mathiyapur Road, Danapur, Jamsaut, near Vastu Vihar Appartment, Akluchak, Mathiapur, Danapur, Patna, Bihar 801503","Akluchak, Mathiapur",25.6195809,85.0285048,ChIJ9yQeKFmPHioRa8570OHR7Dg,https://www.google.com/maps/place/?q=place_id:ChIJ9yQeKFmPHioRa8570OHR7Dg,part_394,2026-09-20 20:20:36
waterproofing contractors,Waterproofing Contractor,Contractor,Contractor,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,,,"XCWP+HJ, Chhitrauli, Bihar 843119",844118,25.9964375,85.4365625,ChIJ_Zz4zUkT7TkReoVjidf7LmQ,https://www.google.com/maps/place/?q=place_id:ChIJ_Zz4zUkT7TkReoVjidf7LmQ,part_394,2026-09-20 20:20:36
Uk Waterproofing solutions,Waterproofing Contractor,Waterproofing service,Waterproofing service,844118,Bihar Circle,Patna HQ Region,Vaishali Division,"Goraul SO, Bathna Mahodat BO, Bhuwalpur Bahadurpur BO",N/A,N/A,,,"29GG+FVR, Balia, Bihar 844127",844118,26.026177999999998,85.3773204,ChIJt6wJbQAT7TkR43aHPl9MGQw,https://www.google.com/maps/place/?q=place_id:ChIJt6wJbQAT7TkR43aHPl9MGQw,part_394,2026-09-20 20:20:38
