business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Taj Auto Electrical Ac Works,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,5.0,,"Chavula Madum Area, Railway Quarters, Mahaarajupeta, Visakhapatnam, Andhra Pradesh 530004","Chavula Madum Area, Railway Quarters, Mahaarajupeta",17.7186998,83.2920371,ChIJnc1yQOBCOToRpH55aN75xXM,https://www.google.com/maps/place/?q=place_id:ChIJnc1yQOBCOToRpH55aN75xXM,part_394,2026-09-20 20:21:57
Sri Venkateswara ac mechanic,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 90109 06436,N/A,5.0,,"VRHF+JXQ, M.K.Vallapuram, Andhra Pradesh 531027",844120,17.879081499999998,82.82500329999999,ChIJmzrmAgCBOToRjuEBgqdvSok,https://www.google.com/maps/place/?q=place_id:ChIJmzrmAgCBOToRjuEBgqdvSok,part_394,2026-09-20 20:21:57
AIR COOL ENGINEERS,Auto Electrician and AC Repair,Repair service,Repair service,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 95253 42062,N/A,5.0,,"flat no. 123, Aruna Singh, Sahjananad colony, Road No. 4, reva road, Bhagwanpur, Muzaffarpur, Bihar 842001","reva road, Bishundatpur",26.1313802,85.35603429999999,ChIJCwfbDZMR7TkRYObhuLP0Nj4,https://www.google.com/maps/place/?q=place_id:ChIJCwfbDZMR7TkRYObhuLP0Nj4,part_394,2026-09-20 20:21:57
Air conditioner service,Auto Electrician and AC Repair,Electronic engineering service,Electronic engineering service,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,,,"Krishnapuri Rd, Alkapuri Colony, Bishundatpur, Muzaffarpur, Bihar 843113","Alkapuri Colony, Bishundatpur",26.1239197,85.3573333,ChIJ_Zzcks8R7TkRUkWwiL9e5H0,https://www.google.com/maps/place/?q=place_id:ChIJ_Zzcks8R7TkRUkWwiL9e5H0,part_394,2026-09-20 20:21:57
Car ac repair,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,3.0,,"H2P4+2J9, Ahirauli, Buxar, Bihar 802116",844120,25.585041,84.0066221,ChIJ1y-fJQB1kjkReh_TirPqHx4,https://www.google.com/maps/place/?q=place_id:ChIJ1y-fJQB1kjkReh_TirPqHx4,part_394,2026-09-20 20:21:57
Sheela motor,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 94716 65006,https://www.instagram.com/sheela.motors?igsh=MWtmN2lpZ2wxaG5oeA==,4.9,,"NH-28, Sherpur, Narayanpur Anant, Muzaffarpur, Bihar 842005","Sherpur, Narayanpur Anant",26.0825316,85.4038121,ChIJ3cDY_WER7TkRzdcdohBo1Jk,https://www.google.com/maps/place/?q=place_id:ChIJ3cDY_WER7TkRzdcdohBo1Jk,part_394,2026-09-20 20:21:57
Best Car AC & Accessories,Auto Electrician and AC Repair,Auto Accessories Store,"Auto Accessories Store, Auto repair shop",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 87890 54021,https://bestcaracaccessories.nowfloats.com/,4.6,,"Sadpura Main Road near Railway crossing Muzaffarpur NH-28.B.B.Gang Chowk, Bhagvanpur, Muzaffarpur, Bihar 842002","zakaria colony saadpur, Saadpur",26.104935899999997,85.3950189,ChIJ60AMCcwQ7TkRIWVIABZbaJc,https://www.google.com/maps/place/?q=place_id:ChIJ60AMCcwQ7TkRIWVIABZbaJc,part_394,2026-09-20 20:21:57
A1 car a/c & electrician works,Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 97003 36835,N/A,4.6,,"Pillar no 298, opposite Vijay Anand Ground, Adarsh Nagar, shurampally, Hyderabad, Premavathipet, Telangana 500052","Adarsh Nagar, shurampally",17.3258834,78.4258495,ChIJ3WjrIpOXyzsRo7SeN21JtnE,https://www.google.com/maps/place/?q=place_id:ChIJ3WjrIpOXyzsRo7SeN21JtnE,part_394,2026-09-20 20:21:57
A F AUTO ELECTRICAL AND AC WORKS,Auto Electrician and AC Repair,Auto air conditioning service,"Auto air conditioning service, Auto electrical service",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 98864 95347,N/A,4.5,,"Hosur Rd, Aishwarya Crystal Layout, Singasandra, Bengaluru, Karnataka 560114","Aishwarya Crystal Layout, Singasandra",12.8762628,77.6475755,ChIJT3sZGwgVrjsRJpLs50J_lV0,https://www.google.com/maps/place/?q=place_id:ChIJT3sZGwgVrjsRJpLs50J_lV0,part_394,2026-09-20 20:21:57
S.M.N. Air Condition & Auto Electrical Works,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Air conditioning repair service",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 98453 72825,N/A,4.2,,"#36 9th c main, 100 ft ring road, btm 1st stage opp to indian oli petrol buunk, Bengaluru, Karnataka 560029","KEB Colony, 1st Stage, BTM 1st Stage",12.9168459,77.60578869999999,ChIJX9tzJwIVrjsRewKBTuKRoPk,https://www.google.com/maps/place/?q=place_id:ChIJX9tzJwIVrjsRewKBTuKRoPk,part_394,2026-09-20 20:21:57
AK AUTO ELECTRICIAN ECM REPAIR & AC GAS WORK,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,5.0,,"Q8P2+JWF, Armur, Telangana 503223",844120,18.7865678,78.30229609999999,ChIJXUd0LwC_zTsR56JRiov2SHs,https://www.google.com/maps/place/?q=place_id:ChIJXUd0LwC_zTsR56JRiov2SHs,part_394,2026-09-20 20:21:57
Ishaq Car A/C & Auto Electrical Works,Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Auto electrical service",844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 98851 67818,N/A,4.6,,"Akkayyapalem 80 Feet Rd, Akkayyapalem, Visakhapatnam, Andhra Pradesh 530016",Akkayyapalem,17.7352682,83.2988574,ChIJ3YweKylDOToRVkYtZmttBpM,https://www.google.com/maps/place/?q=place_id:ChIJ3YweKylDOToRVkYtZmttBpM,part_394,2026-09-20 20:21:57
HSR AUTO ELECTRICAL WORKS,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 98808 62157,N/A,4.7,,"505 24th Main Rd, 1st Cross Rd, near govt schoolnear, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","Phase 3, Agara Village, 1st Sector, HSR Layout",12.9224126,77.6505833,ChIJVY73yjkVrjsRfSJdW86ZwJg,https://www.google.com/maps/place/?q=place_id:ChIJVY73yjkVrjsRfSJdW86ZwJg,part_394,2026-09-20 20:21:58
Car electrical and ac work,Auto Electrician and AC Repair,Mechanic,Mechanic,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 93814 04308,N/A,5.0,,"Madhapur hi-tech City vittal rao Nagar Sarva number 11, Hitech City Rd, Madhapur, Hyderabad, Telangana 500081","Vittal Rao Nagar, Madhapur",17.440120099999998,78.38460309999999,ChIJxxuNGhCRyzsR9Ztpj3Q_ew4,https://www.google.com/maps/place/?q=place_id:ChIJxxuNGhCRyzsR9Ztpj3Q_ew4,part_394,2026-09-20 20:21:59
Shreyas Sales - Commercial A/c Dealer | Voltas | O General Air Condition Dealer in Muzaffarpur,Auto Electrician and AC Repair,Air conditioning store,Air conditioning store,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",+91 87899 18438,N/A,4.5,,"Raghubansh Rd, Kalyani, Andigola, Muzaffarpur, Bihar 842001","Kalyani, Andigola",26.1211421,85.3905496,ChIJUx0Vl1gR7TkRaOD25wX0zzA,https://www.google.com/maps/place/?q=place_id:ChIJUx0Vl1gR7TkRaOD25wX0zzA,part_394,2026-09-20 20:21:59
Air Cooling Centre,Auto Electrician and AC Repair,Auto Electrician and AC Repair,Auto Electrician and AC Repair,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,4.6,,"49FX+CVG, Pakki Sarai Rd, Mahammadpur Kazi, Chandwara, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Chandwara",26.1235517,85.3997129,ChIJ2XIbuVkQ7TkRA_o7yvhyEg8,https://www.google.com/maps/place/?q=place_id:ChIJ2XIbuVkQ7TkRA_o7yvhyEg8,part_394,2026-09-20 20:21:59
Luminous Service Centre,Auto Electrician and AC Repair,Electrical supply store,Electrical supply store,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,3.3,,"49JQ+4QP, near Uttar Bihar Gramin Bank, Akharghat, Muzaffarpur, Bihar 842001",Akharghat,26.130335499999997,85.389461,ChIJMWtCp_MQ7TkR9i_wgacpHD8,https://www.google.com/maps/place/?q=place_id:ChIJMWtCp_MQ7TkR9i_wgacpHD8,part_394,2026-09-20 20:21:59
Jimmy Sales,Auto Electrician and AC Repair,Electronics store,Electronics store,844120,Bihar Circle,Muzaffarpur Region,Muzaffarpur Division,"Kurhani SO, Anant Kamtaul BO, Azizpur BO",N/A,N/A,4.1,,"Maripur Main Rd, Tilak Nagar, Muzaffarpur, Bihar 842001",Tilak Nagar,26.122872599999997,85.3668155,ChIJM0C31uAR7TkRGDDiWYMhA_A,https://www.google.com/maps/place/?q=place_id:ChIJM0C31uAR7TkRGDDiWYMhA_A,part_394,2026-09-20 20:21:59
