business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lalganj Nagar Parishad,Offices,Local government office,Local government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,3.5,,"V56F+WJM, Lalganj, Bihar 844121",844121,25.862339799999997,85.1740465,ChIJw5SEHxxE7TkRDsMvvmisNk0,https://www.google.com/maps/place/?q=place_id:ChIJw5SEHxxE7TkRDsMvvmisNk0,part_394,2026-09-20 20:23:09
Aadhar Regsitration Centre Lalganj,Offices,Government office,Government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,3.0,,"V53C+FVP, Lalganj - Sarai Rd, Ataullahpur, Salahpur, Bihar 844121",Ataullahpur,25.853721099999998,85.1722011,ChIJBSgtHkNF7TkRJz57obqjrz8,https://www.google.com/maps/place/?q=place_id:ChIJBSgtHkNF7TkRJz57obqjrz8,part_394,2026-09-20 20:23:09
Supply office lalganj,Offices,Government office,Government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,5.0,,"V53C+W9H, Ataullahpur, Salahpur, Bihar 844121",Ataullahpur,25.8544841,85.17139859999999,ChIJOeZBAwBF7TkRyLy9bX4e_nQ,https://www.google.com/maps/place/?q=place_id:ChIJOeZBAwBF7TkRyLy9bX4e_nQ,part_394,2026-09-20 20:23:09
Nagar Bhawan Lalganj,Offices,Local government office,Local government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,3.0,,"V56F+X6R, Post Office Rd, Lalganj, Bihar 844121",844121,25.8625929,85.17307319999999,ChIJqaghiYhF7TkREFZFutFqqoU,https://www.google.com/maps/place/?q=place_id:ChIJqaghiYhF7TkREFZFutFqqoU,part_394,2026-09-20 20:23:09
BRC Lalganj,Offices,Government office,Government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,2.5,,"V53C+W9H, Ataullahpur, Salahpur, Bihar 844121",Ataullahpur,25.854576299999998,85.1709341,ChIJn8-UCu5F7TkRclqCNVwe12M,https://www.google.com/maps/place/?q=place_id:ChIJn8-UCu5F7TkRclqCNVwe12M,part_394,2026-09-20 20:23:09
Lalganj Block Road Chakshale,Offices,Housing complex,Housing complex,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,4.9,,"V53F+HXM, Post Office Rd, चौक, Lalganj, Jarang Rampur, Bihar 844121",चौक,25.854028099999997,85.1747764,ChIJW6QZ_ipF7TkRIluH3cIZ_oE,https://www.google.com/maps/place/?q=place_id:ChIJW6QZ_ipF7TkRIluH3cIZ_oE,part_394,2026-09-20 20:23:09
Work from home,Offices,Unemployment office,"Unemployment office, Business networking company",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,http://swamini.in/,5.0,3.0,"TEEN PULWA CHOWK LALGANJ,DIST-VAISHALI (BIHAR TEEN PULWA CHOWK LALGANJ,DIST, Lalganj, Bihar 844121",844121,25.8644748,85.1808281,ChIJa-tVPUBF7TkRpwE7ppJAdYM,https://www.google.com/maps/place/?q=place_id:ChIJa-tVPUBF7TkRpwE7ppJAdYM,part_394,2026-09-20 20:23:09
BAIF Project Office,Offices,Association / Organization,Association / Organization,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,http://baif.org.in/,4.4,,"near Dr. Basant kumar, Lalganj, Salahpur, Bihar 844121",844121,25.859242599999998,85.1804801,ChIJk88MRgBF7TkRw9oV51uQm0M,https://www.google.com/maps/place/?q=place_id:ChIJk88MRgBF7TkRw9oV51uQm0M,part_394,2026-09-20 20:23:09
Tirhut Canal Division,Offices,Government office,Government office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,N/A,5.0,,"V56J+F5P, Salahpur, Bihar 844121",844121,25.861224,85.1804496,ChIJHZYnxX1F7TkR8X5AySOwwBI,https://www.google.com/maps/place/?q=place_id:ChIJHZYnxX1F7TkR8X5AySOwwBI,part_394,2026-09-20 20:23:09
pollution testing center,Offices,Corporate office,Corporate office,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 73248 48748,http://www.policyssgic.com/,4.0,,"V57J+26C, Hajipur - Lalganj Rd, Adalwari, Hajipur, Salahpur, Bihar 844121",Adalwari,25.8625588,85.180523,ChIJq_BGFQNE7TkRZ4jCrjUx2bs,https://www.google.com/maps/place/?q=place_id:ChIJq_BGFQNE7TkRZ4jCrjUx2bs,part_394,2026-09-20 20:23:09
