business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHREE ENTERPRISES SOLAR,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Solar energy system service, Solar energy equipment supplier, Solar photovoltaic power plant",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 99359 00348,https://shree-enterprises-solar.grexa.site/,5.0,,"Bardahi Mod, NEAR, TO, Kanpur - Raebareli Rd, KANPUR, Lalganj, Uttar Pradesh 229206",844121,26.164961299999998,80.9725977,ChIJN2jWXT6DmzkRorpFoh2hD9E,https://www.google.com/maps/place/?q=place_id:ChIJN2jWXT6DmzkRorpFoh2hD9E,part_394,2026-09-20 20:22:45
Shree enterprises,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Air conditioning store, Appliance repair service, Electronics Company, Electronics repair shop, Electronics store, Appliance store, Solar energy system service, Solar energy equipment supplier, Solar panel maintenance service",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 95596 60008,N/A,5.0,,"4WGW+PRJ, Ambara Pashchim, Alampur, Uttar Pradesh 229206",844121,26.171058,80.969893,ChIJfbdYKsN5mzkREjluFF2tnlc,https://www.google.com/maps/place/?q=place_id:ChIJfbdYKsN5mzkREjluFF2tnlc,part_394,2026-09-20 20:22:45
Green Way Energy LLP,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar Energy Company, Solar panel maintenance service",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 75648 15146,https://greenwayenergy.in/,5.0,,"Kailashpuri, Sitamarhi, Rampur Parori, Bihar 843301",Kailashpuri,26.557121799999997,85.5187373,ChIJQbg1km7x7DkRyj3N7r3iCaA,https://www.google.com/maps/place/?q=place_id:ChIJQbg1km7x7DkRyj3N7r3iCaA,part_394,2026-09-20 20:22:45
Ampl Solar,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,Solar energy equipment supplier,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",N/A,https://amplsolar.com/,4.7,,"The Basement of PNB Bank, near Domino's, Civil Line, Raebareli, Uttar Pradesh 229001",Civil Line,26.218863,81.25506419999999,ChIJ2Z4_nsummzkR3WDIfGqbCdk,https://www.google.com/maps/place/?q=place_id:ChIJ2Z4_nsummzkR3WDIfGqbCdk,part_394,2026-09-20 20:22:45
Eurotech Solar Solution,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 75700 59555,http://eurotechsolution.in/,4.8,,"Shop No. 1 & 2, Vilayat Ali Building, behind Head Post Office, Ghantaghar, PNT Colony, Raebareli, Uttar Pradesh 229001","Ghantaghar, PNT Colony",26.2271803,81.237,ChIJ1WfYKXahmzkRbHFn6XdAtpw,https://www.google.com/maps/place/?q=place_id:ChIJ1WfYKXahmzkRbHFn6XdAtpw,part_394,2026-09-20 20:22:45
J.S. ENTERPRISES & SOLAR TECH,Solar Rooftop and Inverter Dealer,Solar energy equipment supplier,"Solar energy equipment supplier, Solar Energy Company, Solar energy system service, Solar panel maintenance service",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 89794 97915,https://www.jsentsolar.in/,4.9,,"near gunjan takies, Dibiyapur, Uttar Pradesh 206244",844121,26.638052899999998,79.5521949,ChIJTQlouaP7nTkRjV8UoSUPr7A,https://www.google.com/maps/place/?q=place_id:ChIJTQlouaP7nTkRjV8UoSUPr7A,part_394,2026-09-20 20:22:45
Jain Solar (karuna enterprises),Solar Rooftop and Inverter Dealer,Solar energy system service,Solar energy system service,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 97924 00005,http://wipro.com/,3.7,,"Arihant Complex, near SJS School, Nirala Nagar, Raebareli, Uttar Pradesh 229001",Nirala Nagar,26.222211299999998,81.24147239999999,ChIJm-XoJgOhmzkRPzDnChIgltQ,https://www.google.com/maps/place/?q=place_id:ChIJm-XoJgOhmzkRPzDnChIgltQ,part_394,2026-09-20 20:22:45
Singh Solar Solution,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 76350 56839,http://www.singhsolarsolution.in/,5.0,,"Tulsi nagar colony, Khadi bhandar road, Gillation Market Campus, Madhubani, Bihar 847211",Gillation Market Campus,26.3454291,86.06929199999999,ChIJQSBrSDXN7TkRFLjL7CAYrH4,https://www.google.com/maps/place/?q=place_id:ChIJQSBrSDXN7TkRFLjL7CAYrH4,part_394,2026-09-20 20:22:45
Helio Shift Solar Solutions,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 97177 11936,https://helioshift.com/,4.9,38.0,"Pani tanki, Mirzapur, Lal Bagh, Darbhanga, Bihar 846004","Mirzapur, Lal Bagh",26.153014499999998,85.8934507,ChIJzZP2H9u57TkRwnBPwimnqjc,https://www.google.com/maps/place/?q=place_id:ChIJzZP2H9u57TkRwnBPwimnqjc,part_394,2026-09-20 20:22:45
Mukul Renewable Energy Private Limited,Solar Rooftop and Inverter Dealer,Solar Energy Company,Solar Energy Company,844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 92790 13690,http://mukulsolar.com/,5.0,,"MUKUL Private ITI, Chitragupta Nagar, Barua Kapar Pura, Mirganj, Bihar 841438",Chitragupta Nagar,26.361808,84.32871639999999,ChIJjVZ2Pw4BkzkRPlZXPMcB64c,https://www.google.com/maps/place/?q=place_id:ChIJjVZ2Pw4BkzkRPlZXPMcB64c,part_394,2026-09-20 20:22:47
Anya Green Energy Pvt Ltd,Solar Rooftop and Inverter Dealer,Solar Energy Company,"Solar Energy Company, Flour mill",844121,Bihar Circle,Patna HQ Region,Vaishali Division,"Lalganj Vaishali SO, Jaintipur BO, Jalalpur BO",+91 63060 28266,https://anyaenergy.com/,4.8,,"N10/72E -25, New Colony Kakarmatta, Sundarpur, DLW, Varanasi, Uttar Pradesh 221005","New Colony Kakarmatta, Sundarpur, DLW",25.286206,82.97261309999999,ChIJHyNdC2syjjkRbUEK1_yow8A,https://www.google.com/maps/place/?q=place_id:ChIJHyNdC2syjjkRbUEK1_yow8A,part_394,2026-09-20 20:22:47
