business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chaurasia Raj Kishore College,Junior College and Degree College,Educational institution,Educational institution,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 95238 11051,https://crk-college.in/,3.7,,"Chaurasia Chowk, MG Setu, Road, CRK COLLEGE ROAD, Hajipur, Bihar 844101",844124,25.6894922,85.2284265,ChIJSTtdpy1c7TkRNAPOc7nfxFU,https://www.google.com/maps/place/?q=place_id:ChIJSTtdpy1c7TkRNAPOc7nfxFU,part_394,2026-09-20 20:25:07
Jai Prakash Evening Inter College,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 94712 13330,http://www.jpeic.com/,4.0,,"Industrial Area Road, 322, Hajipur - Jandaha Rd, Yadav Nagar Colony, Road, Hajipur, Bihar 844502","Yadav Nagar Colony, Road",25.6898527,85.2484674,ChIJN5KJ2txd7TkRfdOG9lWpPGo,https://www.google.com/maps/place/?q=place_id:ChIJN5KJ2txd7TkRfdOG9lWpPGo,part_394,2026-09-20 20:25:07
Shiv Prasad Singheshwar Mahavidyalya,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",N/A,N/A,4.0,,"MCH7+X6C, Gazipur - Desari Rd, Uphraul, Bihar 844504",844124,25.679938399999998,85.41300679999999,ChIJuZtlSmFj7TkR8YIrULjtwj0,https://www.google.com/maps/place/?q=place_id:ChIJuZtlSmFj7TkR8YIrULjtwj0,part_394,2026-09-20 20:25:07
Yamuna Nand Kishore Shukla College,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 97080 98465,http://www.ynkscollege.ac.in/,4.3,,"P76J+XR9, Langa Rd, Hajipur, Chak Saheb, Bihar 844502",844124,25.7132066,85.281336,ChIJbedUAEtn7TkRwjOBtB3UBc4,https://www.google.com/maps/place/?q=place_id:ChIJbedUAEtn7TkRwjOBtB3UBc4,part_394,2026-09-20 20:25:08
Nirsu Narain College,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 99349 74464,https://www.nncollege.co.in/,4.0,,"Singhara North, Bihar 844126",844124,25.805999399999997,85.45973389999999,ChIJpY_5PEBw7TkRB2XUfLLa8iA,https://www.google.com/maps/place/?q=place_id:ChIJpY_5PEBw7TkRB2XUfLLa8iA,part_394,2026-09-20 20:25:08
GOVERNMENT ENGINEERING COLLEGE VAISHALI,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 75499 00385,http://www.gecvaishali.ac.in/,4.2,,"Phulpura, Chaksikandar, Bihar 844502",844124,25.6925024,85.3520999,ChIJVw5CJf8_7TkRBJT6etTwclo,https://www.google.com/maps/place/?q=place_id:ChIJVw5CJf8_7TkRBJT6etTwclo,part_394,2026-09-20 20:25:08
R D M Degree College,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 77610 50723,N/A,4.1,,"QQR7+9RX, Newaji Tola, Chapra, Bihar 841301",Newaji Tola,25.790976099999998,84.76461429999999,ChIJu9p99pq6kjkRbq2D_JQvrIk,https://www.google.com/maps/place/?q=place_id:ChIJu9p99pq6kjkRbq2D_JQvrIk,part_394,2026-09-20 20:25:08
Ram Baran Ray Bed Colleg,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 94318 17111,http://www.rbrbedcollege.com/,3.9,21.0,"R7GJ+G8Q, Miya Bairo, Hansi Kewal, Bihar 844114",844124,25.826326599999998,85.28084439999999,ChIJQR2heNJp7TkRCtMRrXUL1do,https://www.google.com/maps/place/?q=place_id:ChIJQR2heNJp7TkRCtMRrXUL1do,part_394,2026-09-20 20:25:09
Royal Heritage College Of Education,Junior College and Degree College,Educational institution,Educational institution,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 74850 97208,http://www.royalheritagecollege.com/,3.7,204.0,"MAHNAR ROAD RAJASAN, Hajipur, Bihar 844102",844124,25.6627768,85.2765582,ChIJC4MqTyhh7TkRnpaLUO3kidU,https://www.google.com/maps/place/?q=place_id:ChIJC4MqTyhh7TkRnpaLUO3kidU,part_394,2026-09-20 20:25:09
INDU DEVI RANJEET KUMAR PRAKASH PROFESSIONAL COLLEGE HAJIPUR,Junior College and Degree College,College,College,844124,Bihar Circle,Patna HQ Region,Vaishali Division,"Rajapakar SO, Baikunthpur BO, Basara BO",+91 77650 63295,N/A,3.2,77.0,"P628+4P2, Gandhi Ashram Rd, Anwarpur, Hajipur, Bihar 844101",Anwarpur,25.7006379,85.2166994,ChIJpQJF7xFd7TkRC1DgDGY45gs,https://www.google.com/maps/place/?q=place_id:ChIJpQJF7xFd7TkRC1DgDGY45gs,part_394,2026-09-20 20:25:09
