business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RAMBABU JEWELLERS,Artificial Jewellery and Accessories,Costume jewelry shop,Costume jewelry shop,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 74797 00511,N/A,5.0,3.0,"Chadhua chawk, Turki, Chadhua, Bihar 844127",Chadhua chawk,26.0303506,85.3629115,ChIJP3nz3ZAT7TkR3lnTBj1R-9A,https://www.google.com/maps/place/?q=place_id:ChIJP3nz3ZAT7TkR3lnTBj1R-9A,part_394,2026-09-20 20:26:57
Swati jewllers,Artificial Jewellery and Accessories,Costume jewelry shop,Costume jewelry shop,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",N/A,N/A,5.0,2.0,"4955+25H, Gobarsahi Rd, Gobarsahi, Dumari, Muzaffarpur, Bihar 843113",Gobarsahi,26.1075707,85.3579994,ChIJF4F2JwAR7TkReGexeiwMchs,https://www.google.com/maps/place/?q=place_id:ChIJF4F2JwAR7TkReGexeiwMchs,part_394,2026-09-20 20:26:57
Krishna Lahthi Bhandar,Artificial Jewellery and Accessories,Bangle Shop,"Bangle Shop, Bridal shop, Gift shop, Jewelry store",844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 98355 43750,N/A,4.9,107.0,"Kacci, pakki chowk, Madhopur Rd, Madhopur, Muzaffarpur, Bihar 842002",Madhopur,26.088375,85.39061029999999,ChIJLZhQhQwR7TkR_z3n3ijJItg,https://www.google.com/maps/place/?q=place_id:ChIJLZhQhQwR7TkR_z3n3ijJItg,part_394,2026-09-20 20:26:57
Nirsan sah and Company,Artificial Jewellery and Accessories,Costume jewelry shop,"Costume jewelry shop, Jeweler, Jewelry store, Gemstone Jeweler",844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 98350 97491,N/A,4.6,9.0,"Jewellery Shop, HM-916, Ramdayalu Nagar - Hajipur Rd, Aghoria Bazar, Muzaffarpur, Bihar 842002",Aghoria Bazar,26.1026903,85.3888004,ChIJOzOZxFgR7TkR2zaztRQk8bE,https://www.google.com/maps/place/?q=place_id:ChIJOzOZxFgR7TkR2zaztRQk8bE,part_394,2026-09-20 20:26:57
YASH CREATION--An Artificial Jewellery Store,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 80845 78107,N/A,4.7,,"Sonarpatti Rd, near SBI ATM, Purani Bazar, Musahri, Muzaffarpur, Bihar 842001","Purani Bazar, Musahri",26.123637,85.3939833,ChIJ5QmFX7gR7TkRrpUFuXvnFGU,https://www.google.com/maps/place/?q=place_id:ChIJ5QmFX7gR7TkRrpUFuXvnFGU,part_394,2026-09-20 20:26:58
Sagar Ornaments,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 98014 91100,N/A,4.9,,"Parti Tola, Purani Bazar, Muzaffarpur, Bihar 842001","Purani Bazar, Musahri",26.1235139,85.3914733,ChIJcV9bMfcQ7TkRScLx7hYe1Vg,https://www.google.com/maps/place/?q=place_id:ChIJcV9bMfcQ7TkRScLx7hYe1Vg,part_394,2026-09-20 20:26:58
Mia by Tanishq - Muzaffarpur,Artificial Jewellery and Accessories,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry engraver, Jewelry repair service, Gemstone Jeweler, Silversmith",844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 90310 08752,https://www.miabytanishq.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-mia_by_tanishq,5.0,,"Ground Floor, Kalambagh Rd, near Louis Philippe, Pokhraira, Muzaffarpur, Bihar 842001",Pokhraira,26.113428799999998,85.3824972,ChIJgVo1iawR7TkRwZEfPRIAghk,https://www.google.com/maps/place/?q=place_id:ChIJgVo1iawR7TkRwZEfPRIAghk,part_394,2026-09-20 20:26:58
Femina,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 98923 75005,N/A,4.0,,"Femina Bunni Bazar Kalyani Chowk, Motijheel Rd, Muzaffarpur, Bihar 842001","Kalyani, Sutapatti, Pokhraira",26.1193925,85.3907713,ChIJv561Wc8R7TkRDG_AG5DqHb4,https://www.google.com/maps/place/?q=place_id:ChIJv561Wc8R7TkRDG_AG5DqHb4,part_394,2026-09-20 20:26:58
N.B. Jewellery,Artificial Jewellery and Accessories,Jewelry store,Jewelry store,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 98350 60465,N/A,4.5,,"Islampur Road, Sutapatti, Pokhraira, Muzaffarpur, Bihar 842001","Sutapatti, Pokhraira",26.1220265,85.3848982,ChIJuURtELER7TkRqNj_CrpMZII,https://www.google.com/maps/place/?q=place_id:ChIJuURtELER7TkRqNj_CrpMZII,part_394,2026-09-20 20:26:58
SHUBHAM JEWELLERS,Artificial Jewellery and Accessories,Costume jewelry shop,Costume jewelry shop,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",N/A,N/A,5.0,,"Purani Bazar Rd, Mahammadpur Kazi, Musahri, Muzaffarpur, Bihar 842001","Mahammadpur Kazi, Musahri",26.1243494,85.392713,ChIJTRnkTZAR7TkREaFjTUxcwsc,https://www.google.com/maps/place/?q=place_id:ChIJTRnkTZAR7TkREaFjTUxcwsc,part_394,2026-09-20 20:26:58
