business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
S.Kienzee English Classes Home Branch,Spoken English Institute,Education center,Education center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",N/A,N/A,4.8,,"39WQ+GPH, Attardah, Bhikanpur Dih, Patepur, Muzaffarpur, Bihar 842002","Attardah, Bhikanpur Dih, Patepur",26.0963159,85.38935,ChIJSQpp6gIR7TkR688ktMMTIYo,https://www.google.com/maps/place/?q=place_id:ChIJSQpp6gIR7TkR688ktMMTIYo,part_394,2026-09-20 20:27:20
Advent English,Spoken English Institute,Educational institution,Educational institution,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 95255 55854,N/A,4.7,,"Vidyanchal Lane, near Zenith Petrol Pump, Muzaffarpur, Bihar 842002","Aghoria Bazar, Saadpur",26.102584999999998,85.3899284,ChIJc8TPBs4R7TkRbDkLnCCpnIA,https://www.google.com/maps/place/?q=place_id:ChIJc8TPBs4R7TkRbDkLnCCpnIA,part_394,2026-09-20 20:27:20
M. Alam English Institute,Spoken English Institute,Coaching Center,Coaching Center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 94312 54245,https://www.malamenglish.in/,4.7,,"Neem Chowk Road, zakaria colony saadpur, Saadpur, Muzaffarpur, Bihar 842002","zakaria colony saadpur, Saadpur",26.105508699999998,85.39336329999999,ChIJuwCzGAER7TkRIAOTNNDGlyY,https://www.google.com/maps/place/?q=place_id:ChIJuwCzGAER7TkRIAOTNNDGlyY,part_394,2026-09-20 20:27:20
The Fluenzy- English Spoken Classes|Competitive English|12th English Classes In Muzaffarpur,Spoken English Institute,Coaching Center,"Coaching Center, Educational institution, English language school",844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 79034 36139,N/A,4.9,,"The Fluenzy, in front of MDDM College, beside Vaishali Sweets, Pokhraira, Muzaffarpur, Bihar 842001",Pokhraira,26.113305999999998,85.38264,ChIJv0wsu-MQ7TkRP0x9pJRFwX4,https://www.google.com/maps/place/?q=place_id:ChIJv0wsu-MQ7TkRP0x9pJRFwX4,part_394,2026-09-20 20:27:20
SHALINI ENGLISH CLASSES,Spoken English Institute,Coaching Center,Coaching Center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 95258 41435,N/A,5.0,,"Kacchi Pakki Road Mai sthan, Atardah Road, Muzaffarpur, Bihar 842002","Attardah, Bhikanpur Dih, Patepur",26.0978745,85.39031519999999,ChIJeyrFsIgQ7TkRi17fGgUh7T4,https://www.google.com/maps/place/?q=place_id:ChIJeyrFsIgQ7TkRi17fGgUh7T4,part_394,2026-09-20 20:27:20
EFFORT ENGLISH CLASSES,Spoken English Institute,Coaching Center,Coaching Center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 94708 17475,N/A,4.8,,"Bhram Sthan Road, Akharaghat, Sabji Mandi, Balughat Rd, Muzaffarpur, Bihar 842001",Musahri,26.131988999999997,85.397179,ChIJRz1W8PQQ7TkRMlC2CXYQgxM,https://www.google.com/maps/place/?q=place_id:ChIJRz1W8PQQ7TkRMlC2CXYQgxM,part_394,2026-09-20 20:27:20
The learning classes,Spoken English Institute,Education center,Education center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 88738 62270,https://letsgolocalbazaar.com/thelearningclasses/,4.9,,"Street B, Mahammadpur Kazi, Jagdishpuri, Muzaffarpur, Bihar 842002","Mahammadpur Kazi, Jagdishpuri",26.1106013,85.3982822,ChIJzZdvJW4R7TkR6UI7rqhVd_I,https://www.google.com/maps/place/?q=place_id:ChIJzZdvJW4R7TkR6UI7rqhVd_I,part_394,2026-09-20 20:27:20
Sky Spoken English Classes,Spoken English Institute,Coaching Center,Coaching Center,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 99399 23978,N/A,5.0,,"Road No. 2, Mehta Compound, Jail Chowk, Chandwara, Muzaffarpur, Bihar 842001",Chandwara,26.1252478,85.4052207,ChIJ5dHmAxkR7TkRDVpvaGWVJwA,https://www.google.com/maps/place/?q=place_id:ChIJ5dHmAxkR7TkRDVpvaGWVJwA,part_394,2026-09-20 20:27:20
THE BSEL,Spoken English Institute,English language school,English language school,844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 86780 44493,N/A,4.5,,"Kishore Nagar opposite of federal bank bhagwanpur Chatti Rewa Road Muzaffarppr, Yadav Nagar Rd, Muzaffarpur, Bihar 843113","Alkapuri Colony, Bishundatpur",26.122152699999997,85.3539946,ChIJ77qLrTIX7TkRCwohSV4oBR0,https://www.google.com/maps/place/?q=place_id:ChIJ77qLrTIX7TkRCwohSV4oBR0,part_394,2026-09-20 20:27:20
Breeze English Institute,Spoken English Institute,English language school,"English language school, Education center, Educational institution, English language camp, Learning center, Studying center",844127,Bihar circle,Muzaffarpur Region,Muzaffarpur Division,"Dubiahi BO, Turki SO, Basauli BO",+91 97098 09701,https://youtube.com/c/BreezeEnglish,4.1,10.0,"Rd Number 3, Rahul Nagar, Brahmapura, Muzaffarpur, Bihar 842003","Rahul Nagar, Brahmapura",26.138771,85.364914,ChIJlygarLAQ7TkRsBlz4eC-u4k,https://www.google.com/maps/place/?q=place_id:ChIJlygarLAQ7TkRsBlz4eC-u4k,part_394,2026-09-20 20:27:21
