business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sahabuddin Ice Cream,Ice Cream Parlour,Dessert shop,Dessert shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 82076 75961,N/A,3.7,3.0,"Vaishali Saput, Tajpur, Harpur Basant, Bihar 844128",844128,25.9958162,85.1250261,ChIJ75lKD3g57TkR4CXbvruu_pw,https://www.google.com/maps/place/?q=place_id:ChIJ75lKD3g57TkR4CXbvruu_pw,part_394,2026-09-20 20:27:42
New Sudha Milk Parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 90197 59621,N/A,5.0,2.0,"Vaishali Gate, Basarh, Bihar 844128",844128,25.991875699999998,85.1285205,ChIJeQXlHSA57TkRHt30yrVf9Uw,https://www.google.com/maps/place/?q=place_id:ChIJeQXlHSA57TkRHt30yrVf9Uw,part_394,2026-09-20 20:27:42
Milk Palour,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 75640 13727,N/A,4.3,3.0,"Ground Floor, 10, Vaishali Road, Kolhua, Bihar 843101",844128,26.014172499999997,85.10909079999999,ChIJKaKQsys57TkRMS-CDlVkrnQ,https://www.google.com/maps/place/?q=place_id:ChIJKaKQsys57TkRMS-CDlVkrnQ,part_394,2026-09-20 20:27:42
RD Sales,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",N/A,N/A,,,"X4PJ+59C, SH 74, Basarh, Bihar 844128",844128,25.9854281,85.1309005,ChIJm7yJBAA57TkRZh39nBXxRPg,https://www.google.com/maps/place/?q=place_id:ChIJm7yJBAA57TkRZh39nBXxRPg,part_394,2026-09-20 20:27:42
Sudh Vivek Icecreem,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 62093 25692,N/A,,,"Sudh Vivek Ice Cream Shop, Lalganj-Jatkauli Ghat Rd, Jatkauli, Bihar 844111",844128,25.9951707,85.1831737,ChIJXRAhqVg57TkR7PcirOSaogs,https://www.google.com/maps/place/?q=place_id:ChIJXRAhqVg57TkR7PcirOSaogs,part_394,2026-09-20 20:27:42
Shyama Udhyog,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dairy Products Supplier, Supplier, Dairy store, Milk delivery service",844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 84095 66269,N/A,5.0,5.0,"Moti chowk, Chittari Road, near Kamu Child School, Saraiya, Mahmadpur Baya, Bihar 843112",844128,26.0348874,85.1511536,ChIJ2eNPVSI57TkR3wqKyJ5ARAY,https://www.google.com/maps/place/?q=place_id:ChIJ2eNPVSI57TkR3wqKyJ5ARAY,part_394,2026-09-20 20:27:43
Raj star dairy dahi gee panier and ice house,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 89698 95053,N/A,5.0,1.0,"MJRQ+M4W, Bajitpur Karnail, Bihar 848505",844128,25.691725299999998,85.6378198,ChIJv6ENFACB7TkRP7iN_a3i1oc,https://www.google.com/maps/place/?q=place_id:ChIJv6ENFACB7TkRP7iN_a3i1oc,part_394,2026-09-20 20:27:43
Ice Bite Ice-Cream Factory,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 76677 67655,N/A,5.0,2.0,"Sadisopur, Bihar 801111",844128,25.5714485,84.9226511,ChIJVW5CeABVjTkRPJsIv16drRs,https://www.google.com/maps/place/?q=place_id:ChIJVW5CeABVjTkRPJsIv16drRs,part_394,2026-09-20 20:27:43
ICE CREAM Parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",+91 62036 15729,N/A,5.0,2.0,"Ramnagar, Bihta, Bihar 801103",Ramnagar,25.567273,84.87074,ChIJ6avLndVVjTkRRW-JTxGE7n0,https://www.google.com/maps/place/?q=place_id:ChIJ6avLndVVjTkRRW-JTxGE7n0,part_394,2026-09-20 20:27:43
Vaishali Treat ice cream parlour,Ice Cream Parlour,Ice cream shop,Ice cream shop,844128,Bihar Circle,Patna HQ Region,Vaishali Division,"Vaishali SO, Chakramdas BO, Rahimpur Jagdish BO",N/A,N/A,5.0,2.0,"Satyam Market, Motipur - Sahebganj Rd, Parsouninath, Bihar 843127",844128,26.2911875,85.06043749999999,ChIJO0rZXPIp7TkRDmhaA9Y1Dus,https://www.google.com/maps/place/?q=place_id:ChIJO0rZXPIp7TkRDmhaA9Y1Dus,part_394,2026-09-20 20:27:43
