business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nitya motors car service,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 98752 59169,N/A,4.8,6.0,"WARD NO - 33, RATANMALA DHOBIGHAT, NH727, Tiwari Tola, Bagaha, Bihar 845101",Tiwari Tola,27.093816699999998,84.1066033,ChIJs4JSCQB5lDkRvH8lzvoqyy8,https://www.google.com/maps/place/?q=place_id:ChIJs4JSCQB5lDkRvH8lzvoqyy8,part_394,2026-09-20 20:35:06
Sai Auto Detailing,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 79033 81410,https://www.saiautodetailing.in/,4.8,25.0,"Sai Auto Detailing, in front of Basant Tola Road, Pokhara, Bettiah, Basant Tola, Bihar 845450",Pokhara,26.821013599999997,84.4930681,ChIJ_blwmB1vkzkRpToB7-w6R7s,https://www.google.com/maps/place/?q=place_id:ChIJ_blwmB1vkzkRpToB7-w6R7s,part_394,2026-09-20 20:35:06
PREMIUM CAR WASH,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,4.4,11.0,"km right from bawlichowk, 1.0, near Nayra petrol Tanki, Padrauna, Khadda Khurd, Uttar Pradesh 274304",845101,26.918011,83.9559493,ChIJb_TdkQGNkzkR2hVPqnP6L1o,https://www.google.com/maps/place/?q=place_id:ChIJb_TdkQGNkzkR2hVPqnP6L1o,part_394,2026-09-20 20:35:06
MAHADEV AUTOMOBILES,Car Wash and Auto Detailing,Car wash,"Car wash, Auto air conditioning service, Auto Dent Removal Service Station, Auto electrical service, Auto parts store, Car security system installer, Car repair and maintenance service, RV detailing service",845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 98073 83888,N/A,4.8,46.0,"Chhwani, Padrauna Kasya Road TVS Agency Ke Samne, Padrauna, Uttar Pradesh 274309",845101,26.8782018,83.9689937,ChIJp79V0T2NkzkRTaT8IykA_jE,https://www.google.com/maps/place/?q=place_id:ChIJp79V0T2NkzkRTaT8IykA_jE,part_394,2026-09-20 20:35:06
Mr. Car Wash & Detailing,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 99992 39593,N/A,4.4,130.0,"Gorakhnath Rd, Ramjanki Nagar, Gorakhpur, Uttar Pradesh 273004",Ramjanki Nagar,26.7917074,83.3691304,ChIJmy-V6yNFkTkRYGsY8m4niO8,https://www.google.com/maps/place/?q=place_id:ChIJmy-V6yNFkTkRYGsY8m4niO8,part_394,2026-09-20 20:35:06
Detailing Full,Car Wash and Auto Detailing,RV detailing service,"RV detailing service, Vehicle wrapping service",845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 63935 65391,https://detailingfull.in/,4.6,81.0,"R992+424, Gorakhpur - Sonauli Rd, Shyamnagar, Moharipur, Gorakhpur, Uttar Pradesh 273007","Shyamnagar, Moharipur",26.8178125,83.35006249999999,ChIJX7FgGNNFkTkRcUL9zQ7KNxo,https://www.google.com/maps/place/?q=place_id:ChIJX7FgGNNFkTkRcUL9zQ7KNxo,part_394,2026-09-20 20:35:06
AG CAR DETAILING,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 82102 39422,http://www.agdetailing.in/,5.0,6.0,"Bhandar Chowk Kathalbari Road, near yamaha showroom, Kathalbari, Darbhanga, Bihar 846004",Kathalbari,26.1651146,85.9028584,ChIJDckEFme57TkR7ZRMMub1uy0,https://www.google.com/maps/place/?q=place_id:ChIJDckEFme57TkR7ZRMMub1uy0,part_394,2026-09-20 20:35:06
Pramod Mistri,Car Wash and Auto Detailing,Auto repair shop,Auto repair shop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 70614 60354,N/A,4.0,1.0,"Bagaha, Chautarwa, Bihar 845101",845101,27.051073,84.2260945,ChIJnT7c_hmBkzkRbQOpuuYvBFY,https://www.google.com/maps/place/?q=place_id:ChIJnT7c_hmBkzkRbQOpuuYvBFY,part_394,2026-09-20 20:35:06
Exppress Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 79035 78154,https://www.exppresscarwash.com/,5.0,59.0,"500m from, Bhainsaha Road, BMP Road, Dehri, Bihar 821305","Irrigation Colony, Tarbangala",24.895193499999998,84.16045249999999,ChIJMeKLBwyvjTkRBVaN4OfDU8U,https://www.google.com/maps/place/?q=place_id:ChIJMeKLBwyvjTkRBVaN4OfDU8U,part_394,2026-09-20 20:35:06
Sriniwas yadav,Car Wash and Auto Detailing,Car wash,Car wash,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,,,"Semara hardo, oajhwaliya, Padrauna, Uttar Pradesh 274303",oajhwaliya,26.8718258,84.05120509999999,ChIJoRZDzAWPkzkRcyPZaIsxjrU,https://www.google.com/maps/place/?q=place_id:ChIJoRZDzAWPkzkRcyPZaIsxjrU,part_394,2026-09-20 20:35:06
