business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sudha Dairy Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 88638 18001,N/A,5.0,1.0,"Tiwari Tola, Bagaha-1, Bagaha, Bihar 845101",Tiwari Tola,27.093424199999998,84.0971,ChIJVVCsT8x3lDkR2ViPg__RKPA,https://www.google.com/maps/place/?q=place_id:ChIJVVCsT8x3lDkR2ViPg__RKPA,part_394,2026-09-20 20:34:53
Sudha Milk Parlour,Dairy and Milk Parlour,Tea store,Tea store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 96312 21291,N/A,5.0,2.0,"Road, Shastri Nagar, Bagaha, Bettiah, Bihar 845101",Shastri Nagar,27.1139953,84.0715977,ChIJR4b-E6N3lDkR5st-vkuYotU,https://www.google.com/maps/place/?q=place_id:ChIJR4b-E6N3lDkR5st-vkuYotU,part_394,2026-09-20 20:34:53
Sudha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 77829 66201,N/A,,,"Railway Station Road, in front of Vaishno Mega Mart, Bagha, Bagaha, Bihar 845105",Bagha,27.1294211,84.0673817,ChIJgVBRbbR3lDkRZhAh0XlL4Gg,https://www.google.com/maps/place/?q=place_id:ChIJgVBRbbR3lDkRZhAh0XlL4Gg,part_394,2026-09-20 20:34:53
COFFEE SHOP Sudha milk parlour tea & coffee,Dairy and Milk Parlour,Coffee shop,Coffee shop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 87094 19748,N/A,4.9,14.0,"Hind Cinema Rd, campas, ramnagar, Ramnagar, Bihar 845106","campas, ramnagar",27.1680411,84.3302231,ChIJowFeRJaHlDkR9DVdTh2d0WA,https://www.google.com/maps/place/?q=place_id:ChIJowFeRJaHlDkR9DVdTh2d0WA,part_394,2026-09-20 20:34:53
Krishna Milk Parlour (Gyan Dairy),Dairy and Milk Parlour,Dairy store,Dairy store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,4.5,11.0,"shubash chowk, Ramkola Rd, Tulsi Nagar, Khushi Nagar, Padrauna, Uttar Pradesh 274304","Tulsi Nagar, Khushi Nagar",26.898212299999997,83.978027,ChIJoSweYqmNkzkR1Bae8V_Mg10,https://www.google.com/maps/place/?q=place_id:ChIJoSweYqmNkzkR1Bae8V_Mg10,part_394,2026-09-20 20:34:53
Scoop N Smile - Amul Ice Cream Parlour,Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop, Pizza restaurant",845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 80042 21222,N/A,4.2,294.0,"274304, Bawali Chowk, Tulsi Nagar, Khushi Nagar, Padrauna, Uttar Pradesh 274304","Bawali Chowk, Tulsi Nagar, Khushi Nagar",26.908389,83.9638959,ChIJExVAs_yMkzkRgf4Z9QYsQPg,https://www.google.com/maps/place/?q=place_id:ChIJExVAs_yMkzkRgf4Z9QYsQPg,part_394,2026-09-20 20:34:53
Sudha Milk Parlour,Dairy and Milk Parlour,Dairy store,Dairy store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,4.0,374.0,"Maharaja Hata, Nawada, Arrah, Bihar 802301","Maharaja Hata, Nawada",25.5504186,84.6633674,ChIJu8dAUQBfjTkRzrytXKaAvqk,https://www.google.com/maps/place/?q=place_id:ChIJu8dAUQBfjTkRzrytXKaAvqk,part_394,2026-09-20 20:34:53
Purvi gorkhari sudha dairy,Dairy and Milk Parlour,Dairy,Dairy,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 62043 95164,N/A,5.0,4.0,"FV6H+Q54, gorkhari arak road, near guru gorakh nath mandir, Bihar, Gorkhari, Bihar 801104",845101,25.4618964,84.8779457,ChIJH_OqAwBTjTkR5UzJeZ1p1dQ,https://www.google.com/maps/place/?q=place_id:ChIJH_OqAwBTjTkR5UzJeZ1p1dQ,part_394,2026-09-20 20:34:53
Emam dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 74810 23273,N/A,5.0,1.0,"urdu school, Janarwa, Bihar 845435",845101,26.7374665,84.85303569999999,ChIJDatDtwBJkzkR11xvgPGy6_o,https://www.google.com/maps/place/?q=place_id:ChIJDatDtwBJkzkR11xvgPGy6_o,part_394,2026-09-20 20:34:53
Sudha Milk Parlour & Coffee Shop,Dairy and Milk Parlour,Dairy store,Dairy store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,4.0,89.0,"MW28+P95, Gayatri Nagar, Motihari, Bihar 845401",Gayatri Nagar,26.651769299999998,84.9159707,ChIJ1TTV3OY0kzkR9emo95-VmLA,https://www.google.com/maps/place/?q=place_id:ChIJ1TTV3OY0kzkR9emo95-VmLA,part_394,2026-09-20 20:34:53
