business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sandar Welding Workshop,Welding and Lathe Works,Metal workshop,Metal workshop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,5.0,4.0,"VQ63+QQH Khairah, chapra road, Chapra, Khaira, Bihar 841414",845101,25.8619427,84.7544731,ChIJu78N8PK5kjkRS7f9LR6v7qI,https://www.google.com/maps/place/?q=place_id:ChIJu78N8PK5kjkRS7f9LR6v7qI,part_394,2026-09-20 20:35:28
Vishwakarma Gas Welding Workshop,Welding and Lathe Works,Machine workshop,Machine workshop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 99191 06415,N/A,3.0,2.0,"Gandak Nahar Road, Munna Colony, Tulsi Nagar, Khushi Nagar, Padrauna, Uttar Pradesh 274304","Munna Colony, Tulsi Nagar, Khushi Nagar",26.8950252,83.9773668,ChIJMQYh3tSNkzkRkb-nHAc3Hms,https://www.google.com/maps/place/?q=place_id:ChIJMQYh3tSNkzkRkb-nHAc3Hms,part_394,2026-09-20 20:35:28
Welding And Genaral Workshap,Welding and Lathe Works,Machine workshop,Machine workshop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,4.0,1.0,"FXJQ+XWC, Telangana 505445",845101,18.4824458,78.9897761,ChIJyaVzX3LhzDsRdjcGouri_mE,https://www.google.com/maps/place/?q=place_id:ChIJyaVzX3LhzDsRdjcGouri_mE,part_394,2026-09-20 20:35:28
Welding workshop,Welding and Lathe Works,Welder,Welder,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,,,"4HQV+25F, Purainiya, Bihar 845306",845101,27.1375626,84.5929147,ChIJGfZk-sCflDkRxLM_Jv42cxM,https://www.google.com/maps/place/?q=place_id:ChIJGfZk-sCflDkRxLM_Jv42cxM,part_394,2026-09-20 20:35:28
Welding and fabrication workshop,Welding and Lathe Works,Welding supply store,Welding supply store,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,,,"H4GJ+X39, जपला - नबीनगर रोड, Shiwa Sagar, Basdiha, Bihar 824301",845101,24.5770044,84.1301423,ChIJa-3h_qJbjDkR6hoT8swhlBM,https://www.google.com/maps/place/?q=place_id:ChIJa-3h_qJbjDkR6hoT8swhlBM,part_394,2026-09-20 20:35:28
MAHESH WELDING WORKSHOP,Welding and Lathe Works,Welder,Welder,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,5.0,1.0,"JJR6+QC3, Indarwabhar, Bihar 845422",845101,26.6418929,84.6110595,ChIJv4uHXQA_kzkRqqraOYMXKXI,https://www.google.com/maps/place/?q=place_id:ChIJv4uHXQA_kzkRqqraOYMXKXI,part_394,2026-09-20 20:35:29
Welding House,Welding and Lathe Works,Machine workshop,Machine workshop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,,,"5C3Q+4HQ, Materiya-Narkatiaganj Rd, Sitapur, Kharkatwa, Bihar 845455",845101,27.1527308,84.4390967,ChIJaUOo_IadlDkRL6_OGwCVZS8,https://www.google.com/maps/place/?q=place_id:ChIJaUOo_IadlDkRL6_OGwCVZS8,part_394,2026-09-20 20:35:29
Welding machine shop,Welding and Lathe Works,Machine shop,Machine shop,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",N/A,N/A,,,"45WV+JPG, Balua, Mathia, Bihar 841235",845101,26.146563699999998,84.19432069999999,ChIJ8zIKBUhXkjkR9bqRZ32xibU,https://www.google.com/maps/place/?q=place_id:ChIJ8zIKBUhXkjkR9bqRZ32xibU,part_394,2026-09-20 20:35:30
Maa WELDING WORKSHOP,Welding and Lathe Works,Electrician,Electrician,845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 70705 45015,N/A,,,"MAA WELDING WORK SHOP, LEJA ROAD, Karanpura, Bihar 841235",845101,26.1330347,84.14870669999999,ChIJnZDdjAdRkjkRqmBsJwBtWuo,https://www.google.com/maps/place/?q=place_id:ChIJnZDdjAdRkjkRqmBsJwBtWuo,part_394,2026-09-20 20:35:30
Pathak Industries Pvt Ltd,Welding and Lathe Works,Manufacturer,"Manufacturer, Hydraulic equipment supplier, Machine shop, Machinery parts manufacturer, Machining manufacturer, Metal machinery supplier, Tool & die shop, Tool manufacturer",845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 98310 29247,http://www.pathak.in/,4.8,,"GATE NO-3, PATHAK INDUSTRIES PVT.LTD, N.H 6 (BOMBAY ROAD) P.O ARGARI, near JALAN COMPLEX, Howrah, West Bengal 711411",Biparnna Para,22.5917058,88.219984,ChIJx7uWzRJ_AjoRDnyJJukHBk0,https://www.google.com/maps/place/?q=place_id:ChIJx7uWzRJ_AjoRDnyJJukHBk0,part_394,2026-09-20 20:35:31
Pathak Machine Industries Tools and Accessories,Welding and Lathe Works,Machining manufacturer,"Machining manufacturer, Equipment Exporter, Machine shop, Machinery parts manufacturer, Manufacturer, Tool exporter, Tool manufacturer, Tool store, Tools Wholesaler, Woodworking supply store",845101,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bagaha SO, BB Bankatwa BO, Bargaon BO",+91 98310 29247,http://www.pathak.in/,4.5,,"116, GT Rd, Babudanga, Bandhaghat, Salkia, Howrah, West Bengal 711106","Babudanga, Bandhaghat, Salkia",22.6004246,88.3417226,ChIJe6yzIVN2AjoRQ9JgYEQyUzE,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRQ9JgYEQyUzE,part_394,2026-09-20 20:35:31
