business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HABIBA TRAINING & TEST CENTRE NARKATIAGANJ. WEST CHAMPARAN BIHAR,Driving School,Training center,Training center,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 91174 80252,N/A,4.8,53.0,"PIPRA, Diwlia Main Road, Deolia, Bettiah, Narkatiaganj, Bihar 845455",Deolia,27.098018999999997,84.472128,ChIJLeHZ8-qdlDkRM_3fCHJhEIc,https://www.google.com/maps/place/?q=place_id:ChIJLeHZ8-qdlDkRM_3fCHJhEIc,part_394,2026-09-20 20:35:52
Satendar Kumar Pandit,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 62030 74349,N/A,,,"Satendar Kumar Pandit Thela Gadi Shop, Barwa Kalan, Jamunia, Bihar 845453",845103,27.0215049,84.45339829999999,ChIJJ1dqU2FjkzkRZFn5D_oNrjM,https://www.google.com/maps/place/?q=place_id:ChIJJ1dqU2FjkzkRZFn5D_oNrjM,part_394,2026-09-20 20:35:52
LADDU AUTO,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 87095 61951,N/A,,,"Shop No 456, Baghi, near Telpur, Road, Sabeya, Bihar 845103",Road,27.0634907,84.3597733,ChIJ74KCgf2DlDkR63VB40mtaLU,https://www.google.com/maps/place/?q=place_id:ChIJ74KCgf2DlDkR63VB40mtaLU,part_394,2026-09-20 20:35:52
Chandkiahor kumar,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,,,"2FH8+X8X, Narkatiaganj Paroraha Road, Paroraha, Bihar 845103",845103,27.0337435,84.4700641,ChIJ-0ge7MpjkzkRi1Rcv1gPOcE,https://www.google.com/maps/place/?q=place_id:ChIJ-0ge7MpjkzkRi1Rcv1gPOcE,part_394,2026-09-20 20:35:52
JiBhaiAditya,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,,,"Rajpur Tumkadia, Bihar 845103",845103,27.057612799999998,84.5038658,ChIJ-9hAzzxjkzkR_nWoep1Pm7w,https://www.google.com/maps/place/?q=place_id:ChIJ-9hAzzxjkzkR_nWoep1Pm7w,part_394,2026-09-20 20:35:52
Masoom khan,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,,,"384J+3PQ, Telpur, Bihar 845103",845103,27.0552015,84.3318544,ChIJ2Q5J0V1_kzkRg6baPVmasD0,https://www.google.com/maps/place/?q=place_id:ChIJ2Q5J0V1_kzkRg6baPVmasD0,part_394,2026-09-20 20:35:52
Super Car Driving School,Driving School,Driving school,"Driving school, Training center",845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 84096 86165,http://www.supercardrivingschool.online/,4.9,407.0,"Balua Taal Rd, near City kart Mall, Netajee Subhash Colony, Motihari, Bihar 845401",Netajee Subhash Colony,26.647173499999997,84.9032953,ChIJnX-Lbx41kzkRaKPTzXMbC0g,https://www.google.com/maps/place/?q=place_id:ChIJnX-Lbx41kzkRaKPTzXMbC0g,part_394,2026-09-20 20:35:53
Ayush Motor Driving School,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 73981 63774,N/A,4.8,100.0,"Service Rd, Fazilnagar, Pipra Rajab, Uttar Pradesh 274401",845103,26.6893779,84.04165359999999,ChIJA1L0vHGXkzkRQ2NAmuL1CXo,https://www.google.com/maps/place/?q=place_id:ChIJA1L0vHGXkzkRQ2NAmuL1CXo,part_394,2026-09-20 20:35:53
CCSM - Chanakya Computer Classes Narkatiaganj,Driving School,Computer training school,"Computer training school, Service establishment",845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 99347 64234,https://www.ccsm.in/,5.0,10.0,"CCSM - Chanakya Computer Classes Narkatiaganj, 845103, India",845103,27.109041299999998,84.4655835,ChIJeT1omR4cPyERZtd8KEZJ1cY,https://www.google.com/maps/place/?q=place_id:ChIJeT1omR4cPyERZtd8KEZJ1cY,part_394,2026-09-20 20:35:53
All star driving school,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 70047 51223,http://www.allstardriving.com/,5.0,13.0,"Harlakhi, Bihar 847240",845103,26.6398038,85.9840268,ChIJ1eWe5hg57DkR3J9kA0R-IMI,https://www.google.com/maps/place/?q=place_id:ChIJ1eWe5hg57DkR3J9kA0R-IMI,part_394,2026-09-20 20:35:53
Nios Computer Centre,Driving School,Computer training school,Computer training school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 77810 06677,http://www.maninios.com/,5.0,22.0,"Chanda Complex, Hospital Road, Matiaria - Sathi Rd, Sathi, Bihar 845449",845103,27.015712699999998,84.5012332,ChIJY42TmLVjkzkRub-iJOf0USM,https://www.google.com/maps/place/?q=place_id:ChIJY42TmLVjkzkRub-iJOf0USM,part_394,2026-09-20 20:35:53
"Maa Motor Driving Training School, Anaith, Arrah, Bihar",Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 97989 80318,N/A,3.5,31.0,"Anaith, Arrah, Bihar 802302",Anaith,25.5442909,84.65708769999999,ChIJp8K08nJfjTkRmeMFI4DV2kQ,https://www.google.com/maps/place/?q=place_id:ChIJp8K08nJfjTkRmeMFI4DV2kQ,part_394,2026-09-20 20:35:54
Jai Maa Motor Driving Training Centre,Driving School,Driving school,Driving school,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 72502 91533,N/A,3.6,9.0,"Balua Kachhari Road, near Jai Bharat Hotel, Gopalpur, Motihari, Bihar 845401",Gopalpur,26.6417593,84.9031698,ChIJAy9dr_Y0kzkRfhdgKGby2Mg,https://www.google.com/maps/place/?q=place_id:ChIJAy9dr_Y0kzkRfhdgKGby2Mg,part_394,2026-09-20 20:35:54
