business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Niraj Chat House,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 94651 19486,N/A,,,"Shop No -15, Bargajwa, Bairia, Bihar 845455",845103,27.105864399999998,84.4955466,ChIJnWWCqk2dlDkR5smw7ju3IuE,https://www.google.com/maps/place/?q=place_id:ChIJnWWCqk2dlDkR5smw7ju3IuE,part_394,2026-09-20 20:35:40
CHANDAN CHAT STORE,Fast Food and Chaat Corner,Hotel,Hotel,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 78569 78564,N/A,5.0,,"00, LAURIYA, Bettiah, Lauriya, Bihar 845453",845103,26.996443799999998,84.4059668,ChIJY3veUKJ9kzkR8DZiTEY-T0E,https://www.google.com/maps/place/?q=place_id:ChIJY3veUKJ9kzkR8DZiTEY-T0E,part_394,2026-09-20 20:35:40
Bhartiye Sweets & Cake Corner Narkatiaganj,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,3.9,,"Shikarpur, Narkatiaganj, Bihar 845455",Shikarpur,27.1075594,84.46638659999999,ChIJBWNPUBCdlDkRf0EbyZIof5M,https://www.google.com/maps/place/?q=place_id:ChIJBWNPUBCdlDkRf0EbyZIof5M,part_394,2026-09-20 20:35:40
Bajarang Chat & Chaumin House at Ary samaj road & bhagavti cinema road narkatiyaganj,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Indian restaurant",845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,2.7,,"Shikarpur, Narkatiaganj, Bihar 845455",Shikarpur,27.109422,84.4647313,ChIJQ1G_17KdlDkR9R-GPyV7H6o,https://www.google.com/maps/place/?q=place_id:ChIJQ1G_17KdlDkR9R-GPyV7H6o,part_394,2026-09-20 20:35:40
BHOLU CHAT HOUSE,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",+91 88630 36460,N/A,,,"Narkatiyaganj, Narkatiaganj, Bihar 845455",Narkatiyaganj,27.112057099999998,84.46989219999999,ChIJj5B4GdmdlDkRwBnOU1kTTLY,https://www.google.com/maps/place/?q=place_id:ChIJj5B4GdmdlDkRwBnOU1kTTLY,part_394,2026-09-20 20:35:40
Sanni Chat House,Fast Food and Chaat Corner,Restaurant,Restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,5.0,,"Kukurha - Bairia Road, Gokhula, Champapur, Bihar 845451",845103,27.0795252,84.5535572,ChIJZygmCfSflDkRfZ91s2WgSKs,https://www.google.com/maps/place/?q=place_id:ChIJZygmCfSflDkRfZ91s2WgSKs,part_394,2026-09-20 20:35:40
Bewkoof Chat Wala,Fast Food and Chaat Corner,Hawker stall,Hawker stall,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,4.3,,"6P59+C4M, SH 74, Kachhawan, Uttar Pradesh 231501",845103,25.2085941,82.71781059999999,ChIJk_J-AOLFjzkRQDAdi0YOBWo,https://www.google.com/maps/place/?q=place_id:ChIJk_J-AOLFjzkRQDAdi0YOBWo,part_394,2026-09-20 20:35:40
Baba Chat Corner,Fast Food and Chaat Corner,Breakfast restaurant,Breakfast restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,4.8,,"WR76+GCQ, MDR 97E, Bangaon, Uttar Pradesh 223224",845103,25.9138298,82.81110389999999,ChIJoS0NvNNJkDkRDAeuJ7iN4_w,https://www.google.com/maps/place/?q=place_id:ChIJoS0NvNNJkDkRDAeuJ7iN4_w,part_394,2026-09-20 20:35:40
Chotu fast food centre,Fast Food and Chaat Corner,Restaurant,Restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,5.0,,"near Naibasti charaha, Naibasti, Golpur, Uttar Pradesh 224155",845103,26.4362294,82.7707604,ChIJhy3iXer7kDkRkuzZS06CJtI,https://www.google.com/maps/place/?q=place_id:ChIJhy3iXer7kDkRkuzZS06CJtI,part_394,2026-09-20 20:35:40
Laxmi chat bhandar,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,845103,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Harinagar SO, Bagahi BO, Bargo BO",N/A,N/A,4.1,,"J238+RQH, Chhunapur, Uttar Pradesh 222129",845103,25.6045715,83.016977,ChIJMUyUp8zRkTkR9FhfRST-9EI,https://www.google.com/maps/place/?q=place_id:ChIJMUyUp8zRkTkR9FhfRST-9EI,part_394,2026-09-20 20:35:40
