business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rishu Kesharwani hotal,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 90587 14910,N/A,5.0,1.0,"Bagaha - Dhanha Rd, Dhanaha, Rampur, Bihar 845104",845104,26.951405899999997,84.15709059999999,ChIJmaHHF-mFkzkRhyc0JDnIYrI,https://www.google.com/maps/place/?q=place_id:ChIJmaHHF-mFkzkRhyc0JDnIYrI,part_394,2026-09-20 20:36:44
SUNIL HOTEL,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 62005 11081,N/A,5.0,1.0,"DHAWELWA MDARSHA BAJAR 00, Bettiah, Bihar 845452",845104,26.873967399999998,84.3098545,ChIJCzHhyV95kzkRhELpfj54u7A,https://www.google.com/maps/place/?q=place_id:ChIJCzHhyV95kzkRhELpfj54u7A,part_394,2026-09-20 20:36:44
Dileep Hotel,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,2.6,13.0,"W4J4+W9V, Daunaha, Bihar 845104",845104,26.9323633,84.10591529999999,ChIJSZYMfMuFkzkRTntWfutTLmM,https://www.google.com/maps/place/?q=place_id:ChIJSZYMfMuFkzkRTntWfutTLmM,part_394,2026-09-20 20:36:44
Salman Khan Hotel,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 77598 71314,N/A,2.8,4.0,"W44Q+279, Khaira Tola, Bihar 845104",845104,26.9050469,84.1382368,ChIJq6qqqgaFkzkRUUUZLYcYNUg,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqgaFkzkRUUUZLYcYNUg,part_394,2026-09-20 20:36:44
Hotel Elite Suites,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,https://hotelelitesuites.com/,4.5,,"Near, Baluchaha Rd, Tulsi Nagar, Khushi Nagar, Padrauna, Uttar Pradesh 274304","Tulsi Nagar, Khushi Nagar",26.9009271,83.9662415,ChIJgVLU52uNkzkR8m4w6udN2hY,https://www.google.com/maps/place/?q=place_id:ChIJgVLU52uNkzkR8m4w6udN2hY,part_394,2026-09-20 20:36:45
Hotel SKY BLU,Hotel,Extended stay hotel,"Extended stay hotel, Banquet hall, Hotel",845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 93123 57069,https://hotelskyblu.com/,4.8,,"CWG3+698, near Petrol pump, Balmiki Nagar, Bihar 845107",845104,27.4255998,83.9030147,ChIJux1-fwA_lDkR-sBUjJ4FjtY,https://www.google.com/maps/place/?q=place_id:ChIJux1-fwA_lDkR-sBUjJ4FjtY,part_394,2026-09-20 20:36:45
Hotel MMG. ManMandir grand,Hotel,Hotel,"Hotel, Guest house, Lodge, Home Stay",845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 93355 73040,https://www.goibibo.com/hotels/manmandir-grand-hotel-in-kushinagar-6335661454208885074,4.4,,"Manmandir Tiraha Agency Road, Tamkuhi - Seorahi Rd, Sewarhi, Uttar Pradesh 274406",Siraj Nagar,26.7230559,84.22412589999999,ChIJ7eZFLHifkzkR6HUHb3Cajn8,https://www.google.com/maps/place/?q=place_id:ChIJ7eZFLHifkzkR6HUHb3Cajn8,part_394,2026-09-20 20:36:45
Rudransh Residency,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,4.4,,"None None, Uttar Pradesh 274406",845104,26.7159762,84.2161656,ChIJASOEhTyfkzkRkAeGdBYMbM4,https://www.google.com/maps/place/?q=place_id:ChIJASOEhTyfkzkRkAeGdBYMbM4,part_394,2026-09-20 20:36:45
S P Grand Palace Hotel Resort & Lawn,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,5.0,,"Gurwalia Bazaar, Main Road, Tamkuhi Marg, Kasia, Uttar Pradesh 274302",845104,26.751331999999998,84.1030048,ChIJR1uAHwyXkzkRjWTggvybTXc,https://www.google.com/maps/place/?q=place_id:ChIJR1uAHwyXkzkRjWTggvybTXc,part_394,2026-09-20 20:36:45
Hotel Royal International,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,4.0,,"SH 79, Kasia - Padrauna Rd, Sohrauna, Padrauna, Uttar Pradesh 274309",Sohrauna,26.887196799999998,83.9741537,ChIJA1QMINiNkzkRlQRdoJKz7_A,https://www.google.com/maps/place/?q=place_id:ChIJA1QMINiNkzkRlQRdoJKz7_A,part_394,2026-09-20 20:36:45
शिवम् स्वीट एवं कोल्डड्रिंक हाउस,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,5.0,,"R4XQ+F8H, Narhwa Achraj Dubey, Narhawa Dih, Uttar Pradesh 274303",845104,26.8486875,84.1383594,ChIJ18V-MwCbkzkR_V4YAfYrxok,https://www.google.com/maps/place/?q=place_id:ChIJ18V-MwCbkzkR_V4YAfYrxok,part_394,2026-09-20 20:36:45
Hotel O by OYO Rai Residency,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 124 620 1182,https://www.oyorooms.com/262171/,4.4,,"KUDIYA KOTHI CHOWK, TO, Bettiah - Chanpatia Rd, Chawani, Bettiah, Bihar 845438",Chawani,26.8208476,84.5025975,ChIJQwVIdHFvkzkRDaqdpr6mdcs,https://www.google.com/maps/place/?q=place_id:ChIJQwVIdHFvkzkRDaqdpr6mdcs,part_394,2026-09-20 20:36:45
Sarita Hotel,Hotel,Hotel,Hotel,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"X42X+5V9, Dhanaha, Bihar 845104",845104,26.9504126,84.1497485,ChIJ1yUfBgCFkzkRN9rUzKaOVh8,https://www.google.com/maps/place/?q=place_id:ChIJ1yUfBgCFkzkRN9rUzKaOVh8,part_394,2026-09-20 20:36:46
