business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fruit Juice Shake's & Ice Cream,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"Kala Sanghian, Punjab 144623",845104,31.260978299999998,75.4426991,ChIJp4hmIhtEGjkRkPJ4-IMRoNw,https://www.google.com/maps/place/?q=place_id:ChIJp4hmIhtEGjkRkPJ4-IMRoNw,part_394,2026-09-20 20:36:22
manojjuicebar,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 82878 78460,N/A,,,"Mudiyari, Maniyar, Uttar Pradesh 277213",845104,25.9477856,84.1998641,ChIJIcMYE99fkjkRHmAY8a80ct8,https://www.google.com/maps/place/?q=place_id:ChIJIcMYE99fkjkRHmAY8a80ct8,part_394,2026-09-20 20:36:23
Suraj Juice and Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 88690 07278,N/A,3.9,,"Chowk, Ramnagar, Roorkee, Shafipur, Uttarakhand 247667",Ramnagar,29.8734351,77.8764437,ChIJuWKgToezDjkRK3BiSkno0E8,https://www.google.com/maps/place/?q=place_id:ChIJuWKgToezDjkRK3BiSkno0E8,part_394,2026-09-20 20:36:23
Arvind Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,4.3,,"XG2W+HWM, Chander Nagar, Saharanpur, Uttar Pradesh 247001",Chander Nagar,29.9514736,77.547311,ChIJbRhCbJnrDjkR9_qLl7SeP2E,https://www.google.com/maps/place/?q=place_id:ChIJbRhCbJnrDjkR9_qLl7SeP2E,part_394,2026-09-20 20:36:23
Achanak Juice Center,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 96495 98888,N/A,4.0,,"Shop No 1, opp. GT Road, D-Block, Crystal Court, Malviya Nagar, Jaipur, Rajasthan 302017","D-Block, Crystal Court, Malviya Nagar",26.855433599999998,75.80655999999999,ChIJfXc7X9-1bTkR4P4DKOxOTEE,https://www.google.com/maps/place/?q=place_id:ChIJfXc7X9-1bTkR4P4DKOxOTEE,part_394,2026-09-20 20:36:23
Delhi Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 88104 03188,N/A,4.1,,"B-55 Ramtey ram road, Grand Trunk Rd, near ramleela ground, Ghaziabad, Uttar Pradesh 201001","Ekta Vihar, Gupta Colony, Arjun Nagar, Naya Ganj",28.658114899999998,77.4310926,ChIJiZMziM7xDDkRULVl1f6wSoc,https://www.google.com/maps/place/?q=place_id:ChIJiZMziM7xDDkRULVl1f6wSoc,part_394,2026-09-20 20:36:23
Panipat Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 86840 96461,N/A,4.6,,"Shop No 67, Gohana - Panipat Rd, near Sugar Mill, Sanjay Colony, Raj Nagar, Panipat, Haryana 132103","Sanjay Colony, Raj Nagar",29.3736869,76.960576,ChIJq0Jc37XbDTkRzgB_xsW7YbE,https://www.google.com/maps/place/?q=place_id:ChIJq0Jc37XbDTkRzgB_xsW7YbE,part_394,2026-09-20 20:36:23
Yummy real mango shake,Juice Center and Milkshake Bar,Restaurant,Restaurant,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 90156 10786,N/A,5.0,,"Man Market, A- 435, Ashok Nagar, New Ashok Nagar, Delhi, 110096","Ashok Nagar, New Ashok Nagar",28.589997399999998,77.30805149999999,ChIJrV1YaMrlDDkRakGjfOk3M44,https://www.google.com/maps/place/?q=place_id:ChIJrV1YaMrlDDkRakGjfOk3M44,part_394,2026-09-20 20:36:23
Shake Sahab,Juice Center and Milkshake Bar,Food court,Food court,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 99993 37866,N/A,4.2,,"A-2/52, Lal Quarters Rd, Block A, Krishna Nagar, Delhi, 110051","Block A, Krishna Nagar",28.6603441,77.2790259,ChIJBQWNjDX9DDkR3uZn3Q6Fhao,https://www.google.com/maps/place/?q=place_id:ChIJBQWNjDX9DDkR3uZn3Q6Fhao,part_394,2026-09-20 20:36:23
Fresh Juice & Shakes,Juice Center and Milkshake Bar,Juice shop,Juice shop,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"Bihari Pura, Sarai Nagar, Ghaziabad, Uttar Pradesh 201009","Bihari Pura, Sarai Nagar",28.6632304,77.4232895,ChIJlX68JjXwDDkReZ_MqbU7lWw,https://www.google.com/maps/place/?q=place_id:ChIJlX68JjXwDDkReZ_MqbU7lWw,part_394,2026-09-20 20:36:23
