business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hathuahawa,Shops,Pharmacy,Pharmacy,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,4.0,,"V5W4+RM4, Hathuahwa, Khaira Tola, Bihar 845104",Hathuahwa,26.8970092,84.1567036,ChIJZ2BjLgCFkzkR59qnMURCvlI,https://www.google.com/maps/place/?q=place_id:ChIJZ2BjLgCFkzkR59qnMURCvlI,part_394,2026-09-20 20:37:00
Dipanjan Mondal,Shops,Store,Store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"V5P4+7MG, Jamuniya, Khaira Tola, Bihar 845104",Jamuniya,26.8853919,84.1593561,ChIJO3atVACFkzkRvJgRbV-MQsY,https://www.google.com/maps/place/?q=place_id:ChIJO3atVACFkzkRvJgRbV-MQsY,part_394,2026-09-20 20:37:00
sri chanhal krishi kena,Shops,Pharmacy,Pharmacy,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,5.0,,"W553+GFM, Rupahi, Bihar 845104",845104,26.908873099999997,84.15371549999999,ChIJt6U-ZwCFkzkRPmzB96-ROcI,https://www.google.com/maps/place/?q=place_id:ChIJt6U-ZwCFkzkRPmzB96-ROcI,part_394,2026-09-20 20:37:00
Pradeep Kirana Stors,Shops,Home goods store,Home goods store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,3.3,,"W559+G7C, Tamkuha - Rupahi - Reraha Rd, Chilwania Persawna, Bihar 845104",845104,26.9088063,84.1681459,ChIJqX9AsYuEkzkRNPbLR2_dpt0,https://www.google.com/maps/place/?q=place_id:ChIJqX9AsYuEkzkRNPbLR2_dpt0,part_394,2026-09-20 20:37:00
Hiralal General Store,Shops,Store,Store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"W44Q+275, Khaira Tola, Bihar 845104",845104,26.9050132,84.1382216,ChIJSXromkOFkzkRLpJQRQiy61E,https://www.google.com/maps/place/?q=place_id:ChIJSXromkOFkzkRLpJQRQiy61E,part_394,2026-09-20 20:37:00
Kirana store,Shops,General store,General store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"W49W+H87, Khaira Tola, Bihar 845104",845104,26.9189235,84.14578519999999,ChIJRUqJPreFkzkR5zxXauITdzc,https://www.google.com/maps/place/?q=place_id:ChIJRUqJPreFkzkR5zxXauITdzc,part_394,2026-09-20 20:37:00
Vinay,Shops,General store,General store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"V5X2+3WQ, Hathuahwa, Khaira Tola, Bihar 845104",Hathuahwa,26.897400299999997,84.1524238,ChIJmeSacgCFkzkRvHJjMze2kbw,https://www.google.com/maps/place/?q=place_id:ChIJmeSacgCFkzkRvHJjMze2kbw,part_394,2026-09-20 20:37:00
Harendara shop,Shops,Store,Store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,,,"W555+QRC, Chilwania Persawna, Bihar 845104",845104,26.909437699999998,84.1595203,ChIJXYy3ElGFkzkRwhpqI5Ygduw,https://www.google.com/maps/place/?q=place_id:ChIJXYy3ElGFkzkRwhpqI5Ygduw,part_394,2026-09-20 20:37:00
"Baira Bazar, Musahri",Shops,Fruit and vegetable store,Fruit and vegetable store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",N/A,N/A,4.2,,"W4PW+GW7, Musahri, Bihar 845104",845104,26.937773399999998,84.1461932,ChIJ0SyoVTSEkzkRuOWRwqY8c9M,https://www.google.com/maps/place/?q=place_id:ChIJ0SyoVTSEkzkRuOWRwqY8c9M,part_394,2026-09-20 20:37:01
SAHANI GENERAL STORE,Shops,Market,Market,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 85819 12539,N/A,,,"Ward No 15, Samsherwa Main Road, Tamkuha, Khaira Tola, Bihar 845104",845104,26.9103984,84.1276413,ChIJrX0csfqFkzkRftUUTHM-kQw,https://www.google.com/maps/place/?q=place_id:ChIJrX0csfqFkzkRftUUTHM-kQw,part_394,2026-09-20 20:37:02
Radheshyam Kirana Store,Shops,General store,General store,845104,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Madhubani SO, Bhitaha BO, Bhuidharwa BO",+91 80924 75436,N/A,3.5,2.0,"Mushari, Bagaha, Musahri, Bihar 845104",845104,26.9246348,84.13959489999999,ChIJvynlzPWFkzkR2bSR2aJNR60,https://www.google.com/maps/place/?q=place_id:ChIJvynlzPWFkzkR2bSR2aJNR60,part_394,2026-09-20 20:37:02
