business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ansari tyres shop,Tyre Showroom and Puncture Shop,Tire repair shop,Tire repair shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 91310 07306,N/A,4.7,39.0,"Main rood near under brideg thana chowk champa 495671(CG, Champa, Chhattisgarh 495671",Champa Basti,22.0315905,82.6467377,ChIJVcmnSeO9JzoRTSfy1O4kH3o,https://www.google.com/maps/place/?q=place_id:ChIJVcmnSeO9JzoRTSfy1O4kH3o,part_394,2026-09-20 20:38:42
Champaran Tyre House,Tyre Showroom and Puncture Shop,Rubber products supplier,Rubber products supplier,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,5.0,6.0,"Areraj Rd, near Shree Bajrang Motors, New Colony, Motihari, Areraj, Bihar 845411",New Colony,26.5558905,84.66673109999999,ChIJEbGghGw9kzkRZ0bXkK-rp9Y,https://www.google.com/maps/place/?q=place_id:ChIJEbGghGw9kzkRZ0bXkK-rp9Y,part_394,2026-09-20 20:38:42
New tyre centre,Tyre Showroom and Puncture Shop,Auto repair shop,Auto repair shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 94316 59401,N/A,,,"Puran chowk, koirgawa, Narkatiaganj, Koirganwan, Bihar 845455",koirgawa,27.0705724,84.4854155,ChIJOX0ObzidlDkReQYg0qrmNGY,https://www.google.com/maps/place/?q=place_id:ChIJOX0ObzidlDkReQYg0qrmNGY,part_394,2026-09-20 20:38:42
PIRO TYRE HOUSE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 82104 74439,N/A,3.0,4.0,"Mode, Arrah - Sasaram Rd, near Tilath Road, Piro, Bihar 802207",845107,25.3338158,84.4122622,ChIJA4A4SJhxjTkRt0n1GQ5_VcY,https://www.google.com/maps/place/?q=place_id:ChIJA4A4SJhxjTkRt0n1GQ5_VcY,part_394,2026-09-20 20:38:42
New Tyre Tech,Tyre Showroom and Puncture Shop,Wheel alignment service,Wheel alignment service,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 79721 11367,N/A,4.6,5.0,"NH139, Prasadi English, Sonwarsa Panchayat, Bihar 804401",845107,25.2846193,84.69125319999999,ChIJKcsbbBBFjTkR479BkC3p350,https://www.google.com/maps/place/?q=place_id:ChIJKcsbbBBFjTkR479BkC3p350,part_394,2026-09-20 20:38:42
Tyre,Tyre Showroom and Puncture Shop,Auto parts store,Auto parts store,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 94302 31524,N/A,3.8,8.0,"128, Main Road, Gopalganj, Mirganj, Bihar 841438",845107,26.368571199999998,84.33600969999999,ChIJuVB9EWcBkzkRJXhzTcB9t8Q,https://www.google.com/maps/place/?q=place_id:ChIJuVB9EWcBkzkRJXhzTcB9t8Q,part_394,2026-09-20 20:38:42
Indian Tyre Traders,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 94312 96535,N/A,4.4,12.0,"29, Shaheed Road, near Jama Masjid, Murarpur, Gaya, Bihar 823001",Murarpur,24.798673899999997,85.0102294,ChIJ88sIMxYq8zkRS9WgJANxaWY,https://www.google.com/maps/place/?q=place_id:ChIJ88sIMxYq8zkRS9WgJANxaWY,part_394,2026-09-20 20:38:42
Anjali Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 62002 71950,N/A,4.6,,"Main road, opp. nagar parishad, Koiriya tola, Noneadih, Raxaul, Bihar 845305","Koiriya tola, Noneadih",26.9796519,84.8506554,ChIJE1mjWFFRkzkRP7ivdPdbGZU,https://www.google.com/maps/place/?q=place_id:ChIJE1mjWFFRkzkRP7ivdPdbGZU,part_394,2026-09-20 20:38:42
New Kushwaha Tyre Agency,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",+91 94707 78834,N/A,4.5,,"NH527D, Koiriya tola, Raxaul, Bihar 845305","Koiriya tola, Noneadih",26.979298699999998,84.8507243,ChIJB437W1FRkzkRFR7c_x-QYFA,https://www.google.com/maps/place/?q=place_id:ChIJB437W1FRkzkRFR7c_x-QYFA,part_394,2026-09-20 20:38:42
Good run tyre and puncture shop,Tyre Showroom and Puncture Shop,Tire repair shop,Tire repair shop,845107,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Valmiki Nagar SO, Champapur Gonauli BO, Laxmipur Bherihari BO",N/A,N/A,5.0,1.0,"near NTPC petrol station, Shakti Nagar, Uttar Pradesh 231222",845107,24.108018599999998,82.6880872,ChIJWxinECgxjzkRDhX9XxrkMUQ,https://www.google.com/maps/place/?q=place_id:ChIJWxinECgxjzkRDhX9XxrkMUQ,part_394,2026-09-20 20:38:43
