business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Suresh General Store,General Store,Computer store,Computer store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 77396 33009,N/A,5.0,,"PDs Shop Jilldeepak Cyber Cafe, Bhawanipur Mauje, Bhawanipur, Bihar 845301",845301,26.9321192,84.8759377,ChIJ1UVN_KlTkzkRIT73loyYO5M,https://www.google.com/maps/place/?q=place_id:ChIJ1UVN_KlTkzkRIT73loyYO5M,part_394,2026-09-20 20:39:09
SHANVI CHAURASIYA,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 72600 14561,N/A,5.0,,"06 Aadapur, Bihar 845301",845301,26.931315299999998,84.9443091,ChIJDzB6ojit7DkRcx7OQeixQJM,https://www.google.com/maps/place/?q=place_id:ChIJDzB6ojit7DkRcx7OQeixQJM,part_394,2026-09-20 20:39:09
Barshaa General Store,General Store,Wholesaler,Wholesaler,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 89697 87929,N/A,,,"SRS Bariyarpur, Bariyarpur Adapur, Belahiya, Bariarpur, Bihar 845301",845301,26.8868317,84.9321981,ChIJye3WupFNkzkR_3WVtCWsFc0,https://www.google.com/maps/place/?q=place_id:ChIJye3WupFNkzkR_3WVtCWsFc0,part_394,2026-09-20 20:39:09
Biswash Telicom,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",N/A,N/A,4.1,,"VWXG+4P8, Bhavnari, Bihar 845301",845301,26.8977988,84.9268156,ChIJtcfe-6ZSkzkRRgCfFdb9Gxc,https://www.google.com/maps/place/?q=place_id:ChIJtcfe-6ZSkzkRRgCfFdb9Gxc,part_394,2026-09-20 20:39:09
Tammim General Store,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 73688 73337,N/A,,,"Adapur Bazaar, Belahiya, Bihar 845301",845301,26.9259022,84.9436788,ChIJp653sfat7DkRERMA6j2ZJf4,https://www.google.com/maps/place/?q=place_id:ChIJp653sfat7DkRERMA6j2ZJf4,part_394,2026-09-20 20:39:09
Shashi Jenarel Store,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 77398 02135,N/A,5.0,,"Bhelahi Rd, near Telephone Exchange, Bhelahi, Bihar 845305",845301,26.99845,84.77039119999999,ChIJSSsv39xZkzkRM_u3EKLnufo,https://www.google.com/maps/place/?q=place_id:ChIJSSsv39xZkzkRM_u3EKLnufo,part_394,2026-09-20 20:39:10
Aditya General Store,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 62056 23417,N/A,4.0,,"Gandhi Chowk, Motihari - Chauradano Rd, Lakhaura, Bihar 845302",845301,26.7559035,84.9775729,ChIJbZuKIsS17DkRr5BDP-iBcQM,https://www.google.com/maps/place/?q=place_id:ChIJbZuKIsS17DkRr5BDP-iBcQM,part_394,2026-09-20 20:39:10
Md Saad General Store,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 82357 21220,N/A,5.0,,"Shop No 121, Purandra, Raxaul, Bihar 845305",845301,26.9667128,84.84453409999999,ChIJ7UD5G81RkzkRnqlsmJhNGpI,https://www.google.com/maps/place/?q=place_id:ChIJ7UD5G81RkzkRnqlsmJhNGpI,part_394,2026-09-20 20:39:10
Rihan Medical And General Store,General Store,Pharmacy,Pharmacy,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",+91 62991 87559,N/A,5.0,,"Near, Indo Nepal Border Trail, Bishunpurwa, Bihar 845301",845301,26.8942394,84.88740039999999,ChIJsYkyZx5TkzkR-tASQlnRpI0,https://www.google.com/maps/place/?q=place_id:ChIJsYkyZx5TkzkR-tASQlnRpI0,part_394,2026-09-20 20:39:10
Gupta General Store,General Store,General store,General store,845301,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Adapur SO, Auraia BO, Bakhathaura BO",N/A,N/A,4.8,,"WX62+CH8, Dhabadhabawa Adapur, Bihar 845301",845301,26.911047999999997,84.9514564,ChIJN3Nymrqt7DkRCRvC21rbBUc,https://www.google.com/maps/place/?q=place_id:ChIJN3Nymrqt7DkRCRvC21rbBUc,part_394,2026-09-20 20:39:10
