business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
J.N MEDICINE,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.9,21.0,"State, Bank Rd, Mehsi, Ghariyalichak, Bihar 845426",845420,26.356584599999998,85.10082109999999,ChIJCTN39KnX7DkRCiLNIbkfEiw,https://www.google.com/maps/place/?q=place_id:ChIJCTN39KnX7DkRCiLNIbkfEiw,part_395,2026-09-20 20:18:51,1526
Upadhyay Stores,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.3,3.0,"Hospital Rd, Chakia, Bihar 845412",845420,26.4119067,85.05585959999999,ChIJrdrdQdvW7DkRNXbDHHFbn44,https://www.google.com/maps/place/?q=place_id:ChIJrdrdQdvW7DkRNXbDHHFbn44,part_395,2026-09-20 20:18:51,1527
Chemist Box - Border Area (Raxaul),24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 80 3701 6719,https://medical-stores.chemistbox.in/chemist-box/stores-in-east-champaran/stores-in-raxaul/chemist-box-in-raxaul-east-champaran--f507ca55-fbab-4953-89b1-286d8a52e350/home,5.0,9407.0,"Ground Floor, Check Post, Plot No 492, Main Road, nearby Raxaul, Border Area, Raxaul, Bihar 845305",Border Area,26.9874552,84.8544106,ChIJD9BlUcJXkzkRQQYtxPy4qQc,https://www.google.com/maps/place/?q=place_id:ChIJD9BlUcJXkzkRQQYtxPy4qQc,part_395,2026-09-20 20:18:51,1528
Ravi Medicine Center,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,1.0,"934X+5H7, Mehsi, Bihar 845426",845420,26.3554145,85.0989343,ChIJI-6o6xHX7DkRJegTUgnUOW8,https://www.google.com/maps/place/?q=place_id:ChIJI-6o6xHX7DkRJegTUgnUOW8,part_395,2026-09-20 20:18:51,1529
Keshri Medical Pakaridayal,24 Hour Pharmacy,Pharmacy,"Pharmacy, Drug store",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.9,10.0,"H337+P52, Motihari Rd, near SBI Bank 845428, Pakridayal North, Bihar 845428",845420,26.554266,85.0629009,ChIJV7AA7kzO7DkRHd9JhY6zeUw,https://www.google.com/maps/place/?q=place_id:ChIJV7AA7kzO7DkRHd9JhY6zeUw,part_395,2026-09-20 20:18:51,1530
TAJ MEDICAL,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,1.0,"934X+HGG, Bank Rd, Mehsi, Bihar 845426",845420,26.356447,85.098827,ChIJP3QkpfDX7DkR2nydhX5vgrY,https://www.google.com/maps/place/?q=place_id:ChIJP3QkpfDX7DkR2nydhX5vgrY,part_395,2026-09-20 20:18:51,1531
Akhilesh medical hall,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,32.0,"Lakshmi road, siraha, Pakridayal North, Bihar 845428",845420,26.5252879,85.0489047,ChIJkSmpaXnP7DkR5v6eJZA_ltI,https://www.google.com/maps/place/?q=place_id:ChIJkSmpaXnP7DkR5v6eJZA_ltI,part_395,2026-09-20 20:18:51,1532
Aniket Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99346 24164,N/A,4.0,1.0,"M3GH+PH3, Sikarganj - Chiraiya Rd, Koilasi, Bihar 845415",845420,26.6767513,85.0789107,ChIJp0FY5mXJ7DkRvkxZLFQ5LlA,https://www.google.com/maps/place/?q=place_id:ChIJp0FY5mXJ7DkRvkxZLFQ5LlA,part_395,2026-09-20 20:18:51,1533
Keshri Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 6257 266 411,N/A,5.0,13.0,"Kaushalya Market, purani chowk, Pipra, Bihar 845416",purani chowk,26.493691,84.9850549,ChIJNSz9V17S7DkR82VPo7iLznY,https://www.google.com/maps/place/?q=place_id:ChIJNSz9V17S7DkR82VPo7iLznY,part_395,2026-09-20 20:18:51,1534
Krishna Medical,24 Hour Pharmacy,Pharmacy,Pharmacy,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 83759 70066,N/A,5.0,903.0,"Sheohar zeromile , infront of HDFC Sheohar,Bihar, Bihar 843329",845420,26.5139572,85.30117109999999,ChIJBzDssA_n7DkRRpqOZxN4-z4,https://www.google.com/maps/place/?q=place_id:ChIJBzDssA_n7DkRRpqOZxN4-z4,part_395,2026-09-20 20:18:51,1535
