business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Car Point Auto Services,Automotive Service Chains,Auto repair shop,"Auto repair shop, Car wash",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 85100 09387,https://car-point-auto-services.grexa.site/,4.7,,"behind Yatharth Hospital, Sector 1, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318","Sector 1, Bisrakh Jalalpur",28.5745704,77.4451648,ChIJq4rFMwDvDDkR6TsJkGi_1yY,https://www.google.com/maps/place/?q=place_id:ChIJq4rFMwDvDDkR6TsJkGi_1yY,part_395,2026-09-20 20:18:58,2505
Carnation - Shree Ram Motors,Automotive Service Chains,Auto repair shop,Auto repair shop,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 96545 49624,http://carnationshreerammotors.com/,4.4,,"E- 86, site-IV, Block P, Industrial Area, UPSIDC, Greater Noida, Uttar Pradesh 201315","site-IV, Block P, Industrial Area, UPSIDC",28.453330599999997,77.5307787,ChIJzWYqGNLrDDkRz9ZZYKoXNM4,https://www.google.com/maps/place/?q=place_id:ChIJzWYqGNLrDDkRz9ZZYKoXNM4,part_395,2026-09-20 20:18:58,2506
Ganga Cycle Store,Automotive Service Chains,Auto repair shop,Auto repair shop,845423,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Hussaini SO, Belwa Madho BO, Dumariaghat BO",+91 62007 89671,N/A,5.0,1.0,"Shop No 1, Road, near by Shiv Mandir, Masrakh, Taraiya, Bihar 841424",845423,26.0712606,84.8838399,ChIJ5UrUTqzNkjkRYNC6UCFNBHQ,https://www.google.com/maps/place/?q=place_id:ChIJ5UrUTqzNkjkRYNC6UCFNBHQ,part_395,2026-09-20 20:20:18,10857
Maruti Maker,Automotive Service Chains,Auto repair shop,Auto repair shop,845423,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Hussaini SO, Belwa Madho BO, Dumariaghat BO",N/A,N/A,4.5,2.0,"RG46+8HR, Supriya Cinema Rd, shivpuri colony, Kamalnath Nagar, Bettiah, Bihar 845438","shivpuri colony, Kamalnath Nagar",26.805869599999998,84.51140439999999,ChIJJwO5gYhvkzkRHCodlFmCtAU,https://www.google.com/maps/place/?q=place_id:ChIJJwO5gYhvkzkRHCodlFmCtAU,part_395,2026-09-20 20:20:18,10858
Bosch Car Service - SAM Wheels Pvt Ltd,Automotive Service Chains,Auto repair shop,Auto repair shop,845423,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Hussaini SO, Belwa Madho BO, Dumariaghat BO",+91 90283 84499,https://ap.boschcarservice.com/in/en/book-a-car-service#/booking/classic/landing?customerId=76252891,4.7,574.0,"Opp: passport office, Akashvani lane, Ashiana - Digha Rd, Patna, Bihar 800014","Jyotipuram Colony, Khajpura",25.6082862,85.080489,ChIJ3e7D82FX7TkR0fUdHAVI7OA,https://www.google.com/maps/place/?q=place_id:ChIJ3e7D82FX7TkR0fUdHAVI7OA,part_395,2026-09-20 20:20:18,10859
New Hindustan Sofa Gadda Repairing House,Automotive Service Chains,Auto repair shop,Auto repair shop,845423,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Hussaini SO, Belwa Madho BO, Dumariaghat BO",N/A,N/A,5.0,3.0,"srinagar, mairwa road,BSNL ke samne , daroga rai college ke pass, Siwan, Bihar 841226",Ayodhyapuri,26.2264452,84.33859869999999,ChIJx5doJmz_kjkRUGTXejGhYbA,https://www.google.com/maps/place/?q=place_id:ChIJx5doJmz_kjkRUGTXejGhYbA,part_395,2026-09-20 20:20:18,10860
myTVS - Total Car Care,Automotive Service Chains,Auto repair shop,"Auto repair shop, Auto body shop, Car repair and maintenance service, Mechanic, Oil change service, Garage",845425,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Malahi SO, Bharwalia BO, Chatia BO",+91 96508 43814,https://mytvs.in/Service,5.0,,"306, NH-27, near JK Tyre Agency, Chhwahi Takki, Gopalganj, Chhabahi Shikmi, Bihar 841428",Chhwahi Takki,26.444329999999997,84.47529999999999,ChIJDw36MBAbkzkRRKmHKXLyBww,https://www.google.com/maps/place/?q=place_id:ChIJDw36MBAbkzkRRKmHKXLyBww,part_395,2026-09-20 20:21:33,13795
Sree R. C. Enterprises,Automotive Service Chains,Tractor dealer,Tractor dealer,845426,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Mehsi SO, Bans Ghat BO, Dilawarpur BO",N/A,N/A,4.1,19.0,"C366+QCQ, Bihar 845412",845426,26.4119618,85.0611038,ChIJn7nbONnW7DkRBwbF1tKImBw,https://www.google.com/maps/place/?q=place_id:ChIJn7nbONnW7DkRBwbF1tKImBw,part_395,2026-09-20 20:22:11,14996
AVINASH STORE,Automotive Service Chains,Auto repair shop,Auto repair shop,845427,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pachpakari SO, Bhandar BO, Dalpat Bishunpur BO",+91 74887 48797,N/A,4.0,1.0,"Main Bazar Main Bazar, Siwan, Dhurlakh, Bihar 847301",845427,25.9607966,85.8337459,ChIJEWgcqEeX7TkRTWWwArO4GQg,https://www.google.com/maps/place/?q=place_id:ChIJEWgcqEeX7TkRTWWwArO4GQg,part_395,2026-09-20 20:22:48,16259
Baba Vishwakarma automobile engg works,Automotive Service Chains,Auto repair shop,Auto repair shop,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 79849 04540,N/A,5.0,,"road, Tamarua, Gurua, Bihar 824205",845428,24.6441704,84.7648207,ChIJ9Xmd5VXbjDkRApBLqCI8vEU,https://www.google.com/maps/place/?q=place_id:ChIJ9Xmd5VXbjDkRApBLqCI8vEU,part_395,2026-09-20 20:23:25,17679
BR01 Customs,Automotive Service Chains,Auto tune up service,"Auto tune up service, Auto body shop, Auto machine shop, Muffler shop, Vehicle inspection service",845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",N/A,http://www.br01customs.com/,4.8,,"8/A, Boring Rd, beside SAI KRIPA APARTMENT, near Triangle Park back gate, Appt, Sri Krishna Puri, Patna, Bihar 800001","Appt, Sri Krishna Puri",25.6166266,85.110995,ChIJ3Qmw6p5Z7TkRdvPn353w3tk,https://www.google.com/maps/place/?q=place_id:ChIJ3Qmw6p5Z7TkRdvPn353w3tk,part_395,2026-09-20 20:23:25,17680
Castrol Service -Aurangabad Service Center,Automotive Service Chains,Car repair and maintenance service,"Car repair and maintenance service, Car wash, Oil change service, Repair service",845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 97710 17474,https://www.castrolautoservice.in/castrolservice/castrol-service-aurangabad-service-center-vehicle-repair-mg-road-aurangabad-582293/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Ward No 11, New area, MG Rd, near V2 Mall, Aurangabad, Bihar 824101",845428,24.7492211,84.3691575,ChIJm8fiI9X9jDkRBiM9NSCdvUM,https://www.google.com/maps/place/?q=place_id:ChIJm8fiI9X9jDkRBiM9NSCdvUM,part_395,2026-09-20 20:23:25,17681
LALLU CYCLE,Automotive Service Chains,Auto repair shop,Auto repair shop,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 90062 90817,N/A,4.0,,"Bartalla More, Gurua, Bihar 824205",845428,24.669038399999998,84.770241,ChIJoy03i7XbjDkRsHBxuU1FKPA,https://www.google.com/maps/place/?q=place_id:ChIJoy03i7XbjDkRsHBxuU1FKPA,part_395,2026-09-20 20:23:25,17682
SK Enterprises - Genuine Parts - Hero MotoCorp,Automotive Service Chains,Auto parts store,Auto parts store,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 72798 46807,https://partsdistributors.heromotocorp.com/hero-motocorp/motihari/Maharshi-Nagar/sk-enterprises-genuine-parts-hero-motocorp-in-Maharshi-Nagar-motihari--23f4Bc/home,,,"Plot No 80, NH 28, Balua, nearby Income Tax Office, Maharshi Nagar, Motihari, Bihar 845401","Maharshi Nagar, Chhota Bariyarpur",26.6227576,84.9148498,ChIJG5W8akY1kzkRftFhb3qiJ0E,https://www.google.com/maps/place/?q=place_id:ChIJG5W8akY1kzkRftFhb3qiJ0E,part_395,2026-09-20 20:24:02,19429
