business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JANTA LEATHER,Leather Goods and Bags,Bag shop,"Bag shop, Luggage store, Belt shop, Handbags shop, Luggage repair service, Luggage wholesaler",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 87099 79432,N/A,4.8,,"Hathuwa market, near Swad restaurant, Saran, Chapra, Athasia, Bihar 841301",Saran,25.7779754,84.74275209999999,ChIJI2VWioS7kjkR3IyMLR6MFLI,https://www.google.com/maps/place/?q=place_id:ChIJI2VWioS7kjkR3IyMLR6MFLI,part_395,2026-09-20 20:18:50,1215
IKLAKH ENTERPRISES,Leather Goods and Bags,Leather Products Manufacturer,Leather Products Manufacturer,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,,"KATHAN, Mehsi, Chintamanpur, Bihar 845426",KATHAN,26.357421799999997,85.1439755,ChIJsWfVzfLZ7DkRcvlGZi78Rn8,https://www.google.com/maps/place/?q=place_id:ChIJsWfVzfLZ7DkRcvlGZi78Rn8,part_395,2026-09-20 20:18:50,1216
Devon Leather,Leather Goods and Bags,Leather goods store,"Leather goods store, Bag shop, Handbags shop, Leather coats store, Leather Exporter, Leather Products Manufacturer, Leather goods supplier, Leather repair service, Leather wholesaler, Plastic Bags Wholesaler",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 87997 91252,https://www.devonleather.com/,4.7,,"Ground Floor, Building No, 1/3, East Patel Nagar, Delhi 110008","Block 27, East Patel Nagar, Patel Nagar",28.6472165,77.1718393,ChIJ27pweeoDDTkRL6UrQ9sdi9w,https://www.google.com/maps/place/?q=place_id:ChIJ27pweeoDDTkRL6UrQ9sdi9w,part_395,2026-09-20 20:18:50,1217
Am Leather,Leather Goods and Bags,Leather goods store,"Leather goods store, Exporter, Clothing Accessories Store, Leather Exporter, Leather Products Manufacturer, Leather goods supplier, Leather Goods Wholesaler, Luggage store, Manufacturer, Wholesaler",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 98049 61311,https://amleatherindia.com/,5.0,,"47, Matheswartala Road, Tangra, Kolkata, West Bengal 700046",Tangra,22.5490762,88.393664,ChIJHbDF21Z3AjoRSmIdAVycqIk,https://www.google.com/maps/place/?q=place_id:ChIJHbDF21Z3AjoRSmIdAVycqIk,part_395,2026-09-20 20:18:50,1218
Taj Leather Garments,Leather Goods and Bags,Leather goods store,"Leather goods store, Leather coats store, Leather Products Manufacturer, Leather goods supplier, Leather Goods Wholesaler, Leather repair service",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99113 61784,https://www.tajleatherluxury.com/,4.3,,"Shop No A, 40, BHIKAJI CAMA PLACE, Ram Mandir Gali, Mohammadpur, Rama Krishna Puram, New Delhi, Delhi 110066","Mohammadpur, Rama Krishna Puram",28.5656021,77.1880518,ChIJ1xq3DzodDTkRMaxJcudCq8E,https://www.google.com/maps/place/?q=place_id:ChIJ1xq3DzodDTkRMaxJcudCq8E,part_395,2026-09-20 20:18:50,1219
Anand Bag House,Leather Goods and Bags,Gift shop,Gift shop,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91555 01029,N/A,,,"QJPR+2MH, Revelganj, Bihar 841305",845420,25.7850592,84.641722,ChIJd_mtkxu9kjkRSV5wp90GRUo,https://www.google.com/maps/place/?q=place_id:ChIJd_mtkxu9kjkRSV5wp90GRUo,part_395,2026-09-20 20:18:50,1220
Good Leather Garments,Leather Goods and Bags,Leather goods store,Leather goods store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99273 16139,https://goodleathergarments.in/,4.3,,"Shop No. 39, near BHIKAJI CAMA PLACE, Mohammadpur, Rama Krishna Puram, New Delhi, Delhi 110066","Mohammadpur, Rama Krishna Puram",28.565706799999997,77.18842939999999,ChIJUWlmzoUdDTkRdTJUS1eVN0A,https://www.google.com/maps/place/?q=place_id:ChIJUWlmzoUdDTkRdTJUS1eVN0A,part_395,2026-09-20 20:18:50,1221
mozri leather collection,Leather Goods and Bags,Leather goods store,Leather goods store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 93228 71078,http://www.mozri.in/,4.5,,"MOZRI Shop no 6, Sion-Bandra Link Rd, Sant Rohidas Marg, near shaheel hotel, Dharavi Village, Dharavi, Mumbai, Maharashtra 400017","Dharavi Village, Dharavi",19.0477217,72.86067609999999,ChIJ8SpJQ9DI5zsRe6lNpn858hI,https://www.google.com/maps/place/?q=place_id:ChIJ8SpJQ9DI5zsRe6lNpn858hI,part_395,2026-09-20 20:18:50,1222
Leather Smith,Leather Goods and Bags,Leather goods store,Leather goods store,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99108 20207,https://leathersmithindia.com/,4.9,,"Shop No. 79, M M Janpath Market, New Delhi, Delhi 110001","Janpath, Connaught Place",28.627466799999997,77.2192335,ChIJ3_XyNzL9DDkR4Az0LVKNam8,https://www.google.com/maps/place/?q=place_id:ChIJ3_XyNzL9DDkR4Az0LVKNam8,part_395,2026-09-20 20:18:50,1223
The Leather Business,Leather Goods and Bags,Leather goods supplier,Leather goods supplier,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 89299 58992,N/A,4.9,,"Arihant Arden, GH-07A, Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306","Sector 1, Bisrakh Jalalpur",28.577979799999998,77.44187579999999,ChIJeyJpYe7vDDkRFERQHV97HMk,https://www.google.com/maps/place/?q=place_id:ChIJeyJpYe7vDDkRFERQHV97HMk,part_395,2026-09-20 20:18:50,1224
