business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Madhav Santati Multispeciality Hospital,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 76545 55999,https://madhavhospital.org/,3.3,29.0,"Madhuban Rd, Chakia, Bihar 845412",845420,26.422062999999998,85.0553168,ChIJw_T1jHnX7DkRTBrkapK5zIE,https://www.google.com/maps/place/?q=place_id:ChIJw_T1jHnX7DkRTBrkapK5zIE,part_395,2026-09-20 20:18:52,1553
Sufia Multi Speciality Hospital Chakia,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"93X8+M59, Chakia, Bihar 845412",845420,26.3991543,85.06548269999999,ChIJd8LLUQDX7DkRE87RUU6fYOc,https://www.google.com/maps/place/?q=place_id:ChIJd8LLUQDX7DkRE87RUU6fYOc,part_395,2026-09-20 20:18:52,1554
Champaran Multispeciality Hospital and foundation,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,,,"C373+87G, Chakia, Bihar 845412",845420,26.4133036,85.0532006,ChIJT57dfADX7DkRhSx04yLX8rI,https://www.google.com/maps/place/?q=place_id:ChIJT57dfADX7DkRhSx04yLX8rI,part_395,2026-09-20 20:18:52,1555
JANAK MULTISPECIALITY HOSPITAL AND TRAUMA CENTRE,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,5.0,1.0,"C394+7WH, Madhuban Rd, near old fci godam, Chakia, Bihar 845412",845420,26.4181965,85.057355,ChIJ0ZE1RgDX7DkR1i7JppL6NXg,https://www.google.com/maps/place/?q=place_id:ChIJ0ZE1RgDX7DkR1i7JppL6NXg,part_395,2026-09-20 20:18:52,1556
OM Hospital,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99559 50222,http://barachakia.com/,4.6,12.0,"C27R+878, Kesariya Rd, Raniganj Mohhala, Chakia, Ghanghti, Bihar 845412",Raniganj Mohhala,26.4132997,85.0406941,ChIJwYUyCLnW7DkRjD4xpieLkCI,https://www.google.com/maps/place/?q=place_id:ChIJwYUyCLnW7DkRjD4xpieLkCI,part_395,2026-09-20 20:18:52,1557
Government Hospital,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,2.8,4.0,"C4VQ+RGG, NH-104, Madhuban North, Madhuban, Bihar 845420",845420,26.4445744,85.13883,ChIJ-Y6nsjra7DkRYXDNrIaTmRg,https://www.google.com/maps/place/?q=place_id:ChIJ-Y6nsjra7DkRYXDNrIaTmRg,part_395,2026-09-20 20:18:52,1558
Criticare Hospital and Maternity Centre,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 77818 15217,N/A,4.4,16.0,"near hero showroom, Teacher’s colony, Chakia, Bihar 845412",Teacher’s colony,26.412833,85.0534369,ChIJHYGypFLX7DkRJh25dlnHvFQ,https://www.google.com/maps/place/?q=place_id:ChIJHYGypFLX7DkRJh25dlnHvFQ,part_395,2026-09-20 20:18:52,1559
M S Medical Hall & KDP Memorial Hospital,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91997 37511,N/A,4.3,15.0,"Madhuban Rd, near jayanti mandir, Chakia, Bihar 845412",845420,26.4168469,85.05115889999999,ChIJn-bKY8_W7DkRgOARuoNhc8w,https://www.google.com/maps/place/?q=place_id:ChIJn-bKY8_W7DkRgOARuoNhc8w,part_395,2026-09-20 20:18:52,1560
B N Hospital Emergency & Trauma centre,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 81021 96024,https://bnhospital.org/,5.0,51.0,"Motihari bypass road, near chakia, overbridge, Chakia, Bihar 845412",overbridge,26.4225259,85.0546614,ChIJAcDMEzPX7DkRyEtTUyFR8q4,https://www.google.com/maps/place/?q=place_id:ChIJAcDMEzPX7DkRyEtTUyFR8q4,part_395,2026-09-20 20:18:52,1561
Champaran Hospital pvt LTD,Multispeciality Hospital,Hospital department,Hospital department,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 95721 47793,N/A,4.3,6.0,"New Bypass, Madhuban Rd, Chakia, Bihar 845412",845420,26.414835,85.06052199999999,ChIJCTrMc7vX7DkRi-6mBI6PJTs,https://www.google.com/maps/place/?q=place_id:ChIJCTrMc7vX7DkRi-6mBI6PJTs,part_395,2026-09-20 20:18:52,1562
CHAKIA MEDICAL CENTRE PVT. LTD.,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.7,10.0,"Sahebganj - Chakia Rd, Chakia, Bihar 845412",845420,26.418367399999998,85.05823509999999,ChIJc_RG0ErX7DkRmZjrWjBOeHg,https://www.google.com/maps/place/?q=place_id:ChIJc_RG0ErX7DkRmZjrWjBOeHg,part_395,2026-09-20 20:18:52,1563
Raja Hospital PHENHARA,Multispeciality Hospital,Hospital,Hospital,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 6259 299 940,N/A,4.9,64.0,"Nayagaon - Phenhara Rd, Phenhara, Bihar 843329",845420,26.520578399999998,85.20217269999999,ChIJpbWZzK3c7DkRwu0pbOsi_8U,https://www.google.com/maps/place/?q=place_id:ChIJpbWZzK3c7DkRwu0pbOsi_8U,part_395,2026-09-20 20:18:52,1564
PHC Mehsi,Multispeciality Hospital,Government hospital,"Government hospital, Hospital",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 94700 03173,https://eastchamparan.nic.in/public-utility/primary-health-centre-mehsi/,4.5,15.0,"934X+2Q2, Mehsi, Mohabbat Chhapra, Bihar 845426",845420,26.355022299999998,85.0993858,ChIJEw56uPPX7DkRlZ_QF_deNKs,https://www.google.com/maps/place/?q=place_id:ChIJEw56uPPX7DkRlZ_QF_deNKs,part_395,2026-09-20 20:18:52,1565
