business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Car Rental in Motihari,Taxi Service and Car Rental,Car leasing service,Car leasing service,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 79798 48998,https://sparitosh87.wixsite.com/rental-car-motihari,4.8,,"Belisarai, Motihari, Bihar 845401",Belisarai,26.650765099999997,84.90748719999999,ChIJkS4Hs-81kzkR1YFTMl_6UJo,https://www.google.com/maps/place/?q=place_id:ChIJkS4Hs-81kzkR1YFTMl_6UJo,part_395,2026-09-20 20:18:56,2411
Chahat Cab,Taxi Service and Car Rental,Taxi service,Taxi service,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 72739 69623,https://chahat-cab.grexa.site/,5.0,,"station, road shankaracharya dwar, near dankal, Noneadih, Raxual, Raxaul, Bihar 845305",Noneadih,26.979718599999998,84.85157559999999,ChIJ38DR619RkzkRQGD3JYtyWeA,https://www.google.com/maps/place/?q=place_id:ChIJ38DR619RkzkRQGD3JYtyWeA,part_395,2026-09-20 20:18:56,2412
Singh Cab | One Way Taxi Service,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Travel agency",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 77177 79824,https://singhcab.co.in/,4.9,,"Chandra Vihar Colony, Ashiana Digha Road, Rd Number 2, near New, Rajeev Nagar, Thana, Patna, Bihar 800025","Rajeev Nagar, Rukanpura",25.6238635,85.08339289999999,ChIJNcY5DxFX7TkRtkLpUCtiRJU,https://www.google.com/maps/place/?q=place_id:ChIJNcY5DxFX7TkRtkLpUCtiRJU,part_395,2026-09-20 20:18:56,2413
RAJRANI EXPRESS CAB,Taxi Service and Car Rental,Taxi service,"Taxi service, Car rental agency, Minibus taxi service, Travel agency",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 79033 83483,https://rajraniexpresscab.com/,5.0,,"Rd Number 12, Bahadurpur Gumti, Rajendra Nagar, Patna, Bihar 800016","Bahadurpur Gumti, Rajendra Nagar",25.6032862,85.16692689999999,ChIJOfwGwbhZ7TkRIwP0NCz9pH8,https://www.google.com/maps/place/?q=place_id:ChIJOfwGwbhZ7TkRIwP0NCz9pH8,part_395,2026-09-20 20:18:56,2414
Vasu Cabs - Muzaffarpur Taxi & Cab Service | Airport & Outstation Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Transportation service",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 96503 13516,https://www.vasucabs.com/taxi-service-in-muzaffarpur.html,4.9,,"M.I, T Road, Muzaffarpur, Brahmpura, Bihar 842003",845420,26.144039499999998,85.3614649,ChIJJcWmRHcR7TkRBvb-RfnqvNE,https://www.google.com/maps/place/?q=place_id:ChIJJcWmRHcR7TkRBvb-RfnqvNE,part_395,2026-09-20 20:18:56,2415
Buddha Cab Service,Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Car leasing service, Car rental agency, Tour agency, Tour operator, Transportation service, Travel agency",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 82104 59744,https://buddhacab.in/,4.9,,"Veer kunwar Singh chauk, Rd Number 9B, Rajeev Nagar, Keshri Nagar, Patna, Bihar 800024","Rajeev Nagar, Keshri Nagar",25.6234301,85.0936213,ChIJEVxJx3NX7TkRgqqAapa0qQo,https://www.google.com/maps/place/?q=place_id:ChIJEVxJx3NX7TkRgqqAapa0qQo,part_395,2026-09-20 20:18:56,2416
Jha cabs,Taxi Service and Car Rental,Taxi service,Taxi service,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 91535 44928,N/A,4.9,,"Chappki Parri, Lakshmisagar, Darbhanga, Bihar 846009","Chappki Parri, Lakshmisagar",26.1585012,85.9137288,ChIJsZaCaey57TkRywnP2UXISmw,https://www.google.com/maps/place/?q=place_id:ChIJsZaCaey57TkRywnP2UXISmw,part_395,2026-09-20 20:18:56,2417
Vasu Cabs - Darbhanga Taxi & Cab Service | Airport & Outstation Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Transportation service",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99114 76731,https://www.vasucabs.com/taxi-service-in-darbhanga.html,4.9,,"Chitragupta Nagar, Laheriasarai, Darbhanga, Bihar 846001","Chitragupta Nagar, Laheriasarai",26.1174716,85.8900105,ChIJkbnXAFGOKA8Rh8cVyDhKtT4,https://www.google.com/maps/place/?q=place_id:ChIJkbnXAFGOKA8Rh8cVyDhKtT4,part_395,2026-09-20 20:18:56,2418
Champaran Taxi,Taxi Service and Car Rental,Taxi service,Taxi service,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 88735 15466,https://champarantaxi.com/,4.4,,"Station Chowk, Narkatiaganj, Bihar 845455",845420,27.1035023,84.4641153,ChIJ1R9yoT5jkzkRVW3zx7jWXbo,https://www.google.com/maps/place/?q=place_id:ChIJ1R9yoT5jkzkRVW3zx7jWXbo,part_395,2026-09-20 20:18:56,2419
Kunal Singh tour and travel,Taxi Service and Car Rental,Transportation service,Transportation service,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 74882 13346,N/A,3.8,,"MW63+7Q7, Ambika Nagar, Singhia Sagar, Motihari, Bihar 845401",Ambika Nagar,26.660669499999997,84.9044373,ChIJ8XLY8WM1kzkRe2AMEDqBA1c,https://www.google.com/maps/place/?q=place_id:ChIJ8XLY8WM1kzkRe2AMEDqBA1c,part_395,2026-09-20 20:18:56,2420
