business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Khao Piyo,Restaurant Chains,Restaurant,Restaurant,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.8,,"XRHV+7F5, Raxaul, Bihar 845305",845420,26.9781424,84.84373509999999,ChIJzerYZgBRkzkRV-X4c9f5uiA,https://www.google.com/maps/place/?q=place_id:ChIJzerYZgBRkzkRV-X4c9f5uiA,part_395,2026-09-20 20:18:48
AL-BAIK.COM,Restaurant Chains,Restaurant,"Restaurant, Chicken restaurant",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 93891 24699,http://www.al-baik.com/,4.2,,"Mithila Complex, Madhuban Chhawni Chowk, near Old LIC Building, Bhawanipur Zirat, Motihari, Bihar 845401",Bhawanipur Zirat,26.6522126,84.9212215,ChIJiyswo6U1kzkRl0AmiW6KxR0,https://www.google.com/maps/place/?q=place_id:ChIJiyswo6U1kzkRl0AmiW6KxR0,part_395,2026-09-20 20:18:48
"The Annapurna Restaurant, Sweets & Bakery",Restaurant Chains,Restaurant,"Restaurant, Bakery and Cake Shop, Biryani restaurant, Cake shop, Sweet shop, Caterer, Chinese restaurant, Family restaurant, Indian sweets shop, North Indian restaurant",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 97714 86101,http://www.rameshwarsannapurna.com/,4.0,,"Sharan Complex, near Motijheel Path, Gayatri Nagar, Motihari, Bihar 845401",Gayatri Nagar,26.651274599999997,84.9145284,ChIJ41zsluY0kzkR0jrjXUduO_U,https://www.google.com/maps/place/?q=place_id:ChIJ41zsluY0kzkR0jrjXUduO_U,part_395,2026-09-20 20:18:48
CRAFT MOMO,Restaurant Chains,Family restaurant,Family restaurant,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 76544 60444,N/A,4.2,,"MW2C+QMQ Madhuban Chhawni Chowk, Madhuban, Chawni Chowk, near Surya Hotel, Rajendra Nagar, Motihari, Bihar 845401",Rajendra Nagar,26.6519342,84.92171909999999,ChIJz8ESjbU1kzkRfR4EorWS4XU,https://www.google.com/maps/place/?q=place_id:ChIJz8ESjbU1kzkRfR4EorWS4XU,part_395,2026-09-20 20:18:49
Hariyali Chaap Junction,Restaurant Chains,Barbecue restaurant,Barbecue restaurant,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 73199 33351,N/A,4.9,,"Patel Chowk, Station Rd, near Winni cakes n More, Belbawana, Motihari, Bihar 845401",Belbawana,26.6526204,84.90754539999999,ChIJ4de2u4U1kzkRosF3hCSM1OE,https://www.google.com/maps/place/?q=place_id:ChIJ4de2u4U1kzkRosF3hCSM1OE,part_395,2026-09-20 20:18:49
PIZZA WITH YAAR,Restaurant Chains,Pizza restaurant,Pizza restaurant,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 90315 92162,N/A,4.7,,"infront of Hanuman mandir, Chandmari, Motihari, Bihar 845401",Chandmari,26.6521384,84.90350219999999,ChIJ95D4asM1kzkRr2QbkyHSUHU,https://www.google.com/maps/place/?q=place_id:ChIJ95D4asM1kzkRr2QbkyHSUHU,part_395,2026-09-20 20:18:49
Daddy’s kitchen cafe and restaurant,Restaurant Chains,Restaurant,Restaurant,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 84091 73830,N/A,4.8,,"Areraj, Bihar 845411",845420,26.5528582,84.666224,ChIJG5L8R6I9kzkRF5WoabcUT-s,https://www.google.com/maps/place/?q=place_id:ChIJG5L8R6I9kzkRF5WoabcUT-s,part_395,2026-09-20 20:18:49
Tandoori Hotel,Restaurant Chains,Restaurant,"Restaurant, Breakfast restaurant",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99555 57171,N/A,3.8,,"Noneadih, Raxaul, Bihar 845305",Noneadih,26.9838286,84.85217569999999,ChIJtxf2mVRRkzkRnHEvRln3bls,https://www.google.com/maps/place/?q=place_id:ChIJtxf2mVRRkzkRnHEvRln3bls,part_395,2026-09-20 20:18:49
Food junction,Restaurant Chains,Restaurant,"Restaurant, Fast food restaurant",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,3.9,,"Hotel food junction station chowk supriya road, near hotel pushpanjali, Bettiah, Bihar 845438",Banuchapar,26.8042873,84.5214203,ChIJcQttc9BvkzkR0gGBmPrNPs0,https://www.google.com/maps/place/?q=place_id:ChIJcQttc9BvkzkR0gGBmPrNPs0,part_395,2026-09-20 20:18:49
kishan sweets and restaurant,Restaurant Chains,Beverages,"Beverages, Sweet shop, Fast food restaurant",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 82943 09555,N/A,3.8,,"RG47+4W7, Kamalnath Nagar, Supriya Cinema Rd, beside V-Mart - Bettiah, Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.8050347,84.51397229999999,ChIJ70eOBLdukzkRhLgUfIXQ79c,https://www.google.com/maps/place/?q=place_id:ChIJ70eOBLdukzkRhLgUfIXQ79c,part_395,2026-09-20 20:18:49
