business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Brahma Kumaris Kesariya,Yoga Center,Meditation center,Meditation center,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 99731 27088,http://brahmakumaris.com/,4.8,,"KHASRA NO: 3525, DIVYA ANUBHUTI BHAWAN, PURANI BAZAR ROAD, GAYATRI NAGAR, CHAKIYA, Kesariya, Bihar 845424","GAYATRI NAGAR, CHAKIYA",26.350864599999998,84.8697667,ChIJSXSeCNMrkzkRSPDmSE9DRAs,https://www.google.com/maps/place/?q=place_id:ChIJSXSeCNMrkzkRSPDmSE9DRAs,part_395,2026-09-20 20:18:54
Yoga centre,Yoga Center,Health resort,"Health resort, Service establishment",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,https://instagram.com/skrssixteen?utm_source=qr&igshid=MzNlNGNkZWQ4Mg==,,,"Yoga centre, 845420, India",845420,25.6080374,85.14304299999999,ChIJGwFmW4TyXykRPlw8qESGtgI,https://www.google.com/maps/place/?q=place_id:ChIJGwFmW4TyXykRPlw8qESGtgI,part_395,2026-09-20 20:18:54
Relax Yoga Centre,Yoga Center,Yoga studio,Yoga studio,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 98353 84062,http://www.relaxyogacentre.com/,4.9,,"A-15, Housing Board Colony, Kankarbagh, Lohia Nagar, Patna, Bihar 800020","Housing Board Colony, Kankarbagh, Lohia Nagar",25.597542999999998,85.14856329999999,ChIJD3TUDX5Z7TkR-ZHwuh3WsZ0,https://www.google.com/maps/place/?q=place_id:ChIJD3TUDX5Z7TkR-ZHwuh3WsZ0,part_395,2026-09-20 20:18:54
ABHAY ADHYATMA ARANYA,Yoga Center,Yoga studio,Yoga studio,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 84347 63468,N/A,,,"जिला राज्य, मधुशाला अभय नगर , पिपरा स्टेशन , अनुमंडल, Chakia, Bihar 845412",845420,26.4106892,85.04932529999999,ChIJq6qqqsbW7DkRsxSRjxNbvVU,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqsbW7DkRsxSRjxNbvVU,part_395,2026-09-20 20:18:54
Yoga Centre,Yoga Center,Gym,Gym,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",N/A,N/A,4.6,,"XJVR+FV9, Chhatwa Khurd, Bihar 841220",845420,25.9936597,84.6422298,ChIJhfkNcazBkjkRFlUlYeKz-ag,https://www.google.com/maps/place/?q=place_id:ChIJhfkNcazBkjkRFlUlYeKz-ag,part_395,2026-09-20 20:18:54
World yog & alternative medicine research organisation,Yoga Center,Yoga studio,"Yoga studio, Alternative Medicine Clinic, Educational consultant, Health consultant, Physiotherapy Center, Training center, Vocational school, Wellness center, Yoga instructor",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 94722 32821,https://world-yog-alternative.grexa.site/,4.8,53.0,"4th floor, Shyama market, near devi gajadharchak mandir, Golapar, Jhakhari Mahadev, Patna, Bihar 801503","Golapar, Jhakhari Mahadev",25.6373037,85.0553158,ChIJt9XNXeNX7TkRK46sXMHlFjQ,https://www.google.com/maps/place/?q=place_id:ChIJt9XNXeNX7TkRK46sXMHlFjQ,part_395,2026-09-20 20:18:55
Brahma Kumaris Sikatiya,Yoga Center,Meditation center,Meditation center,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 85790 47109,http://brahmakumaris.com/,4.5,2.0,"OM NIWAS, SIKATIYA, Bihar 841405",845420,26.5045024,84.5753156,ChIJUUwil54ZkzkRYBa6yBDMPQM,https://www.google.com/maps/place/?q=place_id:ChIJUUwil54ZkzkRYBa6yBDMPQM,part_395,2026-09-20 20:18:55
Yogivilla yoga studio,Yoga Center,Yoga studio,"Yoga studio, Fitness center",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 75419 91884,N/A,5.0,132.0,"studio, 2nd floor, yogi villa, above union bank of India, near hari om petrol pump, Shivpuri, Anisabad, Patna, Bihar 800002","Shivpuri, Anisabad",25.5829064,85.0971253,ChIJEyyrcgip8jkRkuLq45ndWwo,https://www.google.com/maps/place/?q=place_id:ChIJEyyrcgip8jkRkuLq45ndWwo,part_395,2026-09-20 20:18:55
Yogis of East yoga studio & therapyeutic clinic.,Yoga Center,Yoga studio,"Yoga studio, Yoga Retreat Center",845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 86788 22228,http://www.yogisofeast.in/,4.8,94.0,"building no 88/A 1st floor, Rd No.2, next to Pani Tanki, Sri Krishna Nagar, Kidwaipuri, Patna, Bihar 800001","Sri Krishna Nagar, Kidwaipuri",25.6155081,85.1278865,ChIJhTKLgDhY7TkRZ6B3Ye80ql4,https://www.google.com/maps/place/?q=place_id:ChIJhTKLgDhY7TkRZ6B3Ye80ql4,part_395,2026-09-20 20:18:55
Sanjivani Home Yoga Class in Gorakhpur Uttar Pradesh (Yogacharya Ashish),Yoga Center,Yoga instructor,Yoga instructor,845420,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Gulwara Madhuban SO, Bazitpur BO, Bhelwa BO",+91 97930 59950,https://www.facebook.com/Dr.AshishPandey1980?mibextid=2JQ9oc,4.9,112.0,"near Holy Flame Academy Vivekpuram, Rail Vihar Colony Phase 3rd, Taramandal, Gorakhpur, Uttar Pradesh 273017","Rail Vihar Colony Phase 3rd, Taramandal",26.732066399999997,83.3843874,ChIJ_dWmgE1DkTkR0Qiwj1yGysE,https://www.google.com/maps/place/?q=place_id:ChIJ_dWmgE1DkTkR0Qiwj1yGysE,part_395,2026-09-20 20:18:55
