business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CA Aaditya Sangam,Chartered Accountant (CA),Chartered accountant,Chartered accountant,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,,,"Barwat Sena Main Rd, Bettiah, Bihar 845438",845422,26.7777243,84.5409063,ChIJC0UOVvhrkzkRYjTcDSwUU6c,https://www.google.com/maps/place/?q=place_id:ChIJC0UOVvhrkzkRYjTcDSwUU6c,part_395,2026-09-20 20:19:50
CMA Vinesh Singh (Raushan Singh),Chartered Accountant (CA),Certified public accountant,Certified public accountant,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 95865 75998,N/A,,,"Purana, Chimni road, Dhaturitola, Uttar Pradesh 277204",845422,25.752786,84.5292245,ChIJcVTMJACZkjkRD1gUcEJHFpI,https://www.google.com/maps/place/?q=place_id:ChIJcVTMJACZkjkRD1gUcEJHFpI,part_395,2026-09-20 20:19:50
"R Santosh Associates, CA",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Service establishment",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,,,"R Santosh Associates, CA, 845422, India",845422,28.397454999999997,84.1301506,ChIJZ1mBnj4hwwERU4QkkzFDsJs,https://www.google.com/maps/place/?q=place_id:ChIJZ1mBnj4hwwERU4QkkzFDsJs,part_395,2026-09-20 20:19:50
"CA. Aditya Yadav, AY & Associates, Chartered Accountants",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Service establishment",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,,,"CA. Aditya Yadav, AY & Associates, Chartered Accountants, 845422, India",845422,26.5616308,87.2651996,ChIJz9wOJrAAPkkRxxW2OuuW2Ro,https://www.google.com/maps/place/?q=place_id:ChIJz9wOJrAAPkkRxxW2OuuW2Ro,part_395,2026-09-20 20:19:50
Shailesh R & Co. Chartered Accountants,Chartered Accountant (CA),Chartered accountant,Chartered accountant,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 90048 68959,https://shaileshca.com/,5.0,,"Government Hospital, Yadav Building, Sathariya, near Sathariya, Uttar Pradesh 222202",Satharia Industrial Estate,25.6591331,82.2335827,ChIJ3XqN4AOnmjkRNS0Ag36wcZA,https://www.google.com/maps/place/?q=place_id:ChIJ3XqN4AOnmjkRNS0Ag36wcZA,part_395,2026-09-20 20:19:50
"Kajal Gupta & Co. Chartered Accountants ,Company Secretaries Firm",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Car finance and loan company, Consultant, Financial consultant, Financial institution, Financial planner, Income tax help association, Tax consultant",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 99103 41403,http://www.gauravsudhaandassociates.com/,4.9,,"Rai Colony, near Railway Station, near Blind School, Malgodam Road, Ghazipur, Uttar Pradesh 233001",Malgodam Road,25.5818756,83.56811379999999,ChIJ0ywUaPf_kTkRH5y2YA-Tm2s,https://www.google.com/maps/place/?q=place_id:ChIJ0ywUaPf_kTkRH5y2YA-Tm2s,part_395,2026-09-20 20:19:50
"B.S. & Associates, Chartered Accountants (CA)",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Service establishment",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,5.0,,"B.S. & Associates, Chartered Accountants (CA), 845422, India",845422,26.6231679,87.9881796,ChIJBRMwXB_1JKgRoq4DVzyCdCk,https://www.google.com/maps/place/?q=place_id:ChIJBRMwXB_1JKgRoq4DVzyCdCk,part_395,2026-09-20 20:19:50
Khalid & Associates,Chartered Accountant (CA),Tax consultant,Tax consultant,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 98045 46571,N/A,4.9,,"Machli Market, Ramchandrapur, Bihar Sharif, Bihar 803216",Ramchandrapur,25.1949993,85.51530869999999,ChIJeWroMILz8jkRPUwjY8djuVU,https://www.google.com/maps/place/?q=place_id:ChIJeWroMILz8jkRPUwjY8djuVU,part_395,2026-09-20 20:19:51
Dushyant Kumar & Co.,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Consultant",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 93044 97230,https://dushyantkumarandco.com/,4.8,,"Flat No-203, Veena Shyam Apartment, Boring Rd, behind Roti Restaurant, North Sri Krishna Puri, Patna, Bihar 800013","Block - A, North Sri Krishna Puri",25.6218771,85.10998029999999,ChIJr6Kmli9Y7TkRd1zKrxl6mRQ,https://www.google.com/maps/place/?q=place_id:ChIJr6Kmli9Y7TkRd1zKrxl6mRQ,part_395,2026-09-20 20:19:51
Arya Aditya & Associates,Chartered Accountant (CA),Certified public accountant,Certified public accountant,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 70336 62233,N/A,5.0,,"5A/35A, VIVEKANAND MARG, Boring Rd, North Sri Krishna Puri, Patna, Bihar 800013",North Sri Krishna Puri,25.6227238,85.11164959999999,ChIJNxptj-JZ7TkRmkZlLxCed40,https://www.google.com/maps/place/?q=place_id:ChIJNxptj-JZ7TkRmkZlLxCed40,part_395,2026-09-20 20:19:51
