business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"CHAMPARAN COLLEGE OF HIGHER EDUCATION, Siswa Paharpur, East Champaran",Commerce and CA Coaching,College,College,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,5.0,1.0,"JMMH+266, Paharpur, Siswa, Motihari, Bihar 845422",Paharpur,26.6325379,84.6780036,ChIJSQjYAhs_kzkRe4k95kITieA,https://www.google.com/maps/place/?q=place_id:ChIJSQjYAhs_kzkRe4k95kITieA,part_395,2026-09-20 20:19:47
"CA RAVI JHA CLASSES (I. Com, B. Com, M. Com, CA-CPT)",Commerce and CA Coaching,Coaching Center,Coaching Center,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 83840 09959,N/A,5.0,46.0,"near M.S.Collage Gate, Chandmari, Ward No-25, Motihari, Singhia Sagar, Bihar 845402","Chandmari, Ward No-25",26.670479399999998,84.9088938,ChIJswInvy41kzkRemP2LWt64mY,https://www.google.com/maps/place/?q=place_id:ChIJswInvy41kzkRemP2LWt64mY,part_395,2026-09-20 20:19:47
CA - Commerce Academy,Commerce and CA Coaching,Coaching Center,Coaching Center,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,5.0,2.0,"Boaring Chawk (Bazar Road) Turkaulia, Motihari, Bihar 845437",845422,26.610122699999998,84.8223412,ChIJKTToaGU3kzkRUHtYvUYVu3k,https://www.google.com/maps/place/?q=place_id:ChIJKTToaGU3kzkRUHtYvUYVu3k,part_395,2026-09-20 20:19:47
Commerce Tutorial,Commerce and CA Coaching,Coaching Center,Coaching Center,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 99398 66539,N/A,4.3,8.0,"7WXQ+968, Sahebganj Nirpur Rd, Sahebganj, Rampur Khurd Bhikanpura Bazail, Bihar 843125",845422,26.29842,84.9380765,ChIJc3MeBTPVkjkR2IWD0vqMBq8,https://www.google.com/maps/place/?q=place_id:ChIJc3MeBTPVkjkR2IWD0vqMBq8,part_395,2026-09-20 20:19:47
Accounts Training Centre best commerce coaching in Bihar Sharif,Commerce and CA Coaching,Coaching Center,"Coaching Center, Accounting school, Career guidance service, Student career counseling office, Training center",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 82103 69897,N/A,4.9,235.0,"near collegiate school, Professor Colony, Bihar Sharif, Bihar 803101",Professor Colony,25.2021618,85.52417659999999,ChIJ57QCrqn18jkRYTNgNbCLS9c,https://www.google.com/maps/place/?q=place_id:ChIJ57QCrqn18jkRYTNgNbCLS9c,part_395,2026-09-20 20:19:48
Pioneer Coaching,Commerce and CA Coaching,Education center,Education center,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 62021 49922,N/A,4.4,197.0,"Pioneer Coaching, Sagar Pokhara, Road, Kamalnath Nagar, Paroraha, Bettiah, Bihar 845438",Kamalnath Nagar,26.7969314,84.51129379999999,ChIJLUdpzvxvkzkRiFktQxOVKCI,https://www.google.com/maps/place/?q=place_id:ChIJLUdpzvxvkzkRiFktQxOVKCI,part_395,2026-09-20 20:19:48
Apex Tutorial,Commerce and CA Coaching,College,College,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 98520 02500,N/A,4.7,166.0,"RG54+P5Q, BE-004-0010, Supriya main road, INDRAPURI COLONY, Chawani, Bettiah, Bihar 845438","INDRAPURI COLONY, Chawani",26.8088487,84.5058825,ChIJ6S3rvMBukzkRx64sqpiWxOw,https://www.google.com/maps/place/?q=place_id:ChIJ6S3rvMBukzkRx64sqpiWxOw,part_395,2026-09-20 20:19:48
The Guidance Coaching,Commerce and CA Coaching,Coaching Center,Coaching Center,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,N/A,4.6,85.0,"RG35+65V Bhola babu Complex, near k.p. high school, Colony, Kamalnath Nagar, Bettiah, Bihar 845438","Colony, Kamalnath Nagar",26.803409,84.5078242,ChIJZY-E-c1vkzkR9nw-KdxV1T8,https://www.google.com/maps/place/?q=place_id:ChIJZY-E-c1vkzkR9nw-KdxV1T8,part_395,2026-09-20 20:19:48
Chartered Commerce - Best Commerce Coaching in Ashiana Patna for 11th 12th CA & B.Com,Commerce and CA Coaching,Coaching Center,"Coaching Center, Education center, Educational institution, Studying center",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 98014 88263,https://charteredcommerce.org/commerce-coaching-in-ashiana-nagar-patna/,4.7,233.0,"3rd Floor, Singh Complex, Ashiana - Digha Rd, opposite ICICI Bank, Engineer's Colony, Ram Nagari, Rukanpura, Patna, Bihar 800025","Engineer's Colony, Ram Nagari, Rukanpura",25.6163931,85.0820056,ChIJWV92M6NX7TkRRHfj6C50pBc,https://www.google.com/maps/place/?q=place_id:ChIJWV92M6NX7TkRRHfj6C50pBc,part_395,2026-09-20 20:19:48
CHARTERED COMMERCE ACADEMY - Best Commerce Classes/Best Accountancy Classes/Best Economics Classes/Best CA Foundation Classes,Commerce and CA Coaching,Educational institution,Educational institution,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 90066 36600,N/A,4.6,27.0,"J2CR+P85, above lndusind Bank, Saguna More, Patna, Bihar 801503",Saguna More,25.6217667,85.0408527,ChIJ5eQQ10tX7TkRRFQvAE16F8U,https://www.google.com/maps/place/?q=place_id:ChIJ5eQQ10tX7TkRRFQvAE16F8U,part_395,2026-09-20 20:19:48
