business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Champaran Sabji Bhandar,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 72093 44534,https://champaransabjibhandar.in/,5.0,,"Bazar Samiti, Hariwatika Shiv Mandir, Hathikhana, Bettiah, Ujjain Tola, Bihar 845438",Hathikhana,26.8001839,84.5264416,ChIJQwHTUSVpkzkR5OEwgH9Btt8,https://www.google.com/maps/place/?q=place_id:ChIJQwHTUSVpkzkR5OEwgH9Btt8,part_395,2026-09-20 20:19:21
Bhumi fruits company,Fruit and Vegetable Wholesaler,Wholesale market,Wholesale market,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",N/A,https://bhumifruitscompany.com/,,,"Sabji Mandi, Areraj, Motihari, Bihar 845411",845422,26.5528582,84.666224,ChIJK0JfToQ9kzkRyDFi_07JbZA,https://www.google.com/maps/place/?q=place_id:ChIJK0JfToQ9kzkRyDFi_07JbZA,part_395,2026-09-20 20:19:21
Naveen Fal And Sabji Mandi,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,Fruit and vegetable wholesaler,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 99189 13732,N/A,4.1,,"FQCM+P25, Augustpar, Uttar Pradesh 274001",845422,26.471771099999998,83.78259709999999,ChIJd6J7rV_PkzkRI1rJI4TD6aA,https://www.google.com/maps/place/?q=place_id:ChIJd6J7rV_PkzkRI1rJI4TD6aA,part_395,2026-09-20 20:19:21
Kc Traders,Fruit and Vegetable Wholesaler,Market,"Market, Convenience store, Dairy store, General store, Indian grocery store, Rice wholesaler, Stationery store",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 89694 43902,http://www.kctraders.com/,5.0,,"Lalsaraia, Bihar 845454",845422,26.740694299999998,84.6639021,ChIJIfhiegBBkzkRnT4O74jqpn8,https://www.google.com/maps/place/?q=place_id:ChIJIfhiegBBkzkRnT4O74jqpn8,part_395,2026-09-20 20:19:21
B M Fruits Traders Areraj,Fruit and Vegetable Wholesaler,Produce market,Produce market,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 72941 59214,N/A,3.0,,"Sabji Mandi, Areraj, Bihar 845411",845422,26.550478199999997,84.6643332,ChIJXRNqfSI9kzkRsEMTkFgLnLU,https://www.google.com/maps/place/?q=place_id:ChIJXRNqfSI9kzkRsEMTkFgLnLU,part_395,2026-09-20 20:19:21
Bettiah Bazar Samiti,Fruit and Vegetable Wholesaler,Bazar,"Bazar, Market, Vegetable wholesale market",845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 72560 24429,N/A,3.8,,"QGWX+787, Bagaha Dhala Rd, Bettiah Industrial Area, Bettiah, Bihar 845438",Bettiah Industrial Area,26.7956681,84.5482942,ChIJM8PtHE9pkzkRwXfdub-WLk8,https://www.google.com/maps/place/?q=place_id:ChIJM8PtHE9pkzkRwXfdub-WLk8,part_395,2026-09-20 20:19:21
Govindpur bazar[sabji market,Fruit and Vegetable Wholesaler,Market,Market,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 95073 23829,N/A,3.9,,"Govindapur Bajar42, Road, Gobindpur, Areraj, Bihar 845411",845422,26.5841747,84.6869353,ChIJhRcuygs8kzkRQQNKhJsL8JE,https://www.google.com/maps/place/?q=place_id:ChIJhRcuygs8kzkRQQNKhJsL8JE,part_395,2026-09-20 20:19:21
Sri Ram Traders - Fruit & Vegetable Wholeseller,Fruit and Vegetable Wholesaler,Fruits & Vegetable Wholesaler,Fruits & Vegetable Wholesaler,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 99349 95297,http://www.sriramtraders.org/,5.0,,"Shop No - 22, near Hanuman Mandir, Bazar Samiti, Bihar Sharif, Bihar 803216",Bazar Samiti,25.198985999999998,85.5043859,ChIJYbADSwDz8jkRpbdpv89LMOM,https://www.google.com/maps/place/?q=place_id:ChIJYbADSwDz8jkRpbdpv89LMOM,part_395,2026-09-20 20:19:21
सिसवा बाजार,Fruit and Vegetable Wholesaler,Market,Market,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 90062 54285,N/A,3.9,,"Siswa, Bihar 845422",845422,26.619128399999997,84.68415569999999,ChIJPdtWv-U_kzkRgolPjZo_H2E,https://www.google.com/maps/place/?q=place_id:ChIJPdtWv-U_kzkRgolPjZo_H2E,part_395,2026-09-20 20:19:21
Azad Vegetable,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,845422,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Harsiddhi SO, Balua BO, Dhawahi BO",+91 70702 39893,N/A,5.0,,"Revelganj, Bihar 841305",845422,25.785635199999998,84.6404228,ChIJt3nYRTG9kjkRY8j9Z1POZ0o,https://www.google.com/maps/place/?q=place_id:ChIJt3nYRTG9kjkRY8j9Z1POZ0o,part_395,2026-09-20 20:19:21
