business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Prakash Kumar,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 87898 91770,https://whatsapp.com/channel/0029Va9ZMCoBPzjYgzJofT26,5.0,11.0,"Siraha pakridayal, Motihari, Bihar 845428",845428,26.525233999999998,85.0506589,ChIJHV2VtujP7DkRb060yqESCF4,https://www.google.com/maps/place/?q=place_id:ChIJHV2VtujP7DkRb060yqESCF4,part_395,2026-09-20 20:23:09
Bardaha,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",N/A,N/A,5.0,1.0,"H23Q+MQQ, Bardaha, Bihar 845429",845428,26.5542198,85.0394985,ChIJjwUbWADP7DkRl4Om5lubxEA,https://www.google.com/maps/place/?q=place_id:ChIJjwUbWADP7DkRl4Om5lubxEA,part_395,2026-09-20 20:23:09
G. K. Grocery Shop,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 95767 57687,N/A,,,"Madhuban Rd, Pakridayal North, Bihar 845428",845428,26.5536051,85.0634984,ChIJQ4i0kUnP7DkRADskPTRRXow,https://www.google.com/maps/place/?q=place_id:ChIJQ4i0kUnP7DkRADskPTRRXow,part_395,2026-09-20 20:23:09
SHREE BALAJI KIRANA STORE,Supermarket,Indian grocery store,Indian grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 95252 32939,https://www.facebook.com/jaiswal.golu.146,4.7,20.0,"Jaiswal market, near Hanuman mandir, Pakridayal North, Bihar 845428",845428,26.5539503,85.06316749999999,ChIJ5f9BkkzO7DkR4oH0XNhLjrM,https://www.google.com/maps/place/?q=place_id:ChIJ5f9BkkzO7DkR4oH0XNhLjrM,part_395,2026-09-20 20:23:09
Shivam Gas Chula Bartan Ghir,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 70043 51910,N/A,5.0,1.0,"Road, Shekhpurwa, Pakridayal North, Bihar 845428",845428,26.553998399999998,85.06329339999999,ChIJaazLuFHP7DkRyIetu5JLhQ0,https://www.google.com/maps/place/?q=place_id:ChIJaazLuFHP7DkRyIetu5JLhQ0,part_395,2026-09-20 20:23:09
KESARI TRADERS,Supermarket,Indian grocery store,Indian grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",N/A,N/A,5.0,1.0,"Madhuban Rd, Dayal, Pakri, Pakaridayal, Bihar 845428","Dayal, Pakri",26.5540059,85.06327019999999,ChIJOdK2wDrP7DkRCi71yOZ4-gY,https://www.google.com/maps/place/?q=place_id:ChIJOdK2wDrP7DkRCi71yOZ4-gY,part_395,2026-09-20 20:23:09
Dinesh Kumar General Store,Supermarket,Indian grocery store,"Indian grocery store, Grocery delivery service",845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 88824 57894,https://play.google.com/store/apps/details?id=com.retailapps.dinesh,4.9,84.0,"Rampur Manorath Road, Patahi - Chorma Rd, Parsauni Kapoor, Bihar 845457",845428,26.5566531,85.1392831,ChIJw_yTPC3F7DkRwDmj5yhWqiQ,https://www.google.com/maps/place/?q=place_id:ChIJw_yTPC3F7DkRwDmj5yhWqiQ,part_395,2026-09-20 20:23:09
Lily Wholesale Mart,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 88252 01900,N/A,4.8,23.0,"old bhawani gas campus miscot, Motihari, Bihar 845401",Rajendra Nagar,26.6564868,84.9161003,ChIJQy9SENY1kzkRMrN1V9Kz0Gs,https://www.google.com/maps/place/?q=place_id:ChIJQy9SENY1kzkRMrN1V9Kz0Gs,part_395,2026-09-20 20:23:09
ADITYA TRADERS,Supermarket,Supermarket,Supermarket,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 80025 35779,N/A,,,"Bada Bazar Rd, sabaji mandi, Pakridayal North, Bihar 845428",sabaji mandi,26.5544455,85.0634941,ChIJkblykK7P7DkRgwviTf3-oZY,https://www.google.com/maps/place/?q=place_id:ChIJkblykK7P7DkRgwviTf3-oZY,part_395,2026-09-20 20:23:09
Sonu Kirana Store,Supermarket,Grocery store,Grocery store,845428,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pakari Dayal SO, Ajgarwa BO, Barkagaon BO",+91 62052 24926,N/A,5.0,2.0,"Bada Bazar Rd, Pakridayal North, Bihar 845428",845428,26.5543004,85.06335539999999,ChIJz78GDM3P7DkRpvKVEh_vYsA,https://www.google.com/maps/place/?q=place_id:ChIJz78GDM3P7DkRpvKVEh_vYsA,part_395,2026-09-20 20:23:09
