business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Udhyog Rice Mill,Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 94310 53412,N/A,4.8,9.0,"Motihari Bypass, SH 54, Areraj, Bihar 845402",845429,26.632954299999998,84.8811066,ChIJw0WeaWo0kzkR272wERyZmE4,https://www.google.com/maps/place/?q=place_id:ChIJw0WeaWo0kzkR272wERyZmE4,part_395,2026-09-20 20:24:19
राणी सती एग्रो प्रोडक्ट प्रा. लि.(Rice Mill),Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",N/A,N/A,3.5,2.0,"MWQW+X3, Harkaina, Bihar 845402",845429,26.6899758,84.9451253,ChIJ9WumRQDL7DkR6cCdThqWUmM,https://www.google.com/maps/place/?q=place_id:ChIJ9WumRQDL7DkR6cCdThqWUmM,part_395,2026-09-20 20:24:19
Rice mill,Rice Mill and Agro Processing,Manufacturer,Manufacturer,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 90319 98309,N/A,,,"Malkaunia, Bihar 845401",845429,26.676047699999998,84.9414323,ChIJ630ArfbL7DkRkAUPVD4r5Ak,https://www.google.com/maps/place/?q=place_id:ChIJ630ArfbL7DkRkAUPVD4r5Ak,part_395,2026-09-20 20:24:19
Rampukar kumar,Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",N/A,N/A,,,"Chailahan Katahariya, Laxmipur Nahar road, near Hanuman Mandir, Motihari, Bihar 845401",845429,26.652724799999998,84.8708432,ChIJ8auR_Ms1kzkRcedFn9QuJ0g,https://www.google.com/maps/place/?q=place_id:ChIJ8auR_Ms1kzkRcedFn9QuJ0g,part_395,2026-09-20 20:24:19
Jaiswal Foods & Traders,Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",N/A,N/A,,,"H5P7+FX8, Patahi - Bhandar Rd, Champapur, Bihar 845457",845429,26.5862312,85.1655385,ChIJY9gMagDF7DkRz1SSyry08Z0,https://www.google.com/maps/place/?q=place_id:ChIJY9gMagDF7DkRz1SSyry08Z0,part_395,2026-09-20 20:24:19
PIYALI INNOVATIONS,Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 74639 70891,N/A,,,"Kum Kum sinha, Front of milestone school, hospital road, Motihari, Singhia Sagar, Bihar 845401",845429,26.6748132,84.9118829,ChIJcyUbakU1kzkRqfhWaG6tw-k,https://www.google.com/maps/place/?q=place_id:ChIJcyUbakU1kzkRqfhWaG6tw-k,part_395,2026-09-20 20:24:19
Chandra Shanti Agro Industries,Rice Mill and Agro Processing,Rice mill,Rice mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",N/A,N/A,5.0,1.0,"Rajapur Ahirauliya, Kotwa, Motihari, Bihar 845437",845429,26.5761212,84.8608431,ChIJ0by1HZMzkzkRaydCrSbd7jA,https://www.google.com/maps/place/?q=place_id:ChIJ0by1HZMzkzkRaydCrSbd7jA,part_395,2026-09-20 20:24:19
Vishwambher Saw Mill,Rice Mill and Agro Processing,Saw mill,Saw mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 97082 08586,N/A,4.2,151.0,"MW76+WX5, M/S Vishwambher saw mill janpul chowk, Motihari, Bihar 845401",Daroga Tola,26.6647636,84.912472,ChIJ25uSiRs1kzkR01abI7m3QmM,https://www.google.com/maps/place/?q=place_id:ChIJ25uSiRs1kzkR01abI7m3QmM,part_395,2026-09-20 20:24:19
Gold Kushwaha Aata Mill,Rice Mill and Agro Processing,Flour mill,Flour mill,845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 94730 21884,N/A,4.4,5.0,"204, SH 54, Meena Bazaar, Bhawanipur Zirat, Motihari, Bihar 845401","Meena Bazaar, Bhawanipur Zirat",26.6533029,84.92172769999999,ChIJYQw_f940kzkRMOogalnW9jc,https://www.google.com/maps/place/?q=place_id:ChIJYQw_f940kzkRMOogalnW9jc,part_395,2026-09-20 20:24:19
Ripuraj Agro Private Limited,Rice Mill and Agro Processing,Rice mill,"Rice mill, Agricultural cooperative, Agricultural Product Wholesaler, Agricultural production, Agricultural service, Food Processing Company, Rice wholesaler",845429,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Pipra Factory SO, Ashok Pakari BO, Bangari BO",+91 99055 55666,https://ripurajagro.com/,3.9,,"NH527D, Amodei, Bihar 845433",845429,26.9033719,84.816245,ChIJGa8mbu9RkzkRWQTxJs-XTBE,https://www.google.com/maps/place/?q=place_id:ChIJGa8mbu9RkzkRWQTxJs-XTBE,part_395,2026-09-20 20:24:21
