business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Trousseau Packing Services,Trousseau Home Decor,Store,Store,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",N/A,N/A,5.0,1,"No 10, West Punjabi Bagh, Punjabi Bagh, New Delhi, Delhi, 110026","West Punjabi Bagh, Punjabi Bagh",28.665726,77.1194496,ChIJGepEK5kDDTkRStC5Ny5k2HA,https://www.google.com/maps/place/?q=place_id:ChIJGepEK5kDDTkRStC5Ny5k2HA,part_395,2026-09-20 20:24:46
MAHADEV EVENTS AND FLOWER DECORATION,Trousseau Home Decor,Wedding planner,Wedding planner,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 62051 55133,https://www.instagram.com/mahadev_flower_decoration_01?igsh=eTJ2OHQyczIwa21p,5.0,107,"State Highway 55, Water Ways Colony, Samastipur, Bihar 848134",Water Ways Colony,25.8562938,85.8012931,ChIJp8P5KDKR7TkRI392n2oRDaM,https://www.google.com/maps/place/?q=place_id:ChIJp8P5KDKR7TkRI392n2oRDaM,part_395,2026-09-20 20:24:47
Manoj flower decoration,Trousseau Home Decor,Wedding service,Wedding service,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 83190 32086,https://youtube.com/@manojflowersdecoration?si=hf7FgxsD3f58itOv,5.0,1,"opposite Shanti medical hall, Shokhara, Barauni, Bihar 851112",Shokhara,25.470269,85.98557629999999,ChIJg4egU7EN8jkR49UKVCUSKKg,https://www.google.com/maps/place/?q=place_id:ChIJg4egU7EN8jkR49UKVCUSKKg,part_395,2026-09-20 20:24:47
Anuj flower decoration,Trousseau Home Decor,Event planner,Event planner,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 95191 28116,http://www.anujflowerdecoration.com/,3.9,11,"bhiru ki puliya, nizamabad, Kolpur, Uttar Pradesh 276206",845430,26.0882448,83.0292929,ChIJL_iVefqvkTkRIFTmIDHR2Rw,https://www.google.com/maps/place/?q=place_id:ChIJL_iVefqvkTkRIFTmIDHR2Rw,part_395,2026-09-20 20:24:47
A toZ HOME DECOR,Trousseau Home Decor,Store,"Store, Interior designer",845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 88739 76311,https://a-toz-home-decor.grexa.site/,4.9,33,"B. Block shiv vihar hastsal, Uttam Nagar, Uttam nagar, Delhi, 110041","Uttam Nagar, Uttam nagar",28.6417169,77.0559066,ChIJSVZ4K_wFDTkRJZmv1DvG858,https://www.google.com/maps/place/?q=place_id:ChIJSVZ4K_wFDTkRJZmv1DvG858,part_395,2026-09-20 20:24:47
Home Decor Lo,Trousseau Home Decor,Home goods store,"Home goods store, Furniture store",845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",N/A,https://homedecorlo.com/,4.7,14,"GALAXY VEGA, Techzone -IV, Amrapali Dream Valley, Greater Noida, Uttar Pradesh 201318","Techzone -IV, Amrapali Dream Valley",28.5920028,77.4561363,ChIJjxGGJ33vDDkRo_-I62cnA7Y,https://www.google.com/maps/place/?q=place_id:ChIJjxGGJ33vDDkRo_-I62cnA7Y,part_395,2026-09-20 20:24:47
The Home Decor,Trousseau Home Decor,Interior Decorator,"Interior Decorator, Blinds shop, Furniture maker, Interior architect office, Interior designer, Modular home dealer, Wallpaper store",845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",N/A,http://thehomedecor.online/,5.0,14,"4/132, near Mantri Awas, Vibhav Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010","Vibhav Khand, Gomti Nagar",26.8613976,81.01999529999999,ChIJhfNVrW3jmzkRHHKJY_0Sr-M,https://www.google.com/maps/place/?q=place_id:ChIJhfNVrW3jmzkRHHKJY_0Sr-M,part_395,2026-09-20 20:24:47
LS Event,Trousseau Home Decor,Event planner,Event planner,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 98359 96776,http://lsevent.in/,4.7,46,"Bahadurpur, Samastipur, Hasanpur, Bihar 848101",Bahadurpur,25.8600958,85.7948454,ChIJEZsAcT6R7TkRWXm_hg8EI4E,https://www.google.com/maps/place/?q=place_id:ChIJEZsAcT6R7TkRWXm_hg8EI4E,part_395,2026-09-20 20:24:47
Decoration Walazz,Trousseau Home Decor,Event planner,Event planner,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 91704 86387,https://whatsapp.com/channel/0029Va5q3seISTkOqNyXqv0c,5.0,32,"176-z-1, sachan road, near by Manish uniform, hemant vihar, Barra 2, sankar mochan mandir, Barra, Kanpur, Uttar Pradesh 208027","hemant vihar, Barra 2, sankar mochan mandir, Barra",26.4350432,80.3050864,ChIJuSzxeJVHnDkRk5AfqHE2LfI,https://www.google.com/maps/place/?q=place_id:ChIJuSzxeJVHnDkRk5AfqHE2LfI,part_395,2026-09-20 20:24:47
WEDDING PACKING SERVICES,Trousseau Home Decor,Wedding service,Wedding service,845430,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Phenhara SO, Bisunpur Basant BO, Deokulia BO",+91 99539 49144,https://www.weddingpackingservice.com/,4.9,84,"Block A, Saraswati Vihar, 339, near Deepali chowk, Deepali, Pitampura, Delhi, New Delhi, Delhi 110034","Deepali, Pitampura",28.6941161,77.1168943,ChIJIR6xneYDDTkR4lkx-6lztYQ,https://www.google.com/maps/place/?q=place_id:ChIJIR6xneYDDTkR4lkx-6lztYQ,part_395,2026-09-20 20:24:47
