business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anisha Automobiles (Tvs Showroom),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 94721 72052,N/A,4.6,70.0,"Ramgarhwa, Bihar 845433",845431,26.8758748,84.7822151,ChIJH-azyvFPkzkRRF96jhyAYt0,https://www.google.com/maps/place/?q=place_id:ChIJH-azyvFPkzkRRF96jhyAYt0,part_395,2026-09-20 20:25:14
Raja Automobiles - Hero MotoCorp,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 99342 73786,https://dealers.heromotocorp.com/locator/east-champaran/sugauli/raja-automobiles-hero-motocorp-in-sugauli-east-champaran--qRpKrA/home,4.8,610.0,"Taj Babu Chowk, nearby Bright Minds School, Sugauli, Bihar 845456",845431,26.7695685,84.74390679999999,ChIJPfQCia5HkzkR2ZTd-s6nAgQ,https://www.google.com/maps/place/?q=place_id:ChIJPfQCia5HkzkR2ZTd-s6nAgQ,part_395,2026-09-20 20:25:14
A.K.Motors TVS (2 wheeler & EV) - Narkatia,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Electric motor vehicle dealer, Motor scooter dealer, Motor vehicle dealer, Motorcycle shop",845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 8071 407 301,https://showroom.tvsmotor.com/locator/east-champaran/Narkatia/akmotors-tvs-2-wheeler-ev-in-Narkatia-east-champaran--49RUES/home,4.6,7.0,"Ward No 2, Ground Floor, Chauradano, Pathan Patti, nearby BED Collage, Narkatia, Bihar 845301",845431,26.8281533,84.9146085,ChIJLRtmvHBNkzkRKcSIJnG8CUE,https://www.google.com/maps/place/?q=place_id:ChIJLRtmvHBNkzkRKcSIJnG8CUE,part_395,2026-09-20 20:25:14
Vishwakarma Motorcycle Service Centre,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",N/A,N/A,5.0,1.0,"Near, Semra Railway Station, Landmark, NH diversion, Motihari, Bihar 845435",845431,26.7103041,84.81478109999999,ChIJKT35nzNJkzkR4W2IF3zw3sk,https://www.google.com/maps/place/?q=place_id:ChIJKT35nzNJkzkR4W2IF3zw3sk,part_395,2026-09-20 20:25:14
Raiees Motorcycle Service Center,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 73199 26862,N/A,3.3,3.0,"Murla Men Cowk, 10, Mandir Raxul Road, Motihari, Murla, Bihar 845433",845431,26.853676,84.7769708,ChIJYUi2halPkzkRQniklClLx1Y,https://www.google.com/maps/place/?q=place_id:ChIJYUi2halPkzkRQniklClLx1Y,part_395,2026-09-20 20:25:14
A.R Bike Spare Sale And Service,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 98356 80777,N/A,4.3,4.0,"Main road, near petrol pump, Ramgarhwa, Bihar 845433",845431,26.8777664,84.78256789999999,ChIJ5wxbxStPkzkRpcgYhwZsIts,https://www.google.com/maps/place/?q=place_id:ChIJ5wxbxStPkzkRpcgYhwZsIts,part_395,2026-09-20 20:25:14
SHREE DURGA TVS SHOWROOM,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 87098 65023,N/A,,,"Karamawa, Raghunathpur, Bihar 845431",Karamawa,26.8000625,84.8071875,ChIJb-OA1p5PkzkRcz0Ok18sWcc,https://www.google.com/maps/place/?q=place_id:ChIJb-OA1p5PkzkRcz0Ok18sWcc,part_395,2026-09-20 20:25:14
Seraj Bike Workshop,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 85217 27895,N/A,5.0,2.0,"Phulwaria Ojha, Chapwa, Bihar 845456",845431,26.734150399999997,84.7533523,ChIJ4eMhVI9HkzkRDnfN5r_q9Iw,https://www.google.com/maps/place/?q=place_id:ChIJ4eMhVI9HkzkRDnfN5r_q9Iw,part_395,2026-09-20 20:25:14
Royal Enfield Showroom - Ace Motors,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 91670 49918,https://dealers.royalenfield.com/bihar/raxaul/lakshmipur-ace-motors-9110090310?utm_source=GMBlisting&utm_medium=organic,4.6,,"ACE Motors, NH-28A, Lakshmipur, Raxaul, Bihar 845305",Lakshmipur,26.962518499999998,84.84530819999999,ChIJfzx_hS5RkzkRw59OxsEieIs,https://www.google.com/maps/place/?q=place_id:ChIJfzx_hS5RkzkRw59OxsEieIs,part_395,2026-09-20 20:25:15
TMS Motorcycle & Electrical Workshop,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,845431,Bihar Circle,Muzaffarpur Region,East Champaran Division,"Raghunathpur Bazar SO, Gamharia BO, Jhitkahia BO",+91 95726 64026,N/A,5.0,,"ke just samne, Tvs agency ke pass sabir chowk Bhelwa, tola madarsa bazar, patthan, Pakaria, Patti, Bihar 845301",patthan,26.827836299999998,84.91423019999999,ChIJHzmWqkhNkzkR9GDWrVgovY8,https://www.google.com/maps/place/?q=place_id:ChIJHzmWqkhNkzkR9GDWrVgovY8,part_395,2026-09-20 20:25:15
