business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bikaner express,Paan and FMCG Stall,Chinese restaurant,Chinese restaurant,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,N/A,3.1,,"RG3C+HHW, Station chowk, opposite Hotel pushpanjali, beside reliance digital, Banuchapar, Banuchhapar, Bettiah, Bihar 845438",Banuchapar,26.8042645,84.5216052,ChIJH0Ng-JVvkzkR2gZe-6rMxMo,https://www.google.com/maps/place/?q=place_id:ChIJH0Ng-JVvkzkR2gZe-6rMxMo,part_395,2026-09-20 20:29:46
Raunak Communication CSC & Mobile Accessories,Paan and FMCG Stall,Internet cafe,"Internet cafe, Cell phone accessory store, Government office, Telecommunications service provider",845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 74848 34038,https://sites.google.com/view/raunakcommunication,4.9,,"ward no.31 ghusukpura, Baswaria, Bettiah, Bihar 845438",Baswaria,26.791772899999998,84.5089783,ChIJw62mNKRukzkR6mIRZ5SmNXs,https://www.google.com/maps/place/?q=place_id:ChIJw62mNKRukzkR6mIRZ5SmNXs,part_395,2026-09-20 20:29:46
Kalam paan shop,Paan and FMCG Stall,Paan shop,Paan shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,N/A,,,"Bettiah - Chanpatia - Narkatiaganj Rd, Chanpatia, Bihar 845449",845438,26.946582,84.5397091,ChIJbcr_5SRnkzkR6E32ro6ndS4,https://www.google.com/maps/place/?q=place_id:ChIJbcr_5SRnkzkR6E32ro6ndS4,part_395,2026-09-20 20:29:46
SWADIST PAAN BHANDAAR,Paan and FMCG Stall,Tobacco shop,Tobacco shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 84273 13650,N/A,4.0,,"Supriya Cinema Rd, Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.8051326,84.5163585,ChIJf5FtwxxvkzkRutLRliqkGDg,https://www.google.com/maps/place/?q=place_id:ChIJf5FtwxxvkzkRutLRliqkGDg,part_395,2026-09-20 20:29:47
Patel Pan And General Store,Paan and FMCG Stall,General store,General store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 82107 79104,N/A,4.8,,"Madhuha Medial School, Bettiah, Maruaha, Bihar 845439",845438,26.690288499999998,84.5030338,ChIJL9qqYGQTkzkRuKSd1ldGrJk,https://www.google.com/maps/place/?q=place_id:ChIJL9qqYGQTkzkRuKSd1ldGrJk,part_395,2026-09-20 20:29:47
Banarsi Paan Dukan,Paan and FMCG Stall,Paan shop,Paan shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 86768 37783,N/A,4.8,,"Pitambari Rd, Lal Bazar, Bettiah, Bihar 845438",Lal Bazar,26.802172199999998,84.5042363,ChIJ3URJCd1vkzkRe47vPdWNjCg,https://www.google.com/maps/place/?q=place_id:ChIJ3URJCd1vkzkRe47vPdWNjCg,part_395,2026-09-20 20:29:47
Gupta Pan Shop,Paan and FMCG Stall,Paan shop,Paan shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,https://www.facebook.com/share/1APE5uv1Kc/,4.7,,"Gram sargatia PS Gopalpur, Bettiah, Bihar 845307",845438,26.9253651,84.6509909,ChIJ_eQtiyVdkzkReTPtM1h4zQU,https://www.google.com/maps/place/?q=place_id:ChIJ_eQtiyVdkzkReTPtM1h4zQU,part_395,2026-09-20 20:29:47
Patel Pan And General Store,Paan and FMCG Stall,Tobacco shop,Tobacco shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 82075 17817,N/A,5.0,,"1254, Jagdishpur Rd, Bettiah Road, Bishambharpur, Bettiah, Bihar 845459",845438,26.715155499999998,84.5603514,ChIJpeHrs1VrkzkR-EI_ybeqvTg,https://www.google.com/maps/place/?q=place_id:ChIJpeHrs1VrkzkR-EI_ybeqvTg,part_395,2026-09-20 20:29:47
PAN DUKAN,Paan and FMCG Stall,Tobacco shop,Tobacco shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 62991 73539,N/A,,,"MENA BAZAR, Lal Bazar, Bettiah, Bihar 845438",Lal Bazar,26.7996619,84.50244219999999,ChIJcdayIZJvkzkRw_vYqy2A4g4,https://www.google.com/maps/place/?q=place_id:ChIJcdayIZJvkzkRw_vYqy2A4g4,part_395,2026-09-20 20:29:47
Chndan Paan Shop,Paan and FMCG Stall,Tea store,Tea store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 97980 07410,N/A,5.0,,"Nawalpur, 00, Shastri Nagar, Bettiah, Bihar 845438",Shastri Nagar,26.8012424,84.5006653,ChIJd90BgOdvkzkRjqPI5qcgAMc,https://www.google.com/maps/place/?q=place_id:ChIJd90BgOdvkzkRjqPI5qcgAMc,part_395,2026-09-20 20:29:47
BANGALI PAAN BHANDAAR,Paan and FMCG Stall,Tobacco shop,Tobacco shop,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 90066 01917,N/A,,,"Harpurwa Bangali Colony Chowk Yogapatti, To, Nawalpur, Bettiah, Bihar 845452",845438,26.8702807,84.4041395,ChIJf5vX8udxkzkRkCJwaFaPOFk,https://www.google.com/maps/place/?q=place_id:ChIJf5vX8udxkzkRkCJwaFaPOFk,part_395,2026-09-20 20:29:47
Om Pan Place,Paan and FMCG Stall,General store,General store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 77629 16730,N/A,5.0,,"00, Ghogha Chowk, Dakshini Ghogha, Gidha, Bihar 845449",845438,26.9141197,84.5901781,ChIJmz0S1dZnkzkRZHZU6ie2hvc,https://www.google.com/maps/place/?q=place_id:ChIJmz0S1dZnkzkRZHZU6ie2hvc,part_395,2026-09-20 20:29:47
Panalal Shop,Paan and FMCG Stall,General store,General store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 73689 76813,N/A,,,"02, Kohara Bazaar, Rod, Bettiah, Bihar 845439","Kohara Bazaar, Rod",26.831865,84.4105366,ChIJJ6uQVINxkzkRD2T0OLthlYk,https://www.google.com/maps/place/?q=place_id:ChIJJ6uQVINxkzkRD2T0OLthlYk,part_395,2026-09-20 20:29:47
