business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
7th designer,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 77819 13101,N/A,5.0,,"Vivaah bhawan ke samne, chawni road, Manuwapul, chowk, Bettiah, Bihar 845450","Manuwapul, chowk",26.8244904,84.4872754,ChIJc4-O3VxvkzkRXcOCkT22xP4,https://www.google.com/maps/place/?q=place_id:ChIJc4-O3VxvkzkRXcOCkT22xP4,part_395,2026-09-20 20:29:50
R K Fashion Tailors And Draper,Tailor and Fashion Designer,Clothing store,Clothing store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 96610 06331,N/A,4.1,,"Subhash Nagar, Bettiah, Bihar 845439",Subhash Nagar,26.788507499999998,84.5233976,ChIJpzpz1GRpkzkRm-jVldDmeiA,https://www.google.com/maps/place/?q=place_id:ChIJpzpz1GRpkzkRm-jVldDmeiA,part_395,2026-09-20 20:29:50
NEW DILSHAMA FASHION,Tailor and Fashion Designer,Fashion designer,"Fashion designer, Tailor",845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 91283 54744,N/A,,,"near gramin bank, Kumarbagh, Bettiah, Bihar 845450",845438,26.875758299999998,84.51522659999999,ChIJNW8SdwBvkzkRGtBdplrruF4,https://www.google.com/maps/place/?q=place_id:ChIJNW8SdwBvkzkRGtBdplrruF4,part_395,2026-09-20 20:29:50
Libas Tailor,Tailor and Fashion Designer,Tailor,Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 99346 26496,N/A,4.5,,"Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.801808899999997,84.50688219999999,ChIJmcb1-rtukzkROJDYceoCje0,https://www.google.com/maps/place/?q=place_id:ChIJmcb1-rtukzkROJDYceoCje0,part_395,2026-09-20 20:29:50
Mantra tailor,Tailor and Fashion Designer,Tailor,Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 81023 40209,N/A,4.0,,"Teen Lal Ten Chowk, Lal Bazar Rd, Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.801869699999997,84.50718499999999,ChIJN2l1KrxukzkRIxTyGuYOuJQ,https://www.google.com/maps/place/?q=place_id:ChIJN2l1KrxukzkRIxTyGuYOuJQ,part_395,2026-09-20 20:29:50
REX TAILORS,Tailor and Fashion Designer,Boutique,Boutique,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 95041 73734,N/A,4.3,,"Church Rd, Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.803211899999997,84.5042744,ChIJhUi1MVxvkzkR18lmMKOGsDs,https://www.google.com/maps/place/?q=place_id:ChIJhUi1MVxvkzkR18lmMKOGsDs,part_395,2026-09-20 20:29:50
Salauddin Master Fatepurwale,Tailor and Fashion Designer,Tailor,Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 99555 09038,N/A,5.0,,"Macchli Bajar, Ward, 05, Bettiah - Chanpatia Rd, Chanpatia, Bihar 845449",845438,26.9426231,84.53790269999999,ChIJd2FIok9nkzkRfvO3eKK9shw,https://www.google.com/maps/place/?q=place_id:ChIJd2FIok9nkzkRfvO3eKK9shw,part_395,2026-09-20 20:29:50
Prince Tailors,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,https://princetailors.free.nf/,4.4,,"Pathhar Mandir Chowk, Main Road, Chanpatia, Bihar 845449",845438,26.953723099999998,84.53958949999999,ChIJEa3QjfxnkzkRnQZC4yeuK9w,https://www.google.com/maps/place/?q=place_id:ChIJEa3QjfxnkzkRnQZC4yeuK9w,part_395,2026-09-20 20:29:50
RENKIN TAILORS,Tailor and Fashion Designer,Gents Tailor,Gents Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,N/A,3.5,,"Teen Lalten Chowk, Kamalnath Nagar, Bettiah, Bihar 845438",Kamalnath Nagar,26.8016704,84.5066015,ChIJdyS_UEpvkzkRnz8MBMGVCvQ,https://www.google.com/maps/place/?q=place_id:ChIJdyS_UEpvkzkRnz8MBMGVCvQ,part_395,2026-09-20 20:29:50
Kasidakari embroidery design house,Tailor and Fashion Designer,Tailor,Tailor,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,N/A,,,"RG2C+X3R hajari camp, Hathikhana, Bettiah, Bihar 845438",Hathikhana,26.8024819,84.52014659999999,ChIJIRM8OABvkzkR4ZV3mzCVpzE,https://www.google.com/maps/place/?q=place_id:ChIJIRM8OABvkzkR4ZV3mzCVpzE,part_395,2026-09-20 20:29:50
RELOAD FASHION,Tailor and Fashion Designer,Clothing store,Clothing store,845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",+91 91231 25341,N/A,4.5,,"Kali Bagh Colony, Bettiah, Bihar 845438",Kali Bagh Colony,26.801505,84.4971499,ChIJ275UopZukzkR3KeklqN9IZg,https://www.google.com/maps/place/?q=place_id:ChIJ275UopZukzkR3KeklqN9IZg,part_395,2026-09-20 20:29:50
Goenka Colors,Tailor and Fashion Designer,Clothing store,"Clothing store, Showroom",845438,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Bettiah HO, Barwat Pasrain BO, Barwat Sena BO",N/A,https://www.goenkacolors.com/,4.2,,"Goenka Colors Shopping Mall, Rani Sati Dadi Mandir, Lal Bazar Rd, Lal Bazar, Bettiah, Bihar 845438",Lal Bazar,26.802668399999998,84.5040361,ChIJR0wgNMxvkzkR2MurGR9T08s,https://www.google.com/maps/place/?q=place_id:ChIJR0wgNMxvkzkR2MurGR9T08s,part_395,2026-09-20 20:29:50
