business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HB furniture,Furniture Showroom,Furniture wholesaler,Furniture wholesaler,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,4.8,,"4F88+JVQ, Vikas Nagar, Narkatiaganj, Bihar 845455",Vikas Nagar,27.116577699999997,84.4672341,ChIJgahNARKdlDkR9aNtsBM56YM,https://www.google.com/maps/place/?q=place_id:ChIJgahNARKdlDkR9aNtsBM56YM,part_395,2026-09-20 20:31:16
Khandelwal steel furniture,Furniture Showroom,Furniture store,Furniture store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 70700 38964,N/A,4.0,,"Shikarpur, Narkatiaganj, Bihar 845455",Shikarpur,27.1092451,84.46598759999999,ChIJZ7eqTQCdlDkR55lKZhSvCZ8,https://www.google.com/maps/place/?q=place_id:ChIJZ7eqTQCdlDkR55lKZhSvCZ8,part_395,2026-09-20 20:31:16
AADARSH FURNITURE HOUSE,Furniture Showroom,Furniture store,Furniture store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 96319 72683,N/A,4.8,,"Ward no 04, Dhumnagar, Narkatiaganj, Bihar 845455",845449,27.104139699999998,84.45286279999999,ChIJmZ4TDQCdlDkRACpe4V5S7gQ,https://www.google.com/maps/place/?q=place_id:ChIJmZ4TDQCdlDkRACpe4V5S7gQ,part_395,2026-09-20 20:31:16
R.k furniture shop chuhari,Furniture Showroom,Furniture store,Furniture store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 83404 73334,N/A,,,"near L.S school, Chuhari, Bihar 845450",845449,26.894415499999997,84.48929419999999,ChIJi7lGuo5lkzkRdwLvXlF5UGQ,https://www.google.com/maps/place/?q=place_id:ChIJi7lGuo5lkzkRdwLvXlF5UGQ,part_395,2026-09-20 20:31:16
Sharma Furniture,Furniture Showroom,Furniture store,Furniture store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 99343 58575,N/A,5.0,,"Sharma Furniture, PANDAI CHOWK THORI ROAD, Shikarpur, Bihar 845455",845449,27.1483471,84.4973748,ChIJMQNnnXidlDkRrn4l-Id47EQ,https://www.google.com/maps/place/?q=place_id:ChIJMQNnnXidlDkRrn4l-Id47EQ,part_395,2026-09-20 20:31:16
MALA Furniture House,Furniture Showroom,Home goods store,Home goods store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,3.0,,"XG5P+H69, Chanpatia, Bihar 845449",845449,26.9589461,84.5355385,ChIJm7dsIdtnkzkRWhV5Q7iH1ws,https://www.google.com/maps/place/?q=place_id:ChIJm7dsIdtnkzkRWhV5Q7iH1ws,part_395,2026-09-20 20:31:16
New Bharat Steel Furniture,Furniture Showroom,Home goods store,Home goods store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 90064 27186,N/A,4.0,,"00, Chanpatia, Bihar 845449",845449,26.951798999999998,84.53761689999999,ChIJ2x6m3AdnkzkRiT-IgrhrJlI,https://www.google.com/maps/place/?q=place_id:ChIJ2x6m3AdnkzkRiT-IgrhrJlI,part_395,2026-09-20 20:31:16
Sk interior furniture..sujit sharma,Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 80842 00560,N/A,4.4,7.0,"Ramnagar - Narkatiaganj Rd, At, Binbaliya, Narkatiaganj, Bihar 845455",At,27.130477799999998,84.43838079999999,ChIJKZh_-e-DlDkRGlIKkpgJh7o,https://www.google.com/maps/place/?q=place_id:ChIJKZh_-e-DlDkRGlIKkpgJh7o,part_395,2026-09-20 20:31:16
Raj traders foam and mattress,Furniture Showroom,Mattress store,Mattress store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,5.0,275.0,"purani Bazar Main road Narkatiaganj purani Bazar, Bihar 845455",Vikas Nagar,27.116075499999997,84.467947,ChIJi0oj7JudlDkRkuTdJTHO5cg,https://www.google.com/maps/place/?q=place_id:ChIJi0oj7JudlDkRkuTdJTHO5cg,part_395,2026-09-20 20:31:16
Munni Furniture,Furniture Showroom,Furniture Manufacturer,"Furniture Manufacturer, Furniture repair shop",845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 85214 29854,N/A,5.0,7.0,"Lauria - Narkatiyaganj - Bhikhna Thori Rd, Narkatiaganj, Bihar 845455",845449,27.119878099999998,84.4690194,ChIJu8BsI8adlDkRd3HUqGV6B9w,https://www.google.com/maps/place/?q=place_id:ChIJu8BsI8adlDkRd3HUqGV6B9w,part_395,2026-09-20 20:31:16
Vip furniture,Furniture Showroom,Furniture Rental Store,Furniture Rental Store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,5.0,,"Hardia chowk, Narkatiaganj, Bihar 845455",845449,27.1039122,84.46052069999999,ChIJT6heEACdlDkR4QLcdjjphbI,https://www.google.com/maps/place/?q=place_id:ChIJT6heEACdlDkR4QLcdjjphbI,part_395,2026-09-20 20:31:17
"Afzal Furniture - Best Furniture & Electronics Shop in Muzaffarpur | Wedding Furniture, EMI Available, In Muzaffarpur.",Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 99314 85437,http://afzalfurniture.com/,4.9,3238.0,"58W8+5F7, Narsanda, Bihar 842006",845449,26.195457899999997,85.3161961,ChIJ4ZeXRjMZ7TkR1uBPsebP5_8,https://www.google.com/maps/place/?q=place_id:ChIJ4ZeXRjMZ7TkR1uBPsebP5_8,part_395,2026-09-20 20:31:17
