business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HINDUSTAN ELECTRICALS & PLUMBING,Plumber,Electrical supply store,"Electrical supply store, Plumbing supply store",845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 62074 37527,N/A,5.0,,"MAHNA CHOWK, Bettiah - Chanpatia Rd, Bihar 845450",845449,26.9010645,84.52531929999999,ChIJK2hO-ydlkzkRfZ1TklIpzN0,https://www.google.com/maps/place/?q=place_id:ChIJK2hO-ydlkzkRfZ1TklIpzN0,part_395,2026-09-20 20:31:14
Rajesh Electric Plumber & Hardware,Plumber,Electronics store,"Electronics store, Service establishment",845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 80846 41630,N/A,5.0,,"Rajesh Electric Plumber & Hardware, 845449, India",845449,21.0680074,82.7525294,ChIJ_6UcXJNjkzkREhwdT3VHuX8,https://www.google.com/maps/place/?q=place_id:ChIJ_6UcXJNjkzkREhwdT3VHuX8,part_395,2026-09-20 20:31:14
SANJEET P PLUMBER,Plumber,Plumber,Plumber,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 73210 42118,N/A,,,"near Panchayt Bhawan High School, Gaucharii, Bihar 845306",845449,26.9999972,84.5993304,ChIJsfWKbb1hkzkRh8U1fH_6Lro,https://www.google.com/maps/place/?q=place_id:ChIJsfWKbb1hkzkRh8U1fH_6Lro,part_395,2026-09-20 20:31:14
Bittu Kumar,Plumber,Plumber,Plumber,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,5.0,,"2HF2+RR4, Bhabhta, Bihar 845449",845449,27.0245011,84.5520751,ChIJ531tPQBhkzkRHaq95KxzDqQ,https://www.google.com/maps/place/?q=place_id:ChIJ531tPQBhkzkRHaq95KxzDqQ,part_395,2026-09-20 20:31:14
Alex Azad,Plumber,Plumber,Plumber,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 72600 88483,N/A,,,"4FF4+R4W, Majharia, Bihar 845455",845449,27.124620999999998,84.4553335,ChIJZaReAgCdlDkR5KwoE7Iy2Qo,https://www.google.com/maps/place/?q=place_id:ChIJZaReAgCdlDkR5KwoE7Iy2Qo,part_395,2026-09-20 20:31:14
ANSARI tola,Plumber,Plumber,Plumber,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,,,"XFJH+43C, Daniyal Parsauna, Bihar 845449",845449,26.980320799999998,84.47763719999999,ChIJZ2PEbQBjkzkRb8zekayht6I,https://www.google.com/maps/place/?q=place_id:ChIJZ2PEbQBjkzkRb8zekayht6I,part_395,2026-09-20 20:31:14
Vishu plumbing contractor,Plumber,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,5.0,,"4F43+CGF, Ramnagar - Narkatiaganj Rd, Dhumnagar, Bihar 845455",845449,27.1060289,84.4538188,ChIJoZZaE9-dlDkR9XnhLp3PEv4,https://www.google.com/maps/place/?q=place_id:ChIJoZZaE9-dlDkR9XnhLp3PEv4,part_395,2026-09-20 20:31:14
Wakil Communication And Plumber House.,Plumber,Home goods store,Home goods store,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",+91 89690 32166,N/A,4.3,,"Chhota chowk ward no.-04, Chanpatia, Bihar 845449",845449,26.954646099999998,84.536937,ChIJjwPDO7xmkzkREfmSfMw5qZY,https://www.google.com/maps/place/?q=place_id:ChIJjwPDO7xmkzkREfmSfMw5qZY,part_395,2026-09-20 20:31:14
Plumber Krishna Singh,Plumber,Research and product development,Research and product development,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,,,"Sirisiya mathiya, Bihar 845438",845449,26.884224999999997,84.46560559999999,ChIJiUDOWudlkzkRPQ1Ht_2MDEo,https://www.google.com/maps/place/?q=place_id:ChIJiUDOWudlkzkRPQ1Ht_2MDEo,part_395,2026-09-20 20:31:14
Meraj alam,Plumber,Plumber,Plumber,845449,Bihar Circle,Muzaffarpur Region,West Champaran Division,"Chanpatia R S SO, Bakulahar Math BO, Belwa BO",N/A,N/A,,,"2H2Q+MJF, Mainatand Road, Bettiah - Sewaghat, Jhakhra, Jhakhra Baisakhwa, Banuchhapar, Bihar 845306","Bettiah - Sewaghat, Jhakhra",27.0016788,84.589051,ChIJvQV9WQBhkzkRFv27zbSGqs4,https://www.google.com/maps/place/?q=place_id:ChIJvQV9WQBhkzkRFv27zbSGqs4,part_395,2026-09-20 20:31:14
