business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radha khatait complex/market,Commercial Complex,Store,Store,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,4.3,,"6JFW+M4C, Dudhaura - Rampur - Bhangaha Rd, Rampur, Bihar 845451",845451,27.223733499999998,84.6448554,ChIJE3NhLQCjlDkR9Ika7hdOaTA,https://www.google.com/maps/place/?q=place_id:ChIJE3NhLQCjlDkR9Ika7hdOaTA,part_395,2026-09-20 20:32:46
Affiance Mart,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,5.0,,"Infront of Mobile Tower, Dhobaha, Rakhahi, Bihar 845451",845451,27.1258299,84.542059,ChIJAVrrrEOflDkRsV2BQRlwLdk,https://www.google.com/maps/place/?q=place_id:ChIJAVrrrEOflDkRsV2BQRlwLdk,part_395,2026-09-20 20:32:46
RJR MART,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 92634 83028,N/A,5.0,,"4H6H+4G8, Lipni, Bihar 845306",845451,27.110293,84.5788268,ChIJ1yT0LQCflDkRYGdC5nhFC40,https://www.google.com/maps/place/?q=place_id:ChIJ1yT0LQCflDkRYGdC5nhFC40,part_395,2026-09-20 20:32:46
Csc anuj digital centre,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"5HWM+M95, Mainatanr, Tola Pararia, Bihar 845451",845451,27.196637,84.5834976,ChIJvWg4cQCZlDkRI6V-GzC_WoY,https://www.google.com/maps/place/?q=place_id:ChIJvWg4cQCZlDkRI6V-GzC_WoY,part_395,2026-09-20 20:32:46
Muskan Pco,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,3.5,,"At-pakri dhala near ravi petroleum, Narkatiaganj, Bihar 845455",845451,27.1330331,84.4828838,ChIJpRKIitKdlDkR2XyYS2Xwai4,https://www.google.com/maps/place/?q=place_id:ChIJpRKIitKdlDkR2XyYS2Xwai4,part_395,2026-09-20 20:32:46
Rao enterprises,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,3.5,,"Satwaria, Bihar 845451",845451,27.1516491,84.5091102,ChIJq6_KO1qdlDkRINYy1XxqYTA,https://www.google.com/maps/place/?q=place_id:ChIJq6_KO1qdlDkRINYy1XxqYTA,part_395,2026-09-20 20:32:46
Chandan Enterprises,Commercial Complex,General store,General store,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 82353 43491,N/A,5.0,,"Ghosh Baba Complex, Thori Raod, Pipra, Bihar 845451",845451,27.223928899999997,84.5255059,ChIJnbgdHVSZlDkRawVLek0yOZw,https://www.google.com/maps/place/?q=place_id:ChIJnbgdHVSZlDkRawVLek0yOZw,part_395,2026-09-20 20:32:46
Jay Maa Bahuari Kirana Store(chandankumar),Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,3.7,,"Narkatiyaganj - Bhitiharwa - Gaunaha Rd, Belwa, Bihar 845455",845451,27.1933123,84.47031199999999,ChIJaUQgh66blDkRxcy-i0NDYjU,https://www.google.com/maps/place/?q=place_id:ChIJaUQgh66blDkRxcy-i0NDYjU,part_395,2026-09-20 20:32:46
Vijay Vastralaya S Readymane,Commercial Complex,Shopping mall,Shopping mall,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 96313 29125,N/A,,,"7HC7+7MV, Lauria - Shikarpur - Thori Rd, Jamunia, Bihar 845455",845451,27.2707417,84.5641794,ChIJk6OHkEOXlDkRQbcrvy-7KeI,https://www.google.com/maps/place/?q=place_id:ChIJk6OHkEOXlDkRQbcrvy-7KeI,part_395,2026-09-20 20:32:46
Haricharan Complex (RERA CASE),Commercial Complex,Condominium complex,Condominium complex,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 70333 38379,N/A,3.5,,"AIIMS Rd, above Haricharan Complex, Ram Nagar, Phulwari Sharif, Patna, Bihar 801505","Ram Nagar, Phulwari Sharif",25.5716941,85.0522541,ChIJi2xUB-2p8jkRSz2jf5-DFOk,https://www.google.com/maps/place/?q=place_id:ChIJi2xUB-2p8jkRSz2jf5-DFOk,part_395,2026-09-20 20:32:47
