business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Anganwadi(Bargajwa ward-3),Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,5.0,1.0,"Bargajwa, Bihar 845451",845451,27.175793,84.515947,ChIJrVKfNl6blDkRKS0kOrK6Lzc,https://www.google.com/maps/place/?q=place_id:ChIJrVKfNl6blDkRKS0kOrK6Lzc,part_395,2026-09-20 20:32:34
Ranjit,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 99314 71308,N/A,2.0,1.0,"Narkatiyaganj - Balther, Rd, Sikta, Narkatiaganj, Bihar 845455",845451,27.1049275,84.4787705,ChIJMbb-a7mdlDkRqmXIRf2uO-Y,https://www.google.com/maps/place/?q=place_id:ChIJMbb-a7mdlDkRqmXIRf2uO-Y,part_395,2026-09-20 20:32:34
Patel sarkar,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"4FJG+696, Pakri, Bihar 845455",845451,27.1305314,84.4759014,ChIJGSLGJwCdlDkRbdqZK5vT8tQ,https://www.google.com/maps/place/?q=place_id:ChIJGSLGJwCdlDkRbdqZK5vT8tQ,part_395,2026-09-20 20:32:34
Suraj house (Forbesganj kundilpur ),Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"5G95+MJX, Kundilpur, Bihar 845451",845451,27.1692379,84.5091102,ChIJ5aBRYQCblDkRlSP_gWu4_oI,https://www.google.com/maps/place/?q=place_id:ChIJ5aBRYQCblDkRlSP_gWu4_oI,part_395,2026-09-20 20:32:34
Raj,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"2JV6+63R, Marjadwa, Bihar 845306",845451,27.0431039,84.6101553,ChIJP_vLbmNfkzkRIABo3wA8ymI,https://www.google.com/maps/place/?q=place_id:ChIJP_vLbmNfkzkRIABo3wA8ymI,part_395,2026-09-20 20:32:34
Home,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"4MWG+7HW, Inarwa, Bihar 845306",845451,27.145741899999997,84.67646119999999,ChIJdXDnDwChlDkRZo4ybR_4SkY,https://www.google.com/maps/place/?q=place_id:ChIJdXDnDwChlDkRZo4ybR_4SkY,part_395,2026-09-20 20:32:34
Ramesh Baudh,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 91021 63541,N/A,1.0,1.0,"3J63+9W7, Unnamed Road, Bhaluahia, Bihar 845306",845451,27.0609066,84.6048045,ChIJ8Ul9ljNhkzkRu4MM_BiSiZg,https://www.google.com/maps/place/?q=place_id:ChIJ8Ul9ljNhkzkRu4MM_BiSiZg,part_395,2026-09-20 20:32:34
C4U,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,,,"4F4F+GXQ, Marwar muhallaw, Narkatiaganj, Bihar 845455",845451,27.106346199999997,84.4749925,ChIJmQR7m8CdlDkRg1KBU1LoObM,https://www.google.com/maps/place/?q=place_id:ChIJmQR7m8CdlDkRg1KBU1LoObM,part_395,2026-09-20 20:32:34
madrasa fatimatuzzahra,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",+91 76546 02047,N/A,,,"shati, Sathi, Bihar 845455",Shikarpur,27.110410899999998,84.4650109,ChIJ2z-CvDudlDkRKtvY4vCOwDg,https://www.google.com/maps/place/?q=place_id:ChIJ2z-CvDudlDkRKtvY4vCOwDg,part_395,2026-09-20 20:32:34
Rajkiya prathmik vidayalya,Play School and Daycare,Preschool,Preschool,845451,Bihar Circle,Muzaffarpur Region,West Champaran Division,"DKShikarpur SO, Bargajwa BO, Chauhatta BO",N/A,N/A,5.0,,"3J9H+QFM, Pakuhawa, Bihar 845306",845451,27.06946,84.628669,ChIJxbsGb_FfkzkRx8aETbkr5G4,https://www.google.com/maps/place/?q=place_id:ChIJxbsGb_FfkzkRx8aETbkr5G4,part_395,2026-09-20 20:32:36
