business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ASHA UNIFORM,Uniform Manufacturer,Uniform store,"Uniform store, Baby clothing store, Belt shop, Clothing store, Custom t-shirt store, Men's clothing store, Paint store, School supply store, Shoe store, Women's clothing store",846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 99100 63749,https://www.apnashoping.com/,5.0,,"Bhathiarisarai, Darbhanga, Bihar 846004",Bhathiarisarai,26.1452958,85.9024032,ChIJQ68fUSO47TkRJP-zA5HGwHA,https://www.google.com/maps/place/?q=place_id:ChIJQ68fUSO47TkRJP-zA5HGwHA,part_395,2026-09-20 20:37:40
Agrawal Uniform,Uniform Manufacturer,Uniform store,Uniform store,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 82524 80998,N/A,4.0,,"4VCX+FP8, GN Ganj Rd, Gudri Bazar, Mogalpura, Laheriasarai, Darbhanga, Bihar 846001","Gudri Bazar, Mogalpura, Laheriasarai",26.1212236,85.8989641,ChIJfyr3aPe47TkR-7tOUKwI8aI,https://www.google.com/maps/place/?q=place_id:ChIJfyr3aPe47TkR-7tOUKwI8aI,part_395,2026-09-20 20:37:40
Sports Hub,Uniform Manufacturer,Sporting goods store,"Sporting goods store, Fitness Equipment Wholesaler, Sportswear store",846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 98523 80932,N/A,4.5,,"1st floor, VIP Rd, Bangali Tola, Laheriasarai, Darbhanga, Bihar 846001","Bangali Tola, Laheriasarai",26.123410399999997,85.9021427,ChIJC69v_tq57TkR6ZcOaLG4XZc,https://www.google.com/maps/place/?q=place_id:ChIJC69v_tq57TkR6ZcOaLG4XZc,part_395,2026-09-20 20:37:40
UNIFORM & BOOK WORLD,Uniform Manufacturer,School supply store,School supply store,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",N/A,N/A,4.2,,"4VMV+8G5, Karamganj, Darbhanga, Bihar 846001",Karamganj,26.133260099999998,85.8938687,ChIJw69M02-57TkRoD6MblT9G8Y,https://www.google.com/maps/place/?q=place_id:ChIJw69M02-57TkRoD6MblT9G8Y,part_395,2026-09-20 20:37:40
Chandan Khel Ghar,Uniform Manufacturer,Sporting goods store,"Sporting goods store, Sports Accessories Wholesaler",846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 98523 80932,N/A,4.9,,"Nehru Stadium, SH 50, PWD Colony, Laheriasarai, Darbhanga, Bihar 846001","PWD Colony, Laheriasarai",26.116791499999998,85.8974319,ChIJx9OuU_q47TkRDEHBYLi17Tc,https://www.google.com/maps/place/?q=place_id:ChIJx9OuU_q47TkRDEHBYLi17Tc,part_395,2026-09-20 20:37:40
RK Textiles,Uniform Manufacturer,Clothing wholesaler,Clothing wholesaler,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 80022 38638,N/A,,,"near logiadharamsala, Gudri Bazar, Mogalpura, Laheriasarai, Darbhanga, Bihar 846001","Gudri Bazar, Mogalpura, Laheriasarai",26.119888699999997,85.898448,ChIJCztb_C-57TkRLaQRSpoJ_tc,https://www.google.com/maps/place/?q=place_id:ChIJCztb_C-57TkRLaQRSpoJ_tc,part_395,2026-09-20 20:37:40
Golden Tailor And Police Store,Uniform Manufacturer,Gents Tailor,Gents Tailor,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 98522 44025,N/A,4.4,,"Bakarganj, Laheriasarai, Darbhanga, Bihar 846001","Bakarganj, Laheriasarai",26.1198125,85.89656389999999,ChIJBT4ZUuS57TkR1GWVfe-kF60,https://www.google.com/maps/place/?q=place_id:ChIJBT4ZUuS57TkR1GWVfe-kF60,part_395,2026-09-20 20:37:40
New Fashion Tailor,Uniform Manufacturer,Boutique,"Boutique, Tailor",846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 95763 40374,N/A,3.0,,"New Fashion Tailor, Aara-meel, Saidnagar, Laheriasarai, Darbhanga, Bihar 846001","Saidnagar, Laheriasarai",26.119656499999998,85.8927348,ChIJZcQAhf647TkRrMRsk576gDM,https://www.google.com/maps/place/?q=place_id:ChIJZcQAhf647TkRrMRsk576gDM,part_395,2026-09-20 20:37:40
Safe Hands Products Pvt Ltd,Uniform Manufacturer,Clothing store,Clothing store,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",N/A,http://www.raymond.in/,3.7,,"Lohia Road, Balbhadrapur, Benta, Laheriasarai, Darbhanga, Bihar 846001","Balbhadrapur, Benta, Laheriasarai",26.1193305,85.9048869,ChIJ______O47TkRfQLe8aXN7j8,https://www.google.com/maps/place/?q=place_id:ChIJ______O47TkRfQLe8aXN7j8,part_395,2026-09-20 20:37:40
Choudhary uniform,Uniform Manufacturer,Clothing store,Clothing store,846001,Bihar Circle,Muzaffarpur Region,Darbhanga Division,"Laheriasarai HO, Imambari SO, Laheriasarai Court SO",+91 77820 63024,https://www.facebook.com/choudharyuniform?mibextid=ZbWKwL,5.0,32.0,"Plot No. C13P, Industrial Area, Donar, Darbhanga, Bishunpur Medni, Bihar 846009","Industrial Area, Donar",26.153980299999997,85.9266899,ChIJzetNTP257TkR0_XZZTv4rPM,https://www.google.com/maps/place/?q=place_id:ChIJzetNTP257TkR0_XZZTv4rPM,part_395,2026-09-20 20:37:40
