business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Afroz Motorcycle Work Shop,Two Wheeler Repair and Mechanic,Auto repair shop,"Auto repair shop, Two Wheeler Repair Shop",846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 97988 58941,N/A,,,"Nagar Nigam, Town Hall Darbhanga Tower, Road, near Cm Science College, Darbhanga, Bihar 846004","Mirzapur, Lal Bagh",26.1520339,85.8931806,ChIJBSxrSTS47TkRr1Allk1ZNow,https://www.google.com/maps/place/?q=place_id:ChIJBSxrSTS47TkRr1Allk1ZNow,part_395,2026-09-20 20:40:52
पुनी साइकिल स्टोर 🚴‍♀️,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,N/A,N/A,,,"5V3R+PP4, Bada Bazar, Lal Bagh, Darbhanga, Bihar 846004","Bada Bazar, Lal Bagh",26.1542694,85.8918151,ChIJoUKYHwC57TkR_ImCKfWueAY,https://www.google.com/maps/place/?q=place_id:ChIJoUKYHwC57TkR_ImCKfWueAY,part_395,2026-09-20 20:40:52
Mithila Motorcycle,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 92628 69172,N/A,,,"Mithila Motorcycle, Belwaganj, Mogalpura, Laheriasarai, Darbhanga, Bihar 846001","Belwaganj, Mogalpura, Laheriasarai",26.1250714,85.8946773,ChIJgYBVbOi57TkRjYFaZOZ4XnQ,https://www.google.com/maps/place/?q=place_id:ChIJgYBVbOi57TkRjYFaZOZ4XnQ,part_395,2026-09-20 20:40:52
Royal Enfield work shop Md tamanne,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 79797 21612,N/A,5.0,,"pansari petrol pump, Pani tanki, Mirzapur Road, Mirzapur, Lal Bagh, Darbhanga, Bihar 846004","Mirzapur, Lal Bagh",26.153194,85.8943151,ChIJ6dUe6Qa57TkRfisqh7e5zKY,https://www.google.com/maps/place/?q=place_id:ChIJ6dUe6Qa57TkRfisqh7e5zKY,part_395,2026-09-20 20:40:52
Sri Vinayaka spears and bike mechanic,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 82476 36467,N/A,3.0,,"near Srinivasa theatre, Rotari Nagar, Tolusurupalli, Andhra Pradesh 532201",Rotari Nagar,18.6024878,84.233835,ChIJLX2tWJdTPDoRps5UOXDqUH8,https://www.google.com/maps/place/?q=place_id:ChIJLX2tWJdTPDoRps5UOXDqUH8,part_395,2026-09-20 20:40:53
Siva bike mechanical garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 72879 50105,N/A,4.0,,"Belagam, Andhra Pradesh 532290",846006,19.0249915,84.6166063,ChIJB0jXFtFrPToR_Nx-OWaCOkU,https://www.google.com/maps/place/?q=place_id:ChIJB0jXFtFrPToR_Nx-OWaCOkU,part_395,2026-09-20 20:40:53
Valvoline Bike Xpert - Sri Venkateswara Bike Mechanic,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,"Two Wheeler Repair Shop, Motor scooter repair shop, Oil change service, Repair service",846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 94403 47756,https://www.valvoline.com/en-in?utm_source=locator&utm_medium=googleplaces,3.7,,"Kasibugga, Palasa, Road, opposite Bus Stand, Tharlakota, Andhra Pradesh 532222",Kasibugga,18.7620674,84.4195824,ChIJKWOrwmMHPToR40rC9Z76ii8,https://www.google.com/maps/place/?q=place_id:ChIJKWOrwmMHPToR40rC9Z76ii8,part_395,2026-09-20 20:40:53
Auto Repairing Work Shop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 93088 52934,N/A,,,"4VGV+C9P, Bakarganj, near Gayatri Mandir, Darbhanga, Bihar 846001",Baquar Gunj,26.1260825,85.8934384,ChIJUS1F61W47TkR0r80A4WLGug,https://www.google.com/maps/place/?q=place_id:ChIJUS1F61W47TkR0r80A4WLGug,part_395,2026-09-20 20:40:53
Amit Motors - Hero MotoCorp,Two Wheeler Repair and Mechanic,Two Wheeler Dealer,Two Wheeler Dealer,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 87890 61864,https://dealers.heromotocorp.com/locator/darbhanga/Ghanshyanmpur/amit-motors-hero-motocorp-in-Ghanshyanmpur-darbhanga--3hmtsh/home,4.9,,"Hospital Road, nearby PHC Hospital, Ghanshampur, Bihar 847304",846006,26.0695829,86.32360249999999,ChIJxYkh6yN17jkRwmFmgiqaVuw,https://www.google.com/maps/place/?q=place_id:ChIJxYkh6yN17jkRwmFmgiqaVuw,part_395,2026-09-20 20:40:54
Royal Motercycle Garage,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,846006,Bihar Circle,Muzaffarpur Region,Darbhanga Division,Subhankarpur SO,+91 80519 51899,N/A,4.0,,"Nasriganj, Bihar 821310",846006,25.0470889,84.3197083,ChIJ-S_6CA8JjTkRgXBYGBd3X0Y,https://www.google.com/maps/place/?q=place_id:ChIJ-S_6CA8JjTkRgXBYGBd3X0Y,part_395,2026-09-20 20:40:54
