business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mishra Market- BABI,Malls,Shopping mall,"Shopping mall, Market",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,https://ditva.in/,5.0,3,"Khasra No 1631, Basaitha, Bihar 847102",847102,26.420524,85.8225614,ChIJDx4OeppN7DkRBguPc5iCJnw,https://www.google.com/maps/place/?q=place_id:ChIJDx4OeppN7DkRBguPc5iCJnw,part_395,2026-09-20 20:44:15
V-Mart - Madhubani-Station Road,Malls,Clothing store,"Clothing store, Convenience store, Department store, Variety store",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 97739 18090,https://stores.vmartretail.com/clothing-mart-surat-ganj-madhubani-37303/home,4.9,11706,"Ward No 23, Khasra No. 278, Station Rd, in front of BSNL Office, Ward No.8, Madhubani, Bihar 847211",Ward No.8,26.352266699999998,86.0750188,ChIJoURGQw_N7TkRFTDbSa1lJBo,https://www.google.com/maps/place/?q=place_id:ChIJoURGQw_N7TkRFTDbSa1lJBo,part_395,2026-09-20 20:44:15
Mahrail Shopping Centre,Malls,Outlet mall,Outlet mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,3.5,12,"77QJ+66F, Mahrail, Bihar 847404",847102,26.288055,86.28054279999999,ChIJZ-TmZzd_7jkRVrXnOQus42Q,https://www.google.com/maps/place/?q=place_id:ChIJZ-TmZzd_7jkRVrXnOQus42Q,part_395,2026-09-20 20:44:15
Amiri Chowk Market,Malls,Market,Market,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,4.0,25,"SH75, Bisanpur, Bihar 847102",847102,26.457337199999998,85.82265369999999,ChIJw7wLr8pP7DkRyKUnZmS3ToE,https://www.google.com/maps/place/?q=place_id:ChIJw7wLr8pP7DkRyKUnZmS3ToE,part_395,2026-09-20 20:44:15
Badshah Gali Start,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 93245 84230,N/A,5.0,2,"8VWH+HVG, Unnamed Road, Bhairba, Bihar 847304",847102,26.3466636,85.8795019,ChIJGWftIDe17TkRFWNLXuN_LRI,https://www.google.com/maps/place/?q=place_id:ChIJGWftIDe17TkRFWNLXuN_LRI,part_395,2026-09-20 20:44:15
STYLE BAAZAR MADHUBANI,Malls,Outlet mall,"Outlet mall, Shopping mall",847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 91474 15491,https://stylebaazar.in/,4.8,1916,"Bata Chowk, Professor's Colony, East of, Mahila College Rd, Bara Bazar, Madhubani, Bihar 847211",Bara Bazar,26.349949,86.071823,ChIJmV_dFgDN7TkR9S6Cb5DPTVI,https://www.google.com/maps/place/?q=place_id:ChIJmV_dFgDN7TkR9S6Cb5DPTVI,part_395,2026-09-20 20:44:16
South City Mall,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 33 4007 2181,http://southcitymall.in/,4.6,89539,"375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.5015602,88.3614681,ChIJK9K2YdhwAjoR3zyNGXoQPe4,https://www.google.com/maps/place/?q=place_id:ChIJK9K2YdhwAjoR3zyNGXoQPe4,part_395,2026-09-20 20:44:16
M M Market,Malls,Outlet mall,Outlet mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 80020 73191,N/A,4.5,2,"9RGP+8QQ, Bardaha, Bihar 847304",847102,26.376220399999998,85.8369926,ChIJ9z_iXqFN7DkR1xW1dEYjaAE,https://www.google.com/maps/place/?q=place_id:ChIJ9z_iXqFN7DkR1xW1dEYjaAE,part_395,2026-09-20 20:44:16
99 mall,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",N/A,N/A,4.3,3,"9QH2+RV7, Jale - Dewra - Bandhauli Rd, Pakhauli, Bihar 847304",847102,26.380473799999997,85.74729529999999,ChIJCXuoFgBT7DkRrmlNs3d5iaE,https://www.google.com/maps/place/?q=place_id:ChIJCXuoFgBT7DkRrmlNs3d5iaE,part_395,2026-09-20 20:44:16
Saddam Digital Center,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 95252 01964,N/A,3.7,11,"9Q7M+H23, Mahuli Tola, Muraitha, Bihar 847304",Mahuli Tola,26.363887499999997,85.7825469,ChIJSd7QUElN7DkRz-Rs2UW5JmA,https://www.google.com/maps/place/?q=place_id:ChIJSd7QUElN7DkRz-Rs2UW5JmA,part_395,2026-09-20 20:44:16
Amit Kirana Shop,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 92041 84441,N/A,4.0,24,"S SHAMIM CHOWK, shibaul, Rathaus, Bihar 847304",shibaul,26.3725375,85.8816094,ChIJu-8GfCVL7DkR8HoJRzn9aE0,https://www.google.com/maps/place/?q=place_id:ChIJu-8GfCVL7DkR8HoJRzn9aE0,part_395,2026-09-20 20:44:16
शारदे रूप श्रृंगार,Malls,Shopping mall,Shopping mall,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 80513 02875,N/A,3.4,7,"Rd,Baba chowk, Basaith, 847102, Pupri, Parsauni North, Bihar 847102",Pupri,26.419974099999997,85.8198656,ChIJ7aaEBUVM7DkRlh5JYu-Zzb8,https://www.google.com/maps/place/?q=place_id:ChIJ7aaEBUVM7DkRlh5JYu-Zzb8,part_395,2026-09-20 20:44:16
JOCKEY EXCLUSIVE DISTRIBUTOR-MBI,Malls,Clothing wholesaler,Clothing wholesaler,847102,Bihar Circle,Muzaffarpur Region,Madhubani Division,"Basaith Chandpura SO, Barri BO, Bisanpur BO",+91 62009 41568,N/A,4.3,6,"Ashok Readymade, Bata Chowk, Mahila College Rd, Ward No.8, Surat Ganj, Madhubani, Bihar 847211","Ward No.8, Surat Ganj",26.349832799999998,86.07105399999999,ChIJxS_5EOrN7TkRaUi3Su7bILg,https://www.google.com/maps/place/?q=place_id:ChIJxS_5EOrN7TkRaUi3Su7bILg,part_395,2026-09-20 20:44:17
